,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,SemiVar0,SemiVar1,Max SemiVar,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,s_1,s_2,p1,p2
37,50.63,54.06,3.43,54.06,44.93,43.99,0.94,44.93,107.94,206.94,206.94,1.00,27.40,59.56,36.27,3215.78,27.92,26.46,18.20,18.36
38,54.15,51.92,2.23,54.15,45.35,45.45,0.11,45.45,214.30,98.96,214.30,0.15,23.70,57.81,37.66,3410.82,27.63,26.90,18.36,17.55
39,55.74,51.64,4.09,55.74,45.13,44.50,0.63,45.13,342.54,167.24,342.54,1.00,21.27,52.33,34.24,3105.24,28.16,26.59,18.21,17.66
40,50.70,56.21,5.51,56.21,44.06,45.09,1.02,45.09,155.43,198.46,198.46,0.58,21.07,56.04,38.12,3496.02,23.89,26.36,21.13,19.15
41,50.91,53.58,2.67,53.58,44.41,46.10,1.69,46.10,139.56,143.84,143.84,1.00,25.61,57.08,35.31,3146.78,28.42,28.62,17.27,16.23
42,49.95,53.40,3.45,53.40,43.74,44.55,0.81,44.55,113.57,159.74,159.74,0.99,29.41,61.15,36.15,3174.32,27.23,27.61,17.47,17.18
43,55.33,52.94,2.40,55.33,43.77,44.29,0.52,44.29,183.46,342.53,342.53,0.63,24.69,57.28,36.29,3258.99,27.43,26.33,17.60,18.47
44,51.90,49.61,2.29,51.90,46.45,44.67,1.79,46.45,79.65,110.45,110.45,0.68,22.01,52.83,34.12,3081.91,29.15,27.81,17.93,17.10
45,54.13,52.20,1.93,54.13,44.42,43.19,1.23,44.42,325.13,133.90,325.13,0.73,20.70,53.20,35.60,3249.79,27.47,24.26,18.21,19.79
46,50.02,50.61,0.59,50.61,42.58,47.65,5.08,47.65,232.03,52.41,232.03,0.80,25.64,55.98,34.19,3034.71,24.49,30.27,18.64,18.52
47,48.77,54.52,5.74,54.52,41.70,44.91,3.20,44.91,210.21,123.84,210.21,0.99,29.64,69.89,44.70,4025.00,20.97,22.47,21.57,22.79
48,54.40,51.63,2.77,54.40,46.44,45.42,1.02,46.44,306.14,136.61,306.14,0.56,23.47,55.27,35.32,3179.65,27.53,27.79,17.39,18.45
49,51.19,48.39,2.79,51.19,44.82,42.60,2.22,44.82,117.23,172.30,172.30,0.29,24.79,58.57,37.51,3378.72,26.12,24.05,19.71,19.14
50,48.51,58.95,10.44,58.95,43.13,45.80,2.67,45.80,122.91,290.18,290.18,0.95,23.98,57.32,36.94,3334.49,24.23,28.16,19.94,19.01
51,50.69,50.18,0.51,50.69,44.61,46.43,1.82,46.43,187.86,58.33,187.86,0.52,17.85,46.65,31.48,2880.02,28.21,29.43,15.30,18.01
52,49.87,49.96,0.09,49.96,45.00,43.03,1.97,45.00,63.92,203.62,203.62,0.87,23.93,56.85,36.51,3292.08,27.50,25.88,19.38,17.45
53,51.72,50.08,1.64,51.72,46.07,42.18,3.89,46.07,137.22,227.02,227.02,1.00,24.64,57.47,36.53,3283.31,29.19,22.58,18.57,20.91
54,58.82,46.38,12.44,58.82,46.60,43.41,3.19,46.60,431.46,48.55,431.46,0.21,21.25,53.43,35.37,3218.00,27.87,26.49,18.02,17.26
55,48.93,49.59,0.66,49.59,42.85,45.39,2.54,45.39,72.63,130.26,130.26,1.00,31.12,59.86,33.40,2873.56,26.69,28.96,16.59,17.60
56,52.58,54.61,2.03,54.61,46.71,42.34,4.37,46.71,97.10,305.73,305.73,0.97,28.09,59.94,36.07,3185.49,29.07,23.01,17.97,19.62
57,52.05,50.92,1.13,52.05,46.26,42.48,3.78,46.26,107.08,195.39,195.39,0.86,21.49,51.64,33.37,3014.49,29.11,26.62,17.42,16.02
58,47.40,53.49,6.09,53.49,43.74,45.05,1.31,45.05,261.98,145.42,261.98,0.19,21.88,56.59,38.00,3471.46,24.09,28.14,20.36,17.67
59,50.85,50.57,0.28,50.85,46.55,44.02,2.53,46.55,98.03,139.37,139.37,0.86,21.88,54.53,35.94,3265.48,29.71,25.86,17.94,17.56
60,50.72,52.09,1.37,52.09,44.78,44.73,0.06,44.78,68.44,192.41,192.41,0.99,28.37,58.38,34.26,3000.69,28.35,28.65,17.85,16.87
61,52.84,56.55,3.72,56.55,43.60,45.09,1.49,45.09,235.57,300.90,300.90,0.94,26.16,62.89,40.65,3672.84,24.64,26.81,18.60,18.09
62,58.02,48.84,9.19,58.02,45.08,45.95,0.87,45.95,300.91,44.86,300.91,0.90,25.22,54.73,33.30,2951.50,27.19,30.21,17.22,16.95
63,50.45,50.13,0.32,50.45,45.92,42.89,3.04,45.92,139.09,197.48,197.48,0.19,25.24,57.35,35.90,3211.17,29.57,25.45,17.04,17.21
64,48.36,51.46,3.10,51.46,43.48,46.29,2.81,46.29,156.63,105.02,156.63,1.00,35.62,65.06,34.78,2944.20,26.61,29.83,18.45,17.64
65,48.39,49.20,0.81,49.20,43.23,44.78,1.55,44.78,150.14,62.20,150.14,0.92,29.21,57.93,33.10,2872.07,27.14,29.48,16.80,15.84
66,54.83,55.43,0.60,55.43,45.28,44.65,0.63,45.28,198.89,418.55,418.55,0.46,19.00,52.82,36.67,3382.19,27.23,25.80,18.17,17.81
67,57.07,54.05,3.02,57.07,44.02,46.41,2.39,46.41,350.59,182.59,350.59,0.52,27.25,61.53,38.37,3427.87,25.93,28.88,17.48,17.43
68,53.42,52.04,1.39,53.42,43.03,46.24,3.21,46.24,308.81,146.42,308.81,0.95,22.46,53.25,34.16,3079.30,27.00,28.96,16.53,16.79
69,50.28,53.42,3.15,53.42,44.35,45.70,1.35,45.70,107.98,173.92,173.92,0.97,23.48,56.41,36.45,3293.09,25.91,27.81,18.52,18.38
70,53.85,54.10,0.25,54.10,44.91,44.95,0.04,44.95,174.70,146.76,174.70,0.57,23.99,56.39,36.00,3239.91,27.74,26.97,18.48,17.40
71,48.63,49.13,0.50,49.13,45.58,43.60,1.98,45.58,68.62,173.43,173.43,1.00,30.33,61.10,35.32,3076.89,28.74,26.66,17.93,17.25
72,49.38,58.82,9.44,58.82,42.48,47.56,5.08,47.56,239.30,501.35,501.35,0.71,31.18,64.90,38.39,3371.75,23.99,29.15,17.82,19.55
73,54.02,55.20,1.18,55.20,43.09,45.86,2.77,45.86,297.45,220.12,297.45,0.99,25.12,56.56,35.21,3144.12,24.71,28.61,19.41,16.72
74,49.97,49.34,0.62,49.97,43.41,44.39,0.99,44.39,83.02,67.05,83.02,0.93,30.60,60.08,34.07,2947.97,26.79,27.74,17.49,17.44
75,54.51,49.75,4.76,54.51,45.04,44.64,0.40,45.04,258.88,120.75,258.88,1.00,24.99,57.95,36.71,3296.40,27.16,27.38,17.48,16.89
76,53.20,52.57,0.63,53.20,45.42,44.14,1.29,45.42,186.21,210.15,210.15,0.96,23.14,54.25,34.58,3110.69,26.87,26.69,19.31,17.41
77,52.09,51.04,1.05,52.09,46.08,43.74,2.34,46.08,96.13,286.03,286.03,0.96,36.32,68.62,37.75,3230.28,27.91,26.20,19.07,18.39
78,52.92,53.60,0.68,53.60,44.18,45.45,1.27,45.45,266.88,148.14,266.88,1.00,21.62,53.54,35.17,3192.28,27.21,27.43,18.36,18.63
79,48.01,52.51,4.50,52.51,44.00,45.96,1.97,45.96,98.14,141.71,141.71,1.00,19.71,50.29,33.54,3058.15,27.93,27.91,16.84,17.95
80,53.22,56.85,3.63,56.85,43.93,44.44,0.51,44.44,271.84,313.32,313.32,0.37,24.04,59.68,39.25,3564.20,25.20,25.25,18.80,19.72
81,48.18,52.38,4.20,52.38,42.73,46.85,4.12,46.85,136.81,128.90,136.81,0.94,25.19,54.37,32.96,2917.97,26.10,29.30,17.17,18.20
82,52.81,49.71,3.10,52.81,46.27,44.35,1.92,46.27,156.42,71.77,156.42,0.96,24.42,54.12,33.36,2969.42,28.46,27.43,18.91,17.86
83,50.73,47.05,3.68,50.73,45.62,42.07,3.55,45.62,87.45,89.94,89.94,0.60,30.91,66.57,40.30,3566.26,27.97,20.56,18.43,22.16
84,53.24,47.98,5.26,53.24,44.54,44.07,0.47,44.54,299.87,106.47,299.87,0.26,34.90,64.29,34.62,2938.99,28.26,28.99,16.94,16.12
85,48.66,53.45,4.79,53.45,42.46,45.29,2.83,45.29,133.22,139.55,139.55,0.98,23.46,58.12,38.18,3466.41,24.80,26.07,17.09,19.87
86,50.15,52.40,2.25,52.40,44.37,45.96,1.59,45.96,162.20,81.60,162.20,0.99,30.63,60.61,34.58,2998.09,27.98,29.61,16.27,17.27
87,52.47,46.55,5.92,52.47,45.22,44.09,1.14,45.22,115.18,86.61,115.18,0.97,34.21,66.13,37.05,3192.03,27.31,26.41,18.22,18.25
88,50.58,52.57,1.99,52.57,45.13,44.32,0.82,45.13,114.99,152.32,152.32,0.46,40.10,72.78,38.69,3267.63,26.60,26.72,18.77,17.62
89,57.43,46.29,11.14,57.43,47.19,43.25,3.95,47.19,214.42,35.45,214.42,0.21,23.92,54.53,34.19,3060.46,28.58,26.57,17.37,17.65
90,51.67,50.36,1.31,51.67,45.47,44.23,1.24,45.47,170.21,125.38,170.21,0.31,20.42,52.23,34.87,3180.47,27.74,26.91,18.26,17.13
91,53.89,55.54,1.64,55.54,45.15,43.92,1.23,45.15,162.24,391.36,391.36,1.00,32.75,64.47,36.63,3172.25,28.58,27.11,17.77,17.10
92,59.21,51.47,7.74,59.21,48.32,43.74,4.58,48.32,224.57,134.31,224.57,0.17,23.37,58.42,38.55,3504.82,28.13,26.66,18.81,17.72
93,48.71,57.49,8.79,57.49,43.89,45.93,2.03,45.93,70.19,192.45,192.45,0.96,25.13,58.54,37.18,3341.17,26.65,25.71,17.72,18.76
94,56.66,49.70,6.95,56.66,44.95,45.76,0.80,45.76,304.47,84.07,304.47,0.47,27.29,59.97,36.78,3268.68,25.82,28.66,18.35,16.95
95,52.04,49.32,2.72,52.04,45.21,43.69,1.51,45.21,209.97,251.13,251.13,0.43,18.59,50.89,35.09,3230.07,28.67,26.14,17.65,17.57
96,55.65,57.28,1.63,57.28,46.01,44.49,1.52,46.01,249.61,239.17,249.61,0.21,32.29,64.28,36.83,3198.91,28.58,27.35,17.33,17.70
97,56.63,52.04,4.59,56.63,46.61,45.07,1.54,46.61,233.16,167.77,233.16,0.87,23.68,57.06,36.94,3338.39,27.33,26.12,20.28,18.95
98,55.12,51.17,3.95,55.12,47.09,44.55,2.54,47.09,83.59,219.84,219.84,0.93,22.37,57.35,38.33,3497.78,28.78,26.30,18.45,17.83
99,51.98,50.75,1.23,51.98,44.95,43.39,1.56,44.95,152.64,104.84,152.64,0.32,35.32,70.38,40.36,3505.94,27.27,20.60,17.19,23.25
100,60.47,51.19,9.27,60.47,43.39,43.55,0.15,43.55,670.32,169.96,670.32,0.47,27.69,65.52,41.98,3782.87,22.21,25.25,21.03,18.58
101,52.24,56.21,3.98,56.21,44.91,45.89,0.98,45.89,197.40,260.17,260.17,0.43,25.58,57.17,35.43,3158.89,27.78,26.96,17.54,16.98
102,48.43,50.94,2.52,50.94,43.73,48.06,4.33,48.06,230.06,98.17,230.06,0.88,23.93,56.04,35.70,3210.57,26.59,30.30,18.01,17.50
103,49.59,51.41,1.82,51.41,43.90,45.13,1.23,45.13,139.74,46.82,139.74,0.37,35.18,68.61,38.71,3343.12,26.30,27.63,18.23,18.05
104,52.17,51.73,0.45,52.17,43.86,44.52,0.66,44.52,444.38,159.20,444.38,0.73,22.35,55.01,36.02,3266.29,26.01,27.14,17.99,18.69
105,52.44,48.87,3.56,52.44,44.58,44.88,0.30,44.88,179.69,105.56,179.69,1.00,25.18,57.54,36.14,3236.13,26.31,27.05,18.96,18.92
106,54.17,52.41,1.76,54.17,43.95,44.60,0.64,44.60,205.95,144.27,205.95,0.23,26.98,59.18,36.24,3219.49,27.33,27.95,16.79,17.66
107,46.48,61.16,14.68,61.16,41.57,44.04,2.47,44.04,169.16,483.70,483.70,0.25,29.84,68.62,43.25,3877.43,22.87,19.28,19.47,24.50
108,54.01,55.86,1.85,55.86,44.44,45.70,1.26,45.70,299.80,209.94,299.80,1.00,26.77,60.30,37.55,3352.90,27.49,27.72,18.12,18.21
109,48.66,53.55,4.89,53.55,44.10,45.32,1.22,45.32,153.86,122.51,153.86,0.62,25.28,57.12,35.64,3184.30,25.96,27.71,18.05,18.33
110,52.55,51.82,0.73,52.55,42.72,45.13,2.41,45.13,184.23,156.03,184.23,0.99,26.48,65.40,42.89,3892.13,20.67,25.86,22.93,20.15
111,53.28,47.63,5.65,53.28,47.56,42.95,4.61,47.56,98.47,111.48,111.48,0.25,21.62,54.98,36.61,3336.31,28.67,25.49,18.90,18.45
112,53.37,57.42,4.04,57.42,44.55,46.73,2.19,46.73,226.18,195.18,226.18,0.99,23.45,55.10,35.17,3165.69,27.22,28.30,17.70,19.10
113,55.80,50.64,5.16,55.80,46.45,43.76,2.69,46.45,284.14,110.92,284.14,0.26,17.02,48.17,33.71,3115.30,28.40,27.43,18.30,16.89
114,56.20,55.22,0.98,56.20,46.41,45.51,0.91,46.41,206.11,139.98,206.11,1.00,18.76,52.58,36.64,3382.36,27.70,26.56,19.67,18.82
115,47.12,50.59,3.46,50.59,43.10,45.81,2.71,45.81,78.80,177.30,177.30,1.00,29.99,64.67,39.18,3468.25,23.95,25.67,20.71,20.25
116,48.22,49.35,1.13,49.35,43.24,44.44,1.20,44.44,137.31,78.27,137.31,0.61,27.40,57.62,34.33,3021.95,26.66,28.60,17.13,15.93
117,52.53,55.17,2.64,55.17,42.53,47.79,5.26,47.79,210.64,239.28,239.28,0.82,21.23,52.78,34.73,3154.53,24.69,30.63,17.96,17.95
118,52.69,51.25,1.45,52.69,46.16,42.65,3.52,46.16,128.23,143.61,143.61,0.36,21.35,51.83,33.69,3048.63,28.62,26.41,18.00,17.18
119,52.19,51.72,0.47,52.19,44.39,44.77,0.38,44.77,142.38,138.48,142.38,0.94,23.15,55.69,36.01,3253.60,25.88,27.06,19.72,17.99
120,47.72,55.84,8.12,55.84,43.25,45.09,1.84,45.09,81.82,135.20,135.20,1.00,21.10,53.08,35.14,3197.98,27.26,25.20,17.46,19.96
121,50.63,50.75,0.12,50.75,44.62,44.49,0.13,44.62,58.65,152.73,152.73,1.00,28.41,60.23,36.08,3182.34,28.26,26.22,17.79,18.05
122,48.95,59.12,10.17,59.12,42.21,45.77,3.56,45.77,102.81,551.18,551.18,0.83,24.71,55.58,34.58,3087.75,25.69,29.12,16.64,17.08
123,47.63,49.41,1.78,49.41,44.19,45.95,1.76,45.95,135.78,89.92,135.78,0.25,31.46,62.66,35.92,3119.95,26.35,29.29,18.13,17.54
124,54.35,52.81,1.55,54.35,46.21,44.82,1.40,46.21,169.77,184.42,184.42,0.99,17.75,52.14,37.05,3438.87,29.09,23.98,18.17,19.63
125,51.55,48.77,2.78,51.55,45.31,43.76,1.54,45.31,173.88,115.29,173.88,0.12,28.56,61.37,37.10,3281.34,24.96,27.05,20.45,17.48
126,47.96,50.82,2.86,50.82,44.20,44.68,0.48,44.68,57.02,87.13,87.13,0.99,27.50,57.15,33.78,2965.56,28.15,26.81,16.56,18.25
127,53.44,54.12,0.68,54.12,44.93,44.94,0.01,44.94,116.47,267.90,267.90,1.00,20.49,50.92,33.50,3042.59,27.93,27.79,18.08,17.50
128,50.50,51.19,0.70,51.19,43.26,47.10,3.83,47.10,153.52,119.57,153.52,0.95,30.58,63.15,37.15,3256.48,25.38,28.52,18.47,19.52
129,54.43,46.25,8.17,54.43,47.44,42.47,4.96,47.44,127.89,146.28,146.28,0.97,26.51,59.24,36.70,3272.68,28.74,25.08,19.08,18.19
130,48.91,50.59,1.68,50.59,44.69,43.87,0.82,44.69,131.07,148.29,148.29,0.93,21.63,53.35,34.97,3172.13,26.94,27.13,18.38,17.85
131,50.58,50.84,0.26,50.84,44.47,44.09,0.39,44.47,164.40,105.64,164.40,0.63,34.79,65.92,36.35,3113.16,27.43,27.92,18.03,17.27
132,53.37,51.04,2.34,53.37,47.00,44.00,2.99,47.00,68.55,233.47,233.47,0.97,27.02,60.73,37.77,3371.28,29.05,24.64,18.78,18.65
133,49.96,51.55,1.59,51.55,43.55,43.50,0.05,43.55,130.52,100.99,130.52,0.63,27.43,61.03,37.71,3359.67,25.39,26.55,19.23,17.92
134,56.66,53.66,3.00,56.66,46.15,44.39,1.75,46.15,289.69,284.05,289.69,0.87,20.10,52.37,35.29,3227.61,28.39,26.04,18.10,18.11
135,49.98,51.74,1.75,51.74,44.95,43.82,1.12,44.95,140.94,194.03,194.03,1.00,27.87,58.06,34.37,3018.78,28.46,26.02,17.49,18.15
136,56.74,47.69,9.05,56.74,44.21,44.42,0.20,44.42,205.93,97.98,205.93,0.30,33.59,70.13,41.58,3654.16,21.74,26.31,23.02,18.83
137,51.34,52.26,0.92,52.26,46.43,43.26,3.16,46.43,172.71,163.72,172.71,0.31,19.06,50.82,34.62,3175.95,28.84,27.46,16.82,16.54
138,58.59,49.17,9.42,58.59,45.14,44.43,0.71,45.14,273.53,52.66,273.53,0.15,29.35,64.15,39.21,3480.90,25.62,27.54,18.71,18.25
139,50.05,50.46,0.41,50.46,43.77,44.76,0.99,44.76,114.96,115.99,115.99,1.00,28.63,61.55,37.21,3291.64,24.44,26.71,21.00,18.34
140,49.20,57.36,8.16,57.36,44.04,45.78,1.74,45.78,126.29,211.44,211.44,0.94,21.37,53.14,34.98,3177.44,26.33,27.96,18.06,18.33
141,51.58,51.29,0.29,51.58,45.99,45.02,0.97,45.99,133.60,137.07,137.07,1.00,17.30,47.43,32.72,3012.90,29.12,26.62,17.56,17.81
142,58.16,49.04,9.11,58.16,44.60,45.97,1.37,45.97,277.50,86.31,277.50,0.14,28.46,62.04,37.85,3358.66,25.38,28.99,17.83,18.71
143,47.88,51.80,3.92,51.80,43.14,47.69,4.54,47.69,153.09,111.36,153.09,0.99,22.70,54.15,34.85,3144.97,25.65,30.31,17.92,17.73
144,50.80,49.48,1.32,50.80,45.37,43.76,1.61,45.37,118.51,132.86,132.86,0.27,28.50,60.43,36.21,3193.48,28.71,27.04,17.24,17.49
145,55.40,48.54,6.86,55.40,44.46,42.65,1.81,44.46,223.15,177.32,223.15,0.33,31.57,67.32,40.49,3575.71,26.39,22.17,18.14,21.32
146,54.38,51.51,2.87,54.38,44.89,42.62,2.27,44.89,177.28,252.89,252.89,1.00,22.93,54.97,35.47,3203.41,27.77,25.96,18.50,17.95
147,54.26,52.07,2.19,54.26,44.55,45.37,0.82,45.37,190.48,104.60,190.48,1.00,27.54,59.95,36.54,3240.92,26.50,27.28,18.59,18.70
148,51.03,55.32,4.28,55.32,46.89,42.34,4.55,46.89,43.60,297.71,297.71,0.93,20.72,49.28,31.67,2855.74,30.54,27.15,16.89,15.84
149,50.18,50.98,0.80,50.98,43.60,43.66,0.05,43.66,145.76,168.31,168.31,0.70,24.12,57.33,36.83,3320.86,24.88,26.96,18.84,17.30
150,50.04,51.12,1.08,51.12,44.61,42.91,1.69,44.61,48.39,174.01,174.01,1.00,19.11,48.99,32.75,2988.02,29.06,26.22,16.46,16.97
151,51.79,53.11,1.32,53.11,44.74,45.63,0.89,45.63,162.82,184.75,184.75,0.54,18.90,51.24,35.18,3234.83,26.19,28.78,18.97,18.46
152,50.00,49.37,0.63,50.00,45.45,44.71,0.74,45.45,61.18,170.38,170.38,0.99,23.09,55.50,35.88,3241.40,27.97,27.94,18.38,17.59
153,48.00,54.85,6.85,54.85,44.00,44.19,0.19,44.19,76.34,411.29,411.29,0.67,19.09,51.12,34.90,3203.24,23.91,27.33,20.23,17.53
154,50.69,52.54,1.85,52.54,43.90,42.09,1.80,43.90,104.15,126.14,126.14,0.56,30.27,72.37,46.65,4210.61,22.87,16.22,21.78,26.30
155,54.29,49.64,4.65,54.29,46.79,43.84,2.95,46.79,138.86,129.67,138.86,0.30,28.15,61.50,37.57,3334.95,28.39,26.07,18.59,17.74
156,55.98,55.98,0.00,55.98,46.00,44.90,1.10,46.00,234.40,220.18,234.40,0.37,25.10,59.48,38.15,3438.17,27.20,26.65,18.70,18.04
157,52.17,51.77,0.40,52.17,46.06,45.10,0.95,46.06,82.95,78.83,82.95,0.25,34.12,65.94,36.94,3182.30,28.44,27.68,16.42,18.97
158,50.65,55.11,4.46,55.11,44.28,44.15,0.13,44.28,121.05,176.17,176.17,0.97,22.42,57.10,38.05,3468.55,26.32,25.95,18.87,19.22
159,53.64,49.24,4.40,53.64,45.78,44.20,1.57,45.78,150.06,165.06,165.06,0.33,26.70,62.48,39.78,3577.84,23.89,28.01,22.47,15.59
160,48.85,52.28,3.43,52.28,41.74,46.43,4.69,46.43,151.55,100.22,151.55,0.93,32.79,68.76,40.89,3597.54,19.31,28.07,23.01,19.44
161,59.36,49.53,9.83,59.36,44.98,43.04,1.94,44.98,422.20,124.00,422.20,0.14,33.16,67.51,39.32,3434.39,24.93,26.12,20.47,18.49
162,50.57,45.39,5.19,50.57,43.71,43.89,0.18,43.89,217.58,13.59,217.58,0.22,40.07,69.41,35.34,2933.19,25.57,28.13,18.25,16.85
163,55.73,49.85,5.88,55.73,46.69,42.49,4.20,46.69,183.85,293.87,293.87,0.22,22.38,58.65,39.63,3627.24,26.97,21.75,18.79,20.34
164,52.72,48.37,4.35,52.72,43.83,45.51,1.68,45.51,175.45,28.15,175.45,0.17,21.66,50.25,31.83,2858.50,26.91,29.09,16.41,17.92
