,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,SemiVar0,SemiVar1,Max SemiVar,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,a_1,a_2,b_1,b_2,p1,p2
25,8.95,8.73,0.22,8.95,8.86,8.88,0.02,8.88,0.89,3.47,3.47,0.78,4.08,9.41,5.94,533.25,0.92,0.90,-4.48,-4.11,2.82,2.86
26,8.75,9.31,0.56,9.31,8.84,8.83,0.02,8.84,1.78,0.38,1.78,0.55,3.64,6.95,3.86,331.20,0.87,0.82,-4.74,-5.14,2.23,1.56
27,8.84,8.66,0.18,8.84,8.65,8.54,0.11,8.65,1.21,1.23,1.23,0.66,2.85,8.00,5.58,514.99,0.92,0.86,-3.55,-4.68,3.71,2.13
28,8.70,8.64,0.06,8.70,8.42,8.78,0.37,8.78,0.77,1.98,1.98,0.66,2.25,8.00,6.09,575.24,0.89,0.95,-4.37,-3.99,2.62,3.47
29,8.82,8.42,0.39,8.82,8.60,8.53,0.08,8.60,0.86,3.42,3.42,0.64,2.54,8.17,6.02,563.49,0.83,0.96,-4.85,-3.55,1.71,3.99
30,8.64,9.17,0.53,9.17,8.52,8.89,0.37,8.89,1.31,0.36,1.31,0.84,2.77,5.96,3.61,319.08,0.87,0.80,-4.76,-5.13,2.29,1.44
31,9.31,8.44,0.86,9.31,9.06,8.63,0.43,9.06,1.03,1.18,1.18,0.63,4.06,8.92,5.46,485.51,0.84,0.96,-4.90,-4.10,1.87,3.62
32,8.70,8.98,0.28,8.98,8.52,8.91,0.39,8.91,1.05,2.50,2.50,0.84,3.52,8.07,5.08,455.35,0.88,0.92,-4.81,-4.33,2.21,2.95
33,9.37,8.31,1.06,9.37,8.71,8.63,0.08,8.71,0.62,1.40,1.40,0.57,3.21,8.18,5.46,497.44,0.80,0.94,-5.16,-3.45,1.32,3.96
34,8.74,9.21,0.47,9.21,8.88,8.69,0.19,8.88,2.19,1.03,2.19,0.50,3.18,7.95,5.25,477.19,0.94,0.82,-3.99,-4.78,3.51,1.73
35,8.67,8.26,0.41,8.67,8.72,8.62,0.11,8.72,1.32,3.50,3.50,0.79,2.69,8.50,6.21,580.47,0.94,0.88,-3.42,-4.59,3.99,2.31
36,8.68,9.48,0.81,9.48,8.83,8.94,0.11,8.94,1.47,0.81,1.47,0.76,3.13,8.00,5.34,487.35,0.99,0.78,-4.18,-4.49,3.66,1.65
37,8.67,8.88,0.21,8.88,8.68,8.61,0.07,8.68,1.28,0.70,1.28,0.52,4.18,9.41,5.86,522.89,0.93,0.85,-3.40,-4.93,3.91,1.78
38,9.31,8.82,0.49,9.31,9.06,8.63,0.43,9.06,0.29,1.30,1.30,0.61,3.78,8.00,4.79,422.35,0.74,0.96,-5.06,-3.83,1.09,3.81
39,9.12,8.55,0.57,9.12,8.87,8.86,0.01,8.87,0.88,1.84,1.84,0.64,2.99,8.00,5.46,501.08,0.78,0.94,-4.51,-3.68,1.61,3.74
40,8.61,8.91,0.29,8.91,8.66,8.93,0.28,8.93,2.52,1.09,2.52,0.58,2.99,7.89,5.35,490.29,0.92,0.87,-4.33,-4.40,2.87,2.47
41,9.10,8.94,0.15,9.10,8.91,8.70,0.20,8.91,0.64,0.82,0.82,0.56,3.53,7.68,4.68,415.19,0.96,0.82,-4.55,-4.74,3.13,1.81
42,8.65,8.76,0.11,8.76,8.93,8.46,0.47,8.93,1.86,1.66,1.86,0.68,2.79,8.54,6.16,574.37,0.96,0.95,-4.46,-4.20,3.15,3.27
43,8.63,8.58,0.05,8.63,8.61,8.71,0.10,8.71,1.03,2.01,2.01,0.71,2.37,8.37,6.36,600.21,0.88,0.94,-3.24,-4.61,3.52,2.72
44,8.71,8.84,0.13,8.84,8.86,8.53,0.33,8.86,0.96,0.77,0.96,0.70,2.94,8.00,5.50,505.96,0.99,0.83,-3.84,-5.03,3.97,1.49
45,8.74,9.23,0.49,9.23,8.81,8.85,0.04,8.85,0.77,0.66,0.77,0.75,4.15,7.43,3.90,327.98,0.89,0.85,-5.02,-5.28,2.14,1.70
46,8.92,8.95,0.03,8.95,8.71,8.94,0.23,8.94,0.63,1.43,1.43,0.88,2.83,8.00,5.60,517.16,0.77,0.96,-4.52,-3.48,1.62,4.08
47,8.82,8.55,0.28,8.82,8.70,8.58,0.12,8.70,0.70,1.31,1.31,0.49,2.44,8.00,5.93,556.37,0.86,0.96,-4.66,-3.73,2.10,3.77
48,8.78,9.02,0.24,9.02,8.54,8.71,0.17,8.71,0.83,1.04,1.04,0.70,2.54,5.77,3.61,322.65,0.83,0.84,-5.00,-4.80,1.67,1.95
49,8.92,8.77,0.15,8.92,8.76,8.77,0.01,8.77,1.09,1.50,1.50,0.84,2.76,7.23,4.88,446.92,0.88,0.93,-5.23,-4.08,1.85,3.33
50,8.97,9.01,0.04,9.01,8.63,8.70,0.07,8.70,0.68,0.82,0.82,0.63,2.77,8.00,5.65,523.30,0.92,0.83,-3.18,-4.77,3.96,1.83
51,8.87,8.49,0.38,8.87,8.68,8.60,0.08,8.68,1.77,1.56,1.77,0.42,2.24,8.57,6.67,633.24,0.92,0.90,-3.41,-4.19,3.78,2.89
52,8.37,8.69,0.32,8.69,8.39,8.70,0.31,8.70,2.10,2.36,2.36,0.61,3.07,9.75,7.14,667.75,0.92,0.97,-3.81,-4.12,3.39,3.40
53,8.91,8.91,0.01,8.91,8.79,8.71,0.09,8.79,1.25,0.86,1.25,0.71,3.70,8.00,4.86,430.26,1.00,0.77,-4.33,-4.94,3.63,1.29
54,8.70,8.91,0.21,8.91,8.41,8.57,0.16,8.57,0.66,1.05,1.05,0.89,5.30,9.37,4.87,407.31,0.91,0.96,-5.42,-4.66,1.86,3.00
55,8.88,8.72,0.16,8.88,8.81,8.73,0.08,8.81,1.36,1.46,1.46,0.75,2.93,8.61,6.12,568.03,0.97,0.83,-3.31,-4.87,4.27,1.63
56,8.61,8.58,0.03,8.61,8.71,8.51,0.20,8.71,1.37,0.89,1.37,0.64,2.62,8.32,6.09,569.90,0.92,0.98,-4.92,-3.84,2.31,3.83
57,8.99,8.74,0.25,8.99,8.89,8.92,0.03,8.92,1.14,2.07,2.07,0.55,3.36,7.62,4.76,425.36,0.82,0.94,-5.10,-4.30,1.55,3.18
58,8.86,8.64,0.22,8.86,8.63,8.83,0.20,8.83,0.97,1.70,1.70,0.76,3.45,8.00,5.07,455.21,0.85,0.96,-4.90,-4.43,1.93,3.18
59,9.34,8.81,0.53,9.34,9.02,8.79,0.23,9.02,0.37,1.05,1.05,0.60,3.33,8.00,5.17,467.31,0.78,0.93,-4.76,-3.72,1.49,3.66
60,8.66,8.39,0.27,8.66,8.67,8.64,0.03,8.67,2.63,1.66,2.63,0.59,3.55,9.47,6.46,592.55,0.97,0.88,-3.35,-4.92,4.22,2.09
61,8.76,8.66,0.10,8.76,8.81,8.69,0.12,8.81,3.01,2.34,3.01,0.50,3.76,8.16,4.97,440.33,0.84,0.91,-4.56,-4.40,2.14,2.81
62,8.72,8.68,0.05,8.72,8.87,8.53,0.34,8.87,0.56,1.46,1.46,0.62,3.80,9.47,6.24,567.45,0.96,0.93,-3.78,-4.89,3.76,2.34
63,8.78,8.76,0.02,8.78,8.77,8.76,0.01,8.77,1.12,1.39,1.39,0.77,2.98,7.43,4.90,445.31,0.91,0.88,-4.77,-4.26,2.39,2.68
64,9.01,9.51,0.49,9.51,8.87,8.69,0.18,8.87,1.56,0.59,1.56,0.66,3.32,8.00,5.18,467.76,0.98,0.68,-4.10,-4.00,3.65,1.40
65,8.34,9.13,0.79,9.13,8.55,9.00,0.44,9.00,2.32,0.36,2.32,0.63,3.56,8.31,5.28,474.97,0.95,0.82,-3.81,-5.24,3.74,1.47
66,9.05,8.64,0.42,9.05,8.92,8.50,0.42,8.92,0.54,1.54,1.54,0.67,3.26,6.56,3.79,330.26,0.82,0.88,-5.00,-4.85,1.56,2.24
67,9.17,8.26,0.91,9.17,8.91,8.88,0.04,8.91,1.71,2.85,2.85,0.65,2.80,8.00,5.62,520.11,0.86,0.99,-4.93,-4.09,1.86,3.73
68,9.18,8.59,0.58,9.18,9.13,8.46,0.68,9.13,0.73,3.08,3.08,0.51,3.10,7.24,4.60,413.67,0.85,0.90,-5.19,-4.27,1.65,2.83
69,8.87,9.13,0.26,9.13,8.61,8.91,0.30,8.91,1.77,1.02,1.77,0.49,3.27,8.00,5.22,473.04,0.90,0.92,-4.62,-4.46,2.49,2.83
70,8.65,8.72,0.07,8.72,8.57,8.75,0.19,8.75,1.23,1.01,1.23,0.63,3.52,8.15,5.16,463.20,0.91,0.94,-4.58,-4.78,2.56,2.50
71,8.55,9.50,0.94,9.50,8.74,9.08,0.34,9.08,1.31,0.60,1.31,0.86,3.63,8.00,4.92,437.16,0.97,0.74,-3.84,-4.99,3.96,1.09
72,8.46,8.72,0.26,8.72,8.68,8.46,0.22,8.68,1.86,0.79,1.86,0.52,3.55,8.32,5.30,476.72,0.96,0.86,-4.26,-5.16,3.42,1.80
73,8.46,8.64,0.18,8.64,8.51,8.70,0.19,8.70,1.22,2.10,2.10,0.65,3.13,7.71,5.06,458.66,0.86,0.88,-3.95,-4.83,2.90,2.10
74,8.59,8.30,0.29,8.59,8.68,8.64,0.04,8.68,1.37,1.64,1.64,0.79,2.55,8.56,6.40,601.29,0.91,0.99,-4.58,-3.52,2.57,4.18
75,8.50,9.12,0.62,9.12,8.29,8.80,0.51,8.80,0.91,1.27,1.27,0.56,3.69,9.15,6.02,546.44,0.88,0.95,-4.60,-3.70,2.31,3.77
76,8.59,9.08,0.49,9.08,8.75,8.66,0.09,8.75,1.49,1.57,1.57,0.65,3.13,8.00,5.34,487.26,0.92,0.79,-3.43,-5.10,3.89,1.27
77,8.35,8.83,0.48,8.83,8.19,8.91,0.72,8.91,1.57,1.82,1.82,0.72,3.18,8.70,6.00,552.52,0.98,0.82,-3.82,-4.63,3.88,1.92
78,9.01,8.93,0.08,9.01,8.94,8.81,0.14,8.94,1.56,0.66,1.56,0.63,2.52,6.84,4.69,431.47,0.89,0.86,-4.35,-4.80,2.74,2.03
79,8.62,9.05,0.43,9.05,8.57,8.63,0.06,8.63,1.67,1.69,1.69,0.59,4.33,9.81,6.13,548.20,1.00,0.82,-3.94,-4.49,3.84,1.98
80,8.21,8.45,0.24,8.45,8.41,8.34,0.07,8.41,1.46,1.76,1.76,0.67,3.12,8.39,5.73,526.39,0.92,0.97,-5.29,-3.74,2.01,3.79
81,8.39,9.13,0.74,9.13,8.54,8.75,0.21,8.75,2.74,1.02,2.74,0.60,3.07,8.00,5.39,493.32,0.91,0.87,-4.44,-4.26,2.69,2.57
82,8.87,8.61,0.26,8.87,8.85,8.43,0.42,8.85,1.35,1.81,1.81,0.46,2.58,7.67,5.48,508.80,0.90,0.84,-3.50,-4.74,3.61,1.95
83,9.11,8.90,0.20,9.11,8.84,8.66,0.17,8.84,2.25,1.50,2.25,0.60,3.05,9.58,6.98,652.40,0.88,0.83,-2.89,-3.43,4.03,2.95
84,9.51,8.62,0.89,9.51,9.25,8.72,0.53,9.25,1.05,0.66,1.05,0.48,3.47,7.81,4.87,434.91,0.71,0.97,-4.44,-3.97,1.35,3.74
85,8.73,8.48,0.26,8.73,8.48,8.57,0.09,8.57,0.51,2.37,2.37,0.61,3.40,9.40,6.51,600.06,0.86,0.96,-4.19,-3.79,2.61,3.72
86,8.50,8.75,0.26,8.75,8.48,8.76,0.28,8.76,1.68,1.42,1.68,0.64,3.41,8.45,5.55,503.99,0.90,0.91,-4.83,-3.86,2.21,3.30
87,9.00,8.12,0.88,9.00,8.97,8.35,0.62,8.97,1.64,1.76,1.76,0.40,2.88,8.21,5.76,533.19,0.86,0.97,-4.92,-3.57,1.99,4.00
88,8.55,8.98,0.43,8.98,8.62,8.66,0.04,8.66,1.92,2.62,2.62,0.40,2.64,7.69,5.45,504.93,0.94,0.88,-4.15,-4.67,3.21,2.22
89,9.40,8.84,0.56,9.40,9.13,8.74,0.39,9.13,1.04,1.29,1.29,0.46,3.29,8.00,5.20,471.15,0.95,0.90,-4.69,-4.90,2.90,2.21
90,8.86,8.89,0.04,8.89,8.99,8.63,0.36,8.99,2.41,0.76,2.41,0.40,3.35,8.00,5.15,465.26,0.91,0.77,-3.68,-4.67,3.60,1.53
91,8.73,9.18,0.45,9.18,8.90,8.97,0.07,8.97,1.58,1.05,1.58,0.71,3.63,8.00,4.91,436.58,0.96,0.77,-3.84,-5.14,3.92,1.20
92,9.22,8.89,0.33,9.22,8.54,8.75,0.21,8.75,1.20,0.62,1.20,0.71,3.26,7.80,5.04,454.87,0.75,0.90,-4.41,-3.63,1.61,3.68
93,9.01,9.14,0.12,9.14,8.91,8.74,0.17,8.91,1.33,1.04,1.33,0.51,3.93,8.00,4.66,406.69,0.90,0.81,-4.30,-5.05,3.03,1.55
94,8.60,9.68,1.07,9.68,8.60,8.99,0.39,8.99,1.77,0.56,1.77,0.76,3.63,8.00,4.92,437.34,0.96,0.73,-3.95,-4.71,3.75,1.15
95,8.68,8.67,0.01,8.68,8.62,8.87,0.25,8.87,1.48,1.77,1.77,0.68,2.90,7.72,5.25,481.32,0.89,0.88,-4.21,-4.58,2.83,2.39
96,8.55,8.65,0.10,8.65,8.41,8.53,0.12,8.53,1.41,1.11,1.41,0.43,3.24,8.56,5.81,532.20,0.93,0.93,-3.55,-5.35,3.75,2.06
97,9.01,8.98,0.03,9.01,8.93,8.71,0.22,8.93,0.87,1.06,1.06,0.81,2.76,6.99,4.64,423.11,0.86,0.94,-5.29,-4.11,1.66,3.34
98,8.83,8.75,0.08,8.83,8.90,8.78,0.13,8.90,1.02,1.09,1.09,0.80,3.03,7.35,4.77,431.92,0.97,0.84,-4.43,-4.92,3.28,1.75
99,8.65,8.59,0.05,8.65,8.67,8.39,0.28,8.67,2.10,0.96,2.10,0.52,3.50,9.22,6.25,572.51,0.99,0.82,-3.55,-4.36,4.17,2.06
100,9.63,8.92,0.71,9.63,9.30,8.97,0.32,9.30,0.42,0.99,0.99,0.78,4.38,7.07,3.34,268.55,0.61,0.87,-4.37,-4.58,0.82,2.72
101,8.25,8.97,0.72,8.97,8.37,8.67,0.31,8.67,0.87,1.76,1.76,0.84,2.75,7.67,5.32,491.07,0.92,0.81,-3.52,-4.65,3.72,1.76
102,8.95,8.93,0.02,8.95,8.75,8.76,0.02,8.76,1.27,0.59,1.27,0.64,3.80,8.00,4.77,419.55,0.77,0.93,-4.66,-3.78,1.52,3.57
103,9.04,9.07,0.03,9.07,8.69,9.22,0.53,9.22,1.49,1.15,1.49,0.85,3.08,7.17,4.56,409.41,0.92,0.89,-4.90,-4.79,2.46,2.28
104,8.94,8.73,0.21,8.94,8.78,8.70,0.08,8.78,1.02,1.43,1.43,0.57,3.60,10.14,7.08,653.61,0.93,0.94,-3.24,-4.49,4.05,2.80
105,8.89,8.87,0.02,8.89,8.80,8.47,0.33,8.80,2.01,0.88,2.01,0.61,3.10,8.21,5.58,511.34,0.94,0.86,-3.94,-4.72,3.57,2.04
106,8.72,8.52,0.20,8.72,8.56,8.67,0.11,8.67,0.83,1.45,1.45,0.75,3.23,8.00,5.26,477.38,0.77,0.97,-4.55,-4.03,1.56,3.67
107,8.98,8.97,0.02,8.98,8.58,8.99,0.41,8.99,1.12,1.00,1.12,0.70,3.10,6.46,3.82,335.80,0.84,0.88,-4.95,-5.04,1.89,1.97
108,8.51,8.45,0.05,8.51,8.66,8.54,0.12,8.66,1.76,1.10,1.76,0.72,2.77,7.34,4.98,456.92,0.94,0.89,-4.54,-4.78,2.80,2.25
109,9.10,8.82,0.28,9.10,8.86,8.69,0.17,8.86,1.25,2.38,2.38,0.70,3.01,7.35,4.80,434.49,0.82,0.96,-4.99,-4.49,1.62,3.14
110,8.76,8.81,0.05,8.81,8.70,8.65,0.05,8.70,1.73,0.78,1.73,0.50,3.60,8.62,5.56,502.51,0.96,0.92,-4.73,-4.58,2.78,2.70
111,8.86,8.46,0.40,8.86,8.75,8.66,0.09,8.75,0.68,0.66,0.68,0.41,2.94,8.00,5.50,506.12,0.82,0.96,-5.11,-3.46,1.52,4.21
112,8.88,8.76,0.12,8.88,8.93,8.74,0.19,8.93,1.22,1.81,1.81,0.66,2.60,7.27,5.06,466.59,0.91,0.90,-4.66,-4.29,2.39,2.76
113,8.80,8.44,0.36,8.80,8.76,8.35,0.42,8.76,0.51,1.51,1.51,0.59,3.14,7.76,5.09,462.45,0.79,0.95,-4.53,-4.07,1.77,3.47
114,8.96,8.89,0.07,8.96,8.60,8.78,0.18,8.78,1.14,1.04,1.14,0.60,2.92,8.50,6.02,557.80,0.77,0.95,-3.43,-4.06,2.46,3.53
115,8.92,8.86,0.06,8.92,8.86,8.66,0.21,8.86,1.31,0.68,1.31,0.57,3.42,7.78,4.87,436.02,0.86,0.90,-5.07,-4.07,1.72,3.08
116,8.77,8.83,0.06,8.83,8.31,8.91,0.60,8.91,0.66,2.55,2.55,0.56,2.62,8.54,6.32,592.74,0.68,0.99,-2.77,-4.06,2.49,3.78
117,8.67,8.60,0.07,8.67,8.77,8.52,0.24,8.77,2.47,1.54,2.47,0.75,3.22,7.89,5.15,466.92,0.93,0.89,-4.07,-5.05,3.16,1.96
118,8.63,8.76,0.13,8.76,8.79,8.73,0.06,8.79,0.89,1.43,1.43,0.65,3.17,8.83,6.13,565.77,0.97,0.84,-3.40,-4.79,4.28,1.92
119,9.08,8.56,0.52,9.08,9.00,8.58,0.42,9.00,1.45,1.62,1.62,0.35,2.74,7.21,4.88,447.07,0.87,0.87,-4.91,-4.22,2.04,2.70
120,8.98,9.03,0.06,9.03,9.06,8.91,0.14,9.06,1.59,0.87,1.59,0.54,2.80,7.00,4.62,420.34,0.77,0.96,-4.89,-4.25,1.33,3.50
121,8.16,8.75,0.59,8.75,8.52,8.57,0.06,8.57,4.31,0.81,4.31,0.24,3.24,8.27,5.52,503.34,0.93,0.93,-4.90,-4.32,2.38,3.07
122,9.13,8.40,0.72,9.13,8.85,8.38,0.46,8.85,1.20,1.38,1.38,0.38,4.77,11.06,7.01,629.75,0.95,0.93,-3.82,-3.88,3.57,3.34
123,8.96,9.16,0.20,9.16,8.95,8.90,0.05,8.95,0.75,0.71,0.75,0.68,2.65,5.76,3.51,310.85,0.94,0.77,-5.26,-4.85,2.28,1.35
124,8.93,8.41,0.51,8.93,8.57,8.65,0.08,8.65,1.85,3.22,3.22,0.58,3.43,8.00,5.08,457.03,0.78,1.00,-4.87,-4.58,1.39,3.39
125,8.62,8.74,0.12,8.74,8.61,8.65,0.03,8.65,1.25,3.44,3.44,0.71,2.20,7.94,6.07,574.03,0.96,0.95,-4.68,-4.13,2.87,3.31
126,8.68,8.63,0.05,8.68,8.65,8.76,0.11,8.76,0.74,1.79,1.79,0.74,2.97,7.98,5.46,500.94,0.85,0.95,-5.23,-3.74,1.58,3.81
127,8.78,8.50,0.28,8.78,8.86,8.49,0.38,8.86,1.51,1.21,1.51,0.54,2.26,8.67,6.75,640.65,0.94,0.94,-3.78,-4.17,3.59,3.26
128,8.48,9.36,0.89,9.36,8.92,9.08,0.16,9.08,1.11,0.83,1.11,0.86,3.51,8.00,5.02,448.85,1.01,0.64,-3.94,-4.07,4.20,1.06
129,8.67,8.78,0.11,8.78,8.77,8.67,0.10,8.77,1.44,1.46,1.46,0.67,3.04,8.11,5.53,507.46,0.93,0.95,-4.56,-4.59,2.75,2.82
130,8.70,8.60,0.10,8.70,8.30,8.62,0.32,8.62,1.62,1.75,1.75,0.71,2.95,9.47,6.96,652.08,0.92,0.93,-3.33,-4.16,3.82,3.15
131,8.52,9.04,0.51,9.04,8.62,8.76,0.14,8.76,2.06,1.22,2.06,0.47,2.97,8.03,5.51,506.00,0.95,0.91,-4.28,-4.87,3.19,2.34
132,8.78,8.74,0.05,8.78,8.73,8.57,0.15,8.73,0.92,2.42,2.42,0.76,2.67,8.42,6.15,574.97,0.90,0.96,-4.70,-3.65,2.39,3.71
133,8.78,9.15,0.37,9.15,8.74,8.87,0.13,8.87,1.42,0.85,1.42,0.68,2.90,7.31,4.84,440.54,0.82,0.95,-4.91,-4.36,1.69,3.23
134,8.62,8.57,0.05,8.62,8.86,8.64,0.23,8.86,1.22,2.10,2.10,0.68,2.76,8.67,6.32,590.48,0.91,0.90,-4.90,-3.17,2.44,3.94
135,8.68,8.41,0.27,8.68,8.74,8.57,0.18,8.74,1.84,1.18,1.84,0.56,3.13,8.41,5.75,527.97,0.85,0.96,-5.14,-3.65,1.62,3.92
136,9.13,8.43,0.70,9.13,8.88,8.36,0.52,8.88,1.53,1.45,1.53,0.84,1.84,7.20,5.64,536.16,0.94,0.90,-4.09,-4.27,3.42,2.60
137,8.49,9.06,0.58,9.06,8.41,8.78,0.37,8.78,1.37,1.83,1.83,0.84,3.25,7.70,4.94,444.76,0.93,0.86,-3.89,-5.24,3.38,1.62
138,9.82,9.09,0.73,9.82,9.23,8.95,0.27,9.23,0.59,1.26,1.26,0.76,3.58,7.67,4.63,408.82,0.62,0.93,-4.11,-3.69,0.94,3.88
139,8.31,8.93,0.62,8.93,8.66,8.58,0.08,8.66,1.29,0.71,1.29,0.65,3.25,8.20,5.43,494.63,0.97,0.84,-4.11,-4.81,3.61,1.77
140,9.20,8.60,0.60,9.20,8.76,9.08,0.33,9.08,0.59,2.28,2.28,0.77,3.93,8.00,4.66,407.02,0.72,0.97,-4.59,-4.41,1.30,3.33
141,9.09,8.98,0.11,9.09,8.92,8.66,0.27,8.92,0.95,0.62,0.95,0.63,3.44,7.54,4.62,410.16,0.87,0.91,-4.65,-4.72,2.33,2.42
142,9.01,8.41,0.60,9.01,8.67,8.65,0.02,8.67,0.92,2.28,2.28,0.58,3.30,8.00,5.20,470.06,0.68,0.98,-4.09,-3.87,1.35,3.97
143,8.53,9.10,0.57,9.10,8.50,8.74,0.25,8.74,1.10,1.17,1.17,0.77,2.97,7.91,5.39,494.42,0.95,0.89,-4.49,-4.54,2.95,2.41
144,8.86,9.23,0.37,9.23,8.98,8.83,0.15,8.98,0.90,0.39,0.90,0.68,3.32,8.00,5.18,468.50,0.93,0.70,-3.57,-4.28,3.96,1.28
145,8.52,9.00,0.49,9.00,8.78,8.83,0.05,8.83,1.57,0.39,1.57,0.67,3.20,7.94,5.22,473.89,0.96,0.87,-4.15,-5.03,3.49,1.91
146,9.22,8.64,0.58,9.22,8.86,8.60,0.27,8.86,1.20,2.00,2.00,0.64,4.17,8.72,5.17,454.37,0.79,0.93,-4.95,-3.92,1.62,3.43
147,8.88,8.39,0.48,8.88,8.59,8.60,0.01,8.60,1.56,2.90,2.90,0.69,2.99,8.00,5.46,500.73,0.91,0.91,-4.52,-4.60,2.78,2.60
