,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,a_1,a_2,b_1,b_2
30,5.40,5.45,0.05,5.45,4.42,4.58,0.16,0.00,5.54,11.50,6.79,595.36,0.87,0.82,-3.55,-3.26
31,5.82,6.33,0.51,6.33,4.83,5.24,0.41,0.03,6.63,11.10,5.47,447.18,0.89,0.86,-4.37,-4.30
32,6.06,6.17,0.11,6.17,5.13,5.12,0.01,0.02,5.28,9.87,5.38,458.93,0.86,0.80,-4.20,-3.67
33,5.65,5.59,0.06,5.65,4.84,4.65,0.19,0.00,6.94,12.57,6.67,562.60,0.85,0.89,-3.84,-4.18
34,5.74,5.35,0.40,5.74,4.80,4.48,0.32,0.00,5.91,11.52,6.50,560.84,0.91,0.88,-3.99,-3.63
35,5.40,5.52,0.12,5.52,4.63,4.55,0.09,0.01,6.54,12.76,7.20,622.18,0.85,0.87,-3.46,-3.60
36,7.02,7.30,0.28,7.30,5.89,6.34,0.45,0.20,5.57,8.79,4.05,321.83,0.80,0.77,-4.63,-4.52
37,6.00,5.94,0.06,6.00,4.94,5.14,0.20,0.02,6.39,11.25,5.82,486.03,0.81,0.83,-3.66,-3.94
38,6.25,6.48,0.23,6.48,5.33,5.43,0.09,0.01,5.41,9.43,4.83,402.08,0.88,0.79,-4.77,-4.11
39,6.82,6.89,0.08,6.89,5.58,5.90,0.31,0.06,6.07,9.40,4.24,332.93,0.79,0.80,-4.34,-4.46
40,6.19,6.14,0.05,6.19,5.23,5.10,0.12,0.02,6.65,10.95,5.30,430.56,0.80,0.80,-3.94,-3.80
41,7.05,6.64,0.41,7.05,5.82,5.73,0.09,0.07,6.20,9.79,4.52,358.80,0.77,0.77,-4.26,-4.11
42,5.94,6.07,0.13,6.07,5.16,5.17,0.00,0.00,6.55,10.97,5.40,442.08,0.89,0.82,-4.60,-4.04
43,6.02,5.96,0.06,6.02,4.89,5.07,0.18,0.02,6.14,10.74,5.52,460.01,0.87,0.81,-4.18,-3.74
44,5.06,5.64,0.59,5.64,4.40,4.65,0.26,0.00,4.56,10.13,6.26,557.26,0.79,0.91,-3.01,-4.12
45,6.05,5.51,0.53,6.05,4.96,4.69,0.27,0.00,6.95,12.32,6.41,536.43,0.86,0.87,-3.89,-3.82
46,5.37,5.04,0.33,5.37,4.49,4.16,0.34,0.00,6.90,13.33,7.46,642.55,0.85,0.93,-3.36,-3.82
47,6.25,6.06,0.19,6.25,5.37,5.14,0.22,0.00,4.78,9.16,5.09,437.67,0.86,0.81,-4.36,-3.92
48,6.27,6.16,0.11,6.27,5.45,5.18,0.27,0.00,7.43,11.49,5.18,406.24,0.79,0.80,-3.74,-3.87
49,6.31,6.50,0.19,6.50,5.36,5.55,0.18,0.00,6.19,10.53,5.27,434.30,0.77,0.83,-3.69,-4.28
50,5.47,5.44,0.03,5.47,4.44,4.51,0.07,0.00,7.80,13.98,7.35,618.19,0.84,0.90,-3.27,-3.67
51,6.26,6.17,0.09,6.26,5.28,5.14,0.14,0.00,6.38,11.27,5.85,489.73,0.85,0.83,-4.05,-3.90
52,5.79,5.78,0.00,5.79,4.69,4.67,0.02,0.00,5.55,11.77,7.05,621.93,0.88,0.89,-3.63,-3.88
53,7.09,7.00,0.09,7.09,6.10,6.05,0.05,0.03,4.96,7.90,3.69,294.53,0.83,0.85,-5.00,-5.03
54,5.88,5.95,0.07,5.95,5.02,5.08,0.06,0.01,6.33,10.75,5.37,442.24,0.83,0.88,-3.87,-4.46
55,6.00,6.26,0.26,6.26,5.05,5.38,0.33,0.00,6.74,11.56,5.83,481.51,0.78,0.88,-3.46,-4.41
56,6.36,6.60,0.24,6.60,5.64,5.61,0.03,0.01,6.02,9.93,4.81,391.19,0.77,0.83,-4.03,-4.54
57,6.21,6.27,0.06,6.27,5.13,5.16,0.03,0.01,5.67,10.19,5.37,451.69,0.83,0.85,-4.04,-4.16
58,5.56,5.33,0.23,5.56,4.57,4.57,0.01,0.00,6.13,11.89,6.67,575.29,0.83,0.89,-3.19,-3.78
59,5.54,5.41,0.12,5.54,4.34,4.54,0.20,0.00,8.03,14.29,7.47,626.30,0.91,0.91,-3.92,-3.85
60,5.72,5.33,0.39,5.72,4.69,4.38,0.32,0.00,6.87,13.45,7.61,657.50,0.84,0.81,-3.36,-3.04
61,5.68,5.95,0.27,5.95,4.78,5.01,0.24,0.00,5.15,9.98,5.61,483.61,0.84,0.87,-3.82,-4.16
62,5.18,5.31,0.13,5.31,4.38,4.49,0.11,0.00,4.48,11.01,7.20,652.90,0.92,0.90,-3.90,-3.81
63,5.12,5.03,0.09,5.12,4.17,4.09,0.08,0.00,5.64,11.99,7.20,635.45,0.83,0.87,-2.97,-3.26
64,5.83,5.67,0.16,5.83,4.84,4.77,0.07,0.00,6.61,12.12,6.51,551.44,0.90,0.87,-4.12,-3.87
65,6.73,6.54,0.19,6.73,5.81,5.70,0.10,0.01,4.49,8.03,4.22,354.63,0.79,0.74,-4.33,-3.90
66,5.33,4.90,0.42,5.33,4.38,4.11,0.27,0.00,6.22,12.84,7.55,662.05,0.87,0.83,-3.43,-2.98
67,5.32,5.46,0.14,5.46,4.55,4.59,0.05,0.00,6.06,11.80,6.65,574.29,0.86,0.82,-3.62,-3.39
68,6.19,6.09,0.10,6.19,5.20,5.15,0.05,0.00,6.34,11.42,6.03,507.79,0.82,0.84,-3.89,-4.02
69,6.01,5.88,0.13,6.01,4.88,4.96,0.08,0.00,5.87,11.21,6.22,533.50,0.81,0.84,-3.68,-3.90
70,6.08,6.13,0.05,6.13,5.09,5.14,0.05,0.00,6.56,11.28,5.71,472.25,0.88,0.82,-4.25,-3.88
71,5.93,6.22,0.29,6.22,5.00,5.27,0.27,0.02,5.23,9.61,5.16,437.84,0.83,0.84,-3.93,-4.08
72,5.68,5.59,0.09,5.68,4.63,4.72,0.09,0.00,8.30,14.58,7.52,627.75,0.86,0.83,-3.58,-3.41
73,6.16,6.23,0.07,6.23,5.18,5.24,0.06,0.00,5.59,10.65,5.90,506.39,0.79,0.82,-3.72,-4.10
74,5.31,5.14,0.17,5.31,4.47,4.36,0.11,0.00,6.60,12.61,7.00,601.49,0.85,0.87,-3.38,-3.40
75,5.49,5.59,0.10,5.59,4.51,4.62,0.10,0.00,5.86,11.42,6.44,555.72,0.90,0.86,-3.90,-3.57
76,6.00,5.80,0.20,6.00,5.08,4.84,0.25,0.00,5.13,10.77,6.41,564.22,0.79,0.83,-3.28,-3.58
77,5.08,5.04,0.04,5.08,4.32,4.19,0.14,0.00,6.51,13.39,7.86,688.44,0.93,0.89,-3.81,-3.40
78,5.33,5.63,0.30,5.63,4.67,4.71,0.05,0.00,7.26,13.10,6.93,584.22,0.89,0.86,-3.94,-3.73
79,7.16,7.06,0.09,7.16,6.05,5.96,0.09,0.03,4.65,8.12,4.17,347.49,0.74,0.77,-4.17,-4.42
80,5.86,6.05,0.19,6.05,5.08,5.21,0.12,0.01,6.55,11.67,6.10,512.21,0.83,0.85,-3.89,-3.99
81,6.27,6.15,0.12,6.27,5.30,5.32,0.01,0.00,5.18,9.77,5.37,459.16,0.86,0.86,-4.33,-4.22
82,5.38,5.23,0.15,5.38,4.34,4.28,0.06,0.01,4.34,11.02,7.33,667.85,0.86,0.89,-3.37,-3.47
83,6.16,6.13,0.03,6.16,5.25,5.19,0.07,0.00,5.82,10.64,5.70,482.83,0.87,0.83,-4.33,-4.09
84,5.66,5.32,0.35,5.66,4.61,4.59,0.01,0.00,4.85,10.80,6.68,595.02,0.84,0.90,-3.46,-3.93
85,6.55,6.91,0.36,6.91,5.57,5.98,0.41,0.19,6.64,9.68,4.03,303.59,0.79,0.81,-4.47,-4.53
86,6.21,5.98,0.23,6.21,5.26,5.10,0.15,0.00,4.64,9.41,5.46,476.68,0.84,0.87,-4.16,-4.32
87,6.03,5.90,0.13,6.03,5.12,5.03,0.09,0.00,5.58,10.90,6.15,531.56,0.86,0.86,-4.15,-3.99
88,6.39,6.48,0.09,6.48,5.39,5.51,0.12,0.01,7.42,12.02,5.71,459.38,0.85,0.87,-4.30,-4.53
89,6.35,6.04,0.31,6.35,5.39,5.01,0.38,0.02,5.92,9.66,4.63,373.75,0.87,0.81,-4.52,-3.89
90,5.47,5.43,0.04,5.47,4.51,4.55,0.04,0.00,6.69,12.71,7.03,602.53,0.87,0.89,-3.42,-3.73
91,6.45,6.45,0.00,6.45,5.40,5.48,0.07,0.03,6.04,10.50,5.36,445.65,0.79,0.85,-4.04,-4.44
92,5.40,5.47,0.07,5.47,4.49,4.62,0.13,0.00,6.38,11.99,6.56,560.44,0.86,0.86,-3.65,-3.63
93,6.32,5.96,0.35,6.32,5.33,5.06,0.27,0.00,5.24,10.12,5.66,487.15,0.80,0.88,-3.72,-4.24
94,4.96,5.05,0.08,5.05,4.16,4.31,0.15,0.00,5.04,11.88,7.60,683.99,0.88,0.89,-3.47,-3.42
95,5.87,6.25,0.38,6.25,4.92,5.19,0.27,0.00,5.98,11.39,6.31,541.41,0.91,0.83,-4.42,-3.78
96,6.18,6.51,0.33,6.51,5.19,5.53,0.35,0.00,6.14,10.80,5.58,465.76,0.75,0.82,-3.37,-4.13
97,5.92,6.18,0.26,6.18,4.98,5.12,0.14,0.07,4.43,9.32,5.56,489.13,0.84,0.83,-3.88,-3.95
98,6.23,6.24,0.01,6.24,5.28,5.28,0.00,0.04,7.80,12.29,5.66,448.96,0.85,0.86,-4.24,-4.46
99,6.16,6.43,0.27,6.43,5.21,5.43,0.22,0.02,7.84,12.38,5.71,453.36,0.82,0.87,-3.95,-4.61
100,5.61,5.80,0.19,5.80,4.74,4.78,0.04,0.04,6.30,11.65,6.29,534.30,0.85,0.84,-3.74,-3.63
101,5.58,5.58,0.01,5.58,4.81,4.47,0.34,0.00,7.53,13.74,7.34,621.04,0.87,0.74,-3.75,-2.56
102,5.81,5.96,0.16,5.96,4.94,4.96,0.02,0.00,5.70,10.64,5.80,494.11,0.85,0.82,-3.94,-3.69
103,6.54,6.78,0.24,6.78,5.61,5.87,0.25,0.03,5.19,8.59,4.18,340.15,0.80,0.83,-4.34,-4.72
104,5.98,6.22,0.24,6.22,5.06,5.25,0.20,0.00,5.24,10.00,5.54,475.68,0.88,0.84,-4.30,-4.06
105,5.33,5.52,0.19,5.52,4.41,4.55,0.15,0.01,6.47,12.60,7.10,612.55,0.92,0.83,-3.87,-3.26
106,5.15,5.03,0.13,5.15,4.30,4.30,0.00,0.00,4.25,10.31,6.70,605.80,0.87,0.90,-3.52,-3.65
107,5.94,5.69,0.24,5.94,5.01,4.77,0.24,0.01,7.36,12.33,6.07,496.06,0.89,0.81,-4.23,-3.44
108,6.03,6.08,0.05,6.08,5.09,4.93,0.16,0.02,7.57,12.24,5.81,467.11,0.87,0.81,-4.19,-3.71
109,4.94,5.38,0.44,5.38,4.12,4.49,0.37,0.00,4.22,10.66,7.07,643.59,0.84,0.85,-3.18,-3.39
110,5.73,5.90,0.17,5.90,4.78,5.11,0.33,0.00,6.79,12.16,6.39,536.97,0.84,0.81,-3.73,-3.58
111,5.05,5.37,0.32,5.37,4.21,4.51,0.29,0.00,5.87,12.14,7.15,626.68,0.88,0.89,-3.66,-3.68
112,5.54,5.37,0.17,5.54,4.54,4.32,0.22,0.00,6.05,11.89,6.75,583.81,0.96,0.82,-4.31,-3.00
113,6.02,6.08,0.06,6.08,5.09,5.28,0.19,0.03,6.15,10.51,5.29,436.93,0.83,0.82,-3.96,-3.94
114,6.47,7.02,0.56,7.02,5.60,6.07,0.46,0.05,5.12,8.82,4.47,370.72,0.85,0.83,-4.89,-4.70
115,5.44,5.33,0.11,5.44,4.75,4.54,0.22,0.00,6.29,11.92,6.57,562.76,0.85,0.87,-3.54,-3.54
116,5.22,5.59,0.38,5.59,4.36,4.63,0.28,0.00,8.16,14.18,7.25,602.23,0.92,0.90,-3.97,-3.77
117,6.44,6.40,0.04,6.44,5.39,5.40,0.01,0.01,6.42,10.82,5.36,440.00,0.79,0.88,-3.81,-4.41
118,5.93,5.70,0.23,5.93,5.08,4.95,0.13,0.01,5.33,10.25,5.71,491.36,0.86,0.85,-4.04,-3.93
119,6.40,6.87,0.46,6.87,5.58,5.82,0.24,0.05,6.12,9.45,4.25,333.23,0.80,0.85,-4.24,-4.85
120,5.53,5.31,0.23,5.53,4.56,4.36,0.20,0.00,4.83,10.84,6.73,600.66,0.90,0.85,-3.84,-3.43
121,5.65,6.05,0.40,6.05,4.89,5.18,0.29,0.00,5.61,10.76,5.99,515.10,0.86,0.83,-4.01,-3.84
122,7.05,6.81,0.24,7.05,5.89,5.85,0.04,0.13,6.11,9.32,4.12,320.82,0.78,0.72,-4.42,-3.82
123,5.68,5.96,0.29,5.96,4.85,5.04,0.19,0.01,6.15,10.93,5.70,477.24,0.85,0.85,-3.93,-3.95
124,5.94,5.95,0.01,5.95,4.87,4.93,0.06,0.00,6.54,11.16,5.60,462.03,0.84,0.92,-3.87,-4.58
125,6.31,6.31,0.00,6.31,5.23,5.49,0.25,0.04,5.40,9.59,5.00,419.10,0.85,0.83,-4.39,-4.25
126,6.32,6.17,0.14,6.32,5.38,5.19,0.19,0.01,5.50,10.33,5.66,483.51,0.81,0.83,-3.88,-3.99
127,6.29,6.43,0.14,6.43,5.46,5.46,0.00,0.04,6.68,10.76,5.08,407.57,0.80,0.86,-4.05,-4.58
128,5.29,5.40,0.11,5.40,4.48,4.64,0.16,0.00,6.81,13.05,7.26,624.06,0.90,0.88,-3.75,-3.60
129,6.44,6.16,0.28,6.44,5.32,5.22,0.11,0.00,7.62,11.76,5.28,413.70,0.85,0.81,-4.22,-3.94
130,6.45,6.18,0.27,6.45,5.25,5.09,0.15,0.03,5.40,10.12,5.53,471.91,0.89,0.84,-4.57,-4.13
131,6.26,6.09,0.18,6.26,5.06,5.29,0.23,0.01,7.09,12.00,5.98,491.19,0.84,0.90,-3.95,-4.52
132,6.39,6.22,0.17,6.39,5.58,5.42,0.16,0.00,6.10,10.53,5.35,442.97,0.86,0.88,-4.47,-4.64
133,5.85,6.23,0.38,6.23,5.08,5.22,0.14,0.00,7.29,12.65,6.46,536.71,0.85,0.80,-4.03,-3.53
134,4.97,5.43,0.46,5.43,4.01,4.59,0.58,0.00,4.78,11.17,7.11,639.00,0.80,0.86,-2.70,-3.49
135,5.87,5.54,0.33,5.87,4.88,4.71,0.17,0.00,5.07,10.63,6.32,556.07,0.91,0.88,-4.23,-3.85
136,5.93,5.88,0.05,5.93,5.02,4.90,0.11,0.01,5.99,11.39,6.30,539.99,0.89,0.92,-4.14,-4.41
137,5.30,5.26,0.03,5.30,4.53,4.46,0.08,0.01,5.35,11.22,6.68,587.62,0.87,0.84,-3.54,-3.17
138,5.45,5.62,0.17,5.62,4.62,4.62,0.01,0.00,6.38,11.46,6.03,507.37,0.84,0.88,-3.50,-3.80
139,5.11,5.36,0.25,5.36,4.34,4.39,0.05,0.00,6.76,13.24,7.50,648.12,0.89,0.89,-3.76,-3.62
140,5.37,5.42,0.05,5.42,4.47,4.49,0.02,0.00,7.26,13.64,7.47,638.25,0.88,0.88,-3.50,-3.44
141,5.20,4.99,0.22,5.20,4.39,4.05,0.34,0.00,5.97,12.41,7.33,643.42,0.83,0.93,-2.94,-3.71
142,5.84,5.94,0.09,5.94,4.87,4.91,0.05,0.00,5.65,10.95,6.14,529.35,0.86,0.88,-3.98,-4.03
143,5.92,5.58,0.34,5.92,5.00,4.75,0.25,0.01,7.61,12.76,6.30,515.60,0.84,0.83,-3.77,-3.66
144,6.38,5.93,0.45,6.38,5.44,5.12,0.33,0.02,5.46,9.79,5.15,433.34,0.82,0.85,-3.94,-4.23
145,5.54,5.23,0.31,5.54,4.59,4.34,0.25,0.00,6.35,12.42,7.02,606.67,0.84,0.92,-3.38,-3.85
146,7.12,7.27,0.15,7.27,5.98,6.43,0.46,0.11,6.80,9.96,4.18,315.87,0.81,0.74,-4.67,-4.31
147,5.18,5.10,0.08,5.18,4.50,4.29,0.21,0.00,6.56,13.07,7.49,650.76,0.90,0.92,-3.74,-3.78
148,6.03,5.85,0.17,6.03,5.09,4.85,0.24,0.00,6.16,10.43,5.19,426.99,0.85,0.86,-4.02,-4.22
149,6.41,6.72,0.31,6.72,5.30,5.50,0.21,0.02,5.05,9.73,5.43,467.34,0.85,0.88,-4.32,-4.53
150,7.15,7.08,0.07,7.15,6.12,6.02,0.10,0.05,4.78,8.02,3.96,323.85,0.78,0.79,-4.54,-4.65
151,5.61,5.37,0.24,5.61,4.50,4.53,0.02,0.00,6.39,11.92,6.50,553.85,0.89,0.90,-3.79,-3.95
152,6.62,6.51,0.11,6.62,5.64,5.47,0.17,0.02,4.74,8.82,4.79,407.72,0.80,0.78,-4.13,-4.03
153,5.80,5.92,0.12,5.92,4.79,4.99,0.20,0.01,5.15,10.11,5.73,495.92,0.83,0.86,-3.68,-3.93
154,5.29,5.33,0.05,5.33,4.45,4.49,0.04,0.00,6.17,12.20,6.96,603.33,0.89,0.86,-3.87,-3.38
155,5.92,6.23,0.32,6.23,5.11,5.43,0.32,0.02,7.23,12.30,6.16,507.63,0.80,0.88,-3.65,-4.40
156,5.53,5.85,0.31,5.85,4.62,4.90,0.28,0.00,6.20,11.95,6.67,574.33,0.87,0.87,-3.80,-3.93
157,7.17,7.24,0.06,7.24,6.06,6.23,0.17,0.09,6.49,9.44,3.92,294.66,0.82,0.70,-4.98,-3.99
158,5.92,6.06,0.14,6.06,4.95,5.09,0.15,0.01,7.96,12.74,5.98,478.07,0.78,0.90,-3.58,-4.36
159,5.36,5.55,0.19,5.55,4.54,4.82,0.28,0.00,6.42,12.08,6.62,565.57,0.86,0.87,-3.67,-3.80
160,6.85,6.66,0.19,6.85,5.71,5.77,0.06,0.04,4.86,8.44,4.30,357.58,0.82,0.75,-4.62,-3.92
161,6.32,6.17,0.15,6.32,5.45,5.34,0.11,0.00,7.30,12.08,5.88,478.23,0.87,0.82,-4.33,-4.01
162,6.43,6.14,0.29,6.43,5.38,5.12,0.27,0.00,7.59,12.21,5.76,462.12,0.83,0.83,-3.99,-3.99
163,6.19,6.14,0.05,6.19,5.25,5.30,0.06,0.00,5.90,10.32,5.30,441.72,0.86,0.81,-4.31,-3.91
164,5.77,5.56,0.21,5.77,5.01,4.64,0.36,0.01,6.92,12.41,6.53,548.95,0.93,0.93,-4.35,-4.32
165,6.08,6.26,0.17,6.26,5.21,5.04,0.17,0.01,5.07,9.53,5.22,445.84,0.83,0.87,-3.93,-4.37
166,5.37,5.54,0.17,5.54,4.60,4.52,0.08,0.00,5.14,10.77,6.40,562.82,0.89,0.89,-3.86,-3.70
167,5.33,5.24,0.09,5.33,4.36,4.40,0.04,0.00,6.39,12.95,7.52,656.39,0.83,0.90,-3.22,-3.73
168,6.00,6.00,0.00,6.00,5.14,5.12,0.02,0.00,7.76,12.61,6.01,484.28,0.88,0.82,-4.38,-3.67
169,6.13,6.30,0.17,6.30,5.24,5.18,0.05,0.00,5.85,11.07,6.09,521.23,0.85,0.85,-3.98,-4.12
170,5.83,5.88,0.05,5.88,4.79,4.93,0.14,0.00,5.46,10.85,6.21,538.77,0.87,0.84,-4.01,-3.87
171,5.48,5.72,0.23,5.72,4.56,4.70,0.14,0.00,4.96,10.61,6.39,565.07,0.87,0.88,-3.86,-3.96
172,6.36,6.02,0.35,6.36,5.16,5.10,0.06,0.01,5.87,10.34,5.35,446.92,0.84,0.84,-4.15,-4.12
173,5.40,5.42,0.01,5.42,4.63,4.62,0.01,0.00,6.28,12.00,6.66,572.23,0.93,0.87,-4.26,-3.72
174,7.10,6.97,0.13,7.10,5.98,5.80,0.19,0.05,6.40,9.39,3.95,298.70,0.79,0.83,-4.57,-4.84
175,5.58,5.56,0.02,5.58,4.71,4.53,0.18,0.00,7.95,13.58,6.82,562.88,0.88,0.83,-3.87,-3.48
176,5.09,5.19,0.10,5.19,4.20,4.35,0.15,0.00,6.34,12.79,7.40,644.86,0.85,0.88,-3.17,-3.41
177,5.72,5.62,0.10,5.72,4.82,4.52,0.31,0.00,6.69,12.38,6.69,568.95,0.90,0.83,-4.04,-3.32
178,6.64,6.31,0.33,6.64,5.57,5.62,0.06,0.03,4.70,8.27,4.28,357.38,0.81,0.76,-4.31,-3.91
179,5.28,5.08,0.20,5.28,4.34,4.30,0.03,0.00,6.42,12.95,7.49,652.87,0.87,0.89,-3.37,-3.54
180,6.14,6.13,0.01,6.14,5.23,5.24,0.01,0.07,7.07,10.94,4.93,386.65,0.86,0.77,-4.46,-3.65
181,5.59,5.36,0.23,5.59,4.73,4.44,0.29,0.00,6.42,12.58,7.13,616.25,0.92,0.85,-3.98,-3.45
182,5.88,5.44,0.44,5.88,4.87,4.43,0.44,0.00,5.80,11.44,6.51,564.00,0.85,0.90,-3.63,-3.88
183,6.12,5.84,0.27,6.12,5.07,5.10,0.03,0.01,7.60,12.12,5.66,451.97,0.81,0.90,-3.69,-4.46
184,5.01,5.05,0.04,5.05,4.11,4.26,0.16,0.00,6.81,12.75,6.96,593.71,0.89,0.86,-3.47,-3.24
185,5.48,5.87,0.39,5.87,4.67,4.93,0.25,0.00,6.76,12.33,6.58,556.76,0.82,0.87,-3.40,-3.87
186,5.17,5.29,0.12,5.29,4.40,4.32,0.08,0.00,5.96,12.66,7.59,670.02,0.90,0.84,-3.59,-3.09
187,5.89,5.92,0.03,5.92,5.04,5.01,0.02,0.00,5.25,10.40,5.94,515.08,0.86,0.83,-4.08,-3.71
188,6.10,6.29,0.19,6.29,5.19,5.26,0.07,0.00,6.47,11.03,5.53,456.41,0.85,0.86,-4.12,-4.31
189,5.98,5.76,0.22,5.98,5.00,4.85,0.16,0.00,6.47,11.62,6.13,515.55,0.83,0.82,-3.71,-3.56
190,5.79,5.79,0.01,5.79,4.92,4.91,0.01,0.00,7.23,13.13,6.98,590.04,0.84,0.83,-3.72,-3.61
191,5.33,5.20,0.13,5.33,4.45,4.22,0.23,0.00,5.95,11.76,6.70,580.84,0.89,0.84,-3.68,-3.20
192,5.39,4.97,0.41,5.39,4.44,4.33,0.11,0.00,4.28,10.49,6.85,621.11,0.81,0.89,-2.97,-3.78
193,5.91,6.19,0.28,6.19,4.98,5.19,0.22,0.01,6.74,11.36,5.63,462.11,0.85,0.89,-3.99,-4.35
194,6.10,6.20,0.10,6.20,5.19,5.29,0.10,0.01,5.69,10.31,5.48,462.54,0.86,0.84,-4.18,-4.20
195,5.79,5.33,0.46,5.79,4.66,4.40,0.26,0.00,6.48,12.30,6.79,581.56,0.94,0.79,-4.20,-2.91
196,5.75,5.56,0.19,5.75,4.69,4.69,0.00,0.01,4.91,10.61,6.44,570.39,0.79,0.84,-3.10,-3.39
197,6.48,6.83,0.35,6.83,5.44,5.68,0.23,0.01,6.03,9.96,4.84,393.73,0.82,0.83,-4.31,-4.51
198,5.61,5.49,0.12,5.61,4.73,4.71,0.02,0.00,5.88,11.66,6.65,577.15,0.86,0.87,-3.72,-3.78
199,5.37,5.07,0.30,5.37,4.40,4.02,0.38,0.00,5.14,11.48,7.11,633.72,0.91,0.87,-3.53,-3.21
200,6.37,6.49,0.13,6.49,5.39,5.47,0.09,0.07,5.49,8.63,3.96,313.87,0.84,0.79,-4.61,-4.31
201,5.75,5.73,0.02,5.75,4.83,4.99,0.15,0.02,5.14,10.04,5.67,489.51,0.85,0.87,-3.86,-3.99
