,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,SemiVar0,SemiVar1,Max SemiVar,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,s_1,s_2,p1,p2
54,9.37,9.33,0.04,9.37,9.37,9.44,0.07,9.44,0.59,0.60,0.60,0.84,10.69,14.49,5.41,380.62,5.36,5.95,3.16,2.65
55,8.78,8.85,0.08,8.85,9.06,9.10,0.05,9.10,0.80,3.05,3.05,0.79,10.48,16.00,7.09,552.03,5.50,4.51,3.00,3.90
56,8.80,9.10,0.30,9.10,9.10,9.16,0.05,9.16,1.17,0.90,1.17,0.75,8.96,14.82,7.20,586.04,4.80,4.81,3.56,3.64
57,8.63,8.78,0.15,8.78,8.98,8.94,0.04,8.98,1.34,1.43,1.43,0.83,10.97,15.37,6.05,440.76,5.23,6.30,3.07,2.27
58,8.80,8.91,0.11,8.91,8.73,8.95,0.23,8.95,1.41,0.75,1.41,0.78,9.89,16.00,7.60,611.27,4.53,4.12,3.46,3.90
59,9.10,8.93,0.17,9.10,9.36,9.06,0.30,9.36,1.65,1.34,1.65,0.63,9.37,12.19,4.23,282.35,6.53,6.42,2.11,2.18
60,8.94,8.88,0.06,8.94,9.07,9.31,0.24,9.31,2.79,1.39,2.79,0.63,9.04,15.77,8.08,672.09,4.40,4.59,3.84,3.82
61,8.54,8.79,0.25,8.79,8.97,8.77,0.21,8.97,1.88,1.30,1.88,0.54,8.25,14.57,7.56,632.22,4.19,4.81,4.02,3.52
62,8.82,9.19,0.37,9.19,9.02,9.11,0.09,9.11,1.63,1.22,1.63,0.72,8.58,14.61,7.31,602.75,4.81,4.79,3.48,3.54
63,9.22,8.82,0.41,9.22,9.23,9.00,0.23,9.23,0.81,1.41,1.41,0.91,10.11,14.72,6.13,460.91,5.84,4.57,2.58,3.67
64,8.78,9.25,0.47,9.25,9.21,9.14,0.06,9.21,1.12,1.13,1.13,0.85,7.95,13.65,6.89,570.10,4.55,4.92,3.67,3.60
65,8.92,8.78,0.14,8.92,9.09,9.27,0.17,9.27,1.13,2.46,2.46,0.75,9.24,16.00,8.15,676.13,4.29,4.54,3.88,3.78
66,8.28,8.96,0.68,8.96,8.53,8.86,0.33,8.86,2.55,0.99,2.55,0.63,8.42,13.94,6.78,552.06,3.74,6.24,4.17,2.16
67,8.72,8.94,0.22,8.94,9.38,9.06,0.31,9.38,1.41,1.40,1.41,0.75,9.81,15.49,7.15,567.61,5.22,4.41,3.21,3.88
68,9.26,8.87,0.38,9.26,9.01,8.92,0.09,9.01,1.05,1.63,1.63,0.53,9.70,15.93,7.69,623.42,4.30,4.61,3.79,3.60
69,9.00,8.90,0.10,9.00,8.97,9.32,0.35,9.32,0.97,1.21,1.21,0.92,8.59,13.53,6.22,493.45,5.64,4.33,2.79,3.96
70,9.18,9.46,0.27,9.46,8.98,9.30,0.32,9.30,0.78,0.72,0.78,0.84,7.94,12.44,5.68,449.23,4.90,6.21,3.39,2.43
71,8.96,8.83,0.13,8.96,9.14,8.78,0.36,9.14,1.20,1.26,1.26,0.49,10.16,16.00,7.37,584.16,5.56,4.28,2.84,3.77
72,8.77,8.95,0.17,8.95,9.25,9.01,0.24,9.25,1.68,1.07,1.68,0.76,8.97,14.53,6.91,556.05,4.41,4.85,3.86,3.39
73,8.80,8.87,0.07,8.87,8.98,9.05,0.07,9.05,3.22,2.11,3.22,0.47,8.50,16.00,8.78,750.03,4.26,4.22,3.92,3.93
74,9.45,9.08,0.37,9.45,9.59,9.34,0.25,9.59,1.17,1.22,1.22,0.87,8.81,13.63,6.14,482.13,4.71,5.85,3.87,2.72
75,9.34,9.72,0.38,9.72,9.26,9.49,0.23,9.49,1.55,1.10,1.55,0.89,7.40,9.59,3.30,219.04,6.58,6.36,2.21,2.22
76,9.20,8.43,0.76,9.20,8.87,9.14,0.28,9.14,1.07,1.90,1.90,0.91,8.75,13.55,6.11,480.05,6.20,4.46,2.32,3.82
77,9.15,9.22,0.07,9.22,8.92,9.31,0.39,9.31,1.42,0.72,1.42,0.81,9.77,15.15,6.85,538.33,4.46,5.28,3.85,3.15
78,8.30,9.12,0.82,9.12,8.92,9.16,0.25,9.16,2.11,1.56,2.11,0.61,9.35,15.65,7.70,629.91,4.40,4.70,3.75,3.58
79,9.03,9.02,0.01,9.03,9.40,9.16,0.24,9.40,0.89,0.59,0.89,0.89,10.73,14.81,5.69,407.90,4.75,6.24,3.59,2.35
80,9.13,8.65,0.48,9.13,8.91,8.88,0.02,8.91,0.89,1.60,1.60,0.85,9.45,15.66,7.63,621.62,4.40,4.39,3.87,3.80
81,8.92,9.09,0.16,9.09,9.03,8.93,0.10,9.03,1.07,0.83,1.07,0.67,8.99,15.20,7.56,621.27,4.53,4.31,3.69,3.81
82,8.86,8.99,0.13,8.99,9.19,9.16,0.03,9.19,1.74,1.68,1.74,0.69,10.08,16.00,7.43,592.32,4.74,4.77,3.68,3.62
83,8.94,8.58,0.36,8.94,9.07,8.88,0.20,9.07,1.04,1.43,1.43,0.74,7.91,13.60,6.88,569.19,5.19,4.39,3.15,3.74
84,9.19,9.02,0.16,9.19,9.21,9.10,0.10,9.21,0.64,0.51,0.64,0.88,10.09,15.70,7.13,561.51,4.48,4.57,3.85,3.74
85,9.23,9.20,0.03,9.23,9.20,9.26,0.06,9.26,0.75,0.77,0.77,0.83,7.40,11.89,5.60,448.72,4.74,6.21,3.51,2.25
86,8.52,9.18,0.66,9.18,8.77,9.12,0.35,9.12,2.31,0.52,2.31,0.46,7.81,14.88,8.24,707.14,4.21,4.31,3.83,3.88
87,9.25,9.12,0.13,9.25,9.46,9.15,0.31,9.46,1.23,0.83,1.23,0.83,11.34,15.45,5.81,410.85,6.05,4.68,2.57,3.51
88,8.66,9.55,0.89,9.55,9.05,9.41,0.35,9.41,1.72,1.06,1.72,0.81,10.72,15.84,6.73,512.02,4.71,5.62,3.68,2.88
89,7.96,8.54,0.57,8.54,8.73,8.68,0.05,8.73,1.44,1.03,1.44,0.86,9.18,15.25,7.45,607.05,4.24,4.39,3.93,3.67
90,8.89,8.87,0.02,8.89,9.06,9.12,0.06,9.12,1.63,1.99,1.99,0.80,10.70,15.90,6.81,520.14,4.45,6.22,3.64,2.15
91,9.31,8.84,0.47,9.31,9.38,9.25,0.13,9.38,1.05,1.38,1.38,0.89,11.67,16.00,6.08,433.16,6.36,4.84,2.38,3.74
92,8.90,9.35,0.45,9.35,9.12,9.26,0.15,9.26,1.49,1.10,1.49,0.76,10.33,16.00,7.22,566.78,5.29,4.59,3.10,3.68
93,9.17,9.04,0.14,9.17,9.16,9.45,0.29,9.45,1.46,1.17,1.46,0.73,9.72,15.03,6.76,530.56,4.44,6.20,3.79,2.39
94,8.59,8.78,0.19,8.78,9.10,9.22,0.12,9.22,1.79,1.47,1.79,0.87,9.46,14.11,6.07,465.14,5.62,4.97,2.79,3.56
95,9.00,8.92,0.08,9.00,9.08,9.34,0.26,9.34,1.02,2.71,2.71,0.75,9.37,14.25,6.28,487.60,4.70,6.11,3.61,2.37
96,9.20,9.41,0.21,9.41,9.32,9.08,0.24,9.32,0.61,1.02,1.02,0.88,8.61,13.34,6.02,472.44,4.77,4.77,3.69,3.61
97,9.31,9.16,0.14,9.31,9.46,9.05,0.41,9.46,0.79,1.34,1.34,0.70,9.46,15.74,7.70,628.35,4.32,4.43,3.91,3.82
98,8.94,8.85,0.10,8.94,9.09,8.98,0.11,9.09,2.16,1.87,2.16,0.69,8.76,15.18,7.73,641.98,4.64,4.32,3.63,3.91
99,9.03,8.82,0.21,9.03,9.28,8.97,0.31,9.28,1.31,2.05,2.05,0.68,8.21,13.65,6.67,543.74,6.16,4.26,2.32,3.90
100,8.77,9.36,0.59,9.36,8.76,9.19,0.43,9.19,1.32,0.95,1.32,0.73,8.83,13.12,5.62,429.64,4.91,6.50,3.52,2.16
101,9.31,8.91,0.39,9.31,9.38,8.99,0.38,9.38,0.91,1.06,1.06,0.90,10.28,14.54,5.79,425.10,6.42,4.43,2.34,3.87
102,8.79,9.15,0.36,9.15,8.96,9.18,0.22,9.18,1.14,1.24,1.24,0.84,7.27,12.05,5.88,478.57,5.09,5.18,3.33,3.18
103,9.18,9.07,0.10,9.18,9.32,9.13,0.19,9.32,1.97,1.14,1.97,0.59,9.86,14.26,5.89,440.74,6.18,5.66,2.35,2.71
104,8.75,8.48,0.26,8.75,9.16,8.68,0.47,9.16,1.02,1.08,1.08,0.88,10.00,15.82,7.32,581.85,4.96,4.44,3.38,3.79
105,9.25,8.66,0.60,9.25,9.47,9.29,0.18,9.47,0.84,1.09,1.09,0.89,9.88,14.24,5.84,435.72,6.14,4.56,2.56,3.94
106,8.64,8.69,0.05,8.69,8.91,8.86,0.05,8.91,0.77,0.45,0.77,0.95,10.30,14.77,6.02,447.02,4.68,5.16,3.66,3.18
107,9.11,8.50,0.61,9.11,9.24,8.96,0.28,9.24,1.27,1.98,1.98,0.82,8.31,12.52,5.46,421.77,6.22,4.51,2.29,3.59
108,9.06,9.11,0.05,9.11,9.35,9.13,0.22,9.35,1.99,0.83,1.99,0.64,9.83,16.00,7.65,617.12,4.81,4.59,3.67,3.88
109,9.06,9.30,0.24,9.30,9.42,9.30,0.12,9.42,1.58,1.00,1.58,0.75,9.68,13.61,5.38,393.00,5.49,6.51,2.92,2.24
110,9.62,9.26,0.36,9.62,9.35,9.36,0.01,9.36,0.93,1.05,1.05,0.80,8.05,11.19,4.35,314.62,6.56,5.88,2.40,2.90
111,8.88,8.97,0.10,8.97,9.03,9.32,0.29,9.32,1.94,1.73,1.94,0.85,9.18,15.15,7.35,597.69,5.24,4.45,3.10,3.81
112,9.21,8.83,0.38,9.21,9.40,9.43,0.02,9.43,0.65,1.57,1.57,0.83,7.71,11.48,4.92,376.73,6.44,5.73,2.39,3.08
113,9.25,9.01,0.24,9.25,9.28,8.80,0.48,9.28,0.92,1.02,1.02,0.76,8.64,13.39,6.04,474.78,6.08,4.52,2.45,3.76
114,8.98,8.72,0.26,8.98,8.98,8.96,0.02,8.98,0.58,1.24,1.24,0.92,8.95,13.56,5.96,461.47,4.38,5.37,3.92,2.99
115,8.90,9.00,0.10,9.00,9.10,9.08,0.01,9.10,1.06,1.67,1.67,0.77,9.82,15.04,6.69,522.18,4.89,4.66,3.50,3.70
116,9.71,9.38,0.33,9.71,9.48,9.44,0.04,9.48,0.86,0.94,0.94,0.76,5.42,8.37,3.77,295.48,6.69,6.44,2.04,2.13
117,9.19,9.64,0.45,9.64,9.51,9.22,0.28,9.51,0.71,1.29,1.29,0.79,10.09,12.43,3.86,234.38,6.51,6.55,2.34,2.23
118,8.70,8.47,0.23,8.70,8.90,8.78,0.12,8.90,1.65,1.14,1.65,0.83,8.62,14.85,7.52,622.56,4.40,4.49,3.93,3.77
119,8.77,8.97,0.20,8.97,8.82,9.12,0.30,9.12,1.06,0.73,1.06,0.74,9.68,14.55,6.32,486.63,4.11,6.39,3.97,2.17
120,9.22,9.18,0.04,9.22,9.46,9.34,0.12,9.46,0.75,1.05,1.05,0.82,10.93,15.97,6.67,503.32,6.23,4.46,2.33,3.93
121,9.05,9.14,0.09,9.14,9.20,9.36,0.16,9.36,0.70,1.35,1.35,0.85,6.98,11.20,5.27,421.87,6.76,4.80,1.98,3.67
122,9.06,9.29,0.23,9.29,8.96,9.11,0.15,9.11,1.02,0.68,1.02,0.88,8.64,13.87,6.52,522.61,4.58,4.67,3.70,3.69
123,9.00,9.54,0.54,9.54,9.25,9.52,0.28,9.52,0.76,1.05,1.05,0.93,9.63,13.43,5.24,379.28,4.67,6.34,3.81,2.56
124,8.98,8.75,0.23,8.98,9.13,9.03,0.11,9.13,0.49,1.40,1.40,0.82,9.37,14.37,6.40,499.38,6.05,4.61,2.45,3.74
125,8.27,9.15,0.88,9.15,8.73,9.13,0.41,9.13,1.48,1.01,1.48,0.80,8.83,15.81,8.31,698.64,3.90,4.60,4.33,3.72
126,8.83,8.99,0.16,8.99,9.15,8.79,0.36,9.15,1.04,1.87,1.87,0.64,7.98,13.30,6.52,531.82,5.15,5.36,3.18,2.75
127,8.68,9.02,0.34,9.02,9.34,9.23,0.10,9.34,1.37,0.93,1.37,0.85,8.99,14.85,7.20,585.38,4.20,4.60,4.08,3.63
128,9.19,8.86,0.33,9.19,9.16,9.24,0.08,9.24,0.77,1.18,1.18,0.77,6.73,12.50,6.77,576.36,4.65,4.83,3.73,3.50
129,9.24,9.61,0.37,9.61,9.24,9.31,0.06,9.31,1.04,0.87,1.04,0.85,8.68,13.53,6.15,484.34,4.74,5.43,3.58,2.94
130,9.29,9.30,0.02,9.30,9.23,9.31,0.08,9.31,0.47,1.35,1.35,0.75,7.56,12.14,5.72,458.56,6.38,4.86,2.26,3.66
131,9.05,8.67,0.38,9.05,9.19,9.12,0.07,9.19,0.91,2.09,2.09,0.78,7.32,12.07,5.84,474.20,6.25,4.39,2.26,3.80
132,9.36,9.16,0.20,9.36,9.18,9.23,0.05,9.23,1.34,0.87,1.34,0.84,10.16,14.05,5.41,388.52,6.28,4.55,2.30,3.72
133,9.19,8.50,0.69,9.19,9.22,9.05,0.17,9.22,0.56,0.82,0.82,0.81,8.41,13.14,6.00,473.48,5.99,4.61,2.65,3.82
134,8.83,8.95,0.12,8.95,9.13,9.07,0.06,9.13,1.91,1.30,1.91,0.72,7.36,13.43,7.17,607.09,4.70,4.57,3.59,3.61
135,8.93,9.25,0.31,9.25,9.02,9.40,0.39,9.40,0.69,1.86,1.86,0.82,9.46,13.27,5.22,380.44,6.04,5.76,2.44,2.85
136,9.21,9.05,0.17,9.21,9.25,9.10,0.16,9.25,1.34,1.08,1.34,0.96,10.90,14.59,5.33,369.13,6.36,4.53,2.27,3.73
137,9.41,8.74,0.66,9.41,9.24,8.87,0.37,9.24,1.24,1.09,1.24,0.72,7.62,12.34,5.87,472.25,6.25,4.66,2.21,3.54
138,9.23,9.48,0.25,9.48,9.36,9.41,0.06,9.41,0.71,0.53,0.71,0.87,8.99,13.84,6.20,485.35,5.01,4.76,3.66,3.75
139,9.06,9.30,0.24,9.30,9.13,9.25,0.13,9.25,1.21,1.64,1.64,0.87,8.42,12.66,5.51,424.40,6.17,4.76,2.60,3.76
140,8.70,8.78,0.08,8.78,8.80,9.16,0.36,9.16,2.33,1.65,2.33,0.78,11.39,15.94,6.26,455.56,4.45,6.05,3.61,2.35
141,9.25,8.97,0.28,9.25,9.46,9.01,0.45,9.46,0.66,0.59,0.66,0.91,9.27,14.22,6.34,494.99,5.08,4.87,3.56,3.60
142,9.35,8.91,0.44,9.35,9.15,9.37,0.22,9.37,1.19,1.38,1.38,0.93,9.67,14.36,6.14,469.22,5.80,4.62,2.84,3.72
143,9.28,8.72,0.56,9.28,9.24,8.95,0.29,9.24,0.86,0.90,0.90,0.76,8.57,13.17,5.88,459.98,5.99,4.50,2.46,3.80
144,8.76,8.62,0.14,8.76,9.19,8.76,0.43,9.19,1.10,1.51,1.51,0.78,8.47,12.95,5.75,448.09,5.21,5.57,3.04,2.73
145,8.88,9.06,0.17,9.06,9.16,9.24,0.08,9.24,0.97,0.76,0.97,0.93,7.12,11.67,5.61,454.29,4.29,6.15,3.93,2.50
146,8.54,8.94,0.40,8.94,8.92,9.39,0.47,9.39,1.98,1.25,1.98,0.75,9.13,15.87,8.11,674.45,4.52,4.10,3.94,4.10
147,9.28,9.31,0.03,9.31,9.41,9.29,0.12,9.41,1.88,0.93,1.88,0.64,8.43,13.20,6.03,476.50,5.03,6.21,3.31,2.39
148,8.76,9.38,0.62,9.38,8.92,9.19,0.27,9.19,2.02,1.49,2.02,0.49,7.57,13.00,6.56,542.73,4.55,6.29,3.49,2.06
149,8.56,8.74,0.19,8.74,9.16,8.98,0.18,9.16,2.42,1.28,2.42,0.61,8.83,14.22,6.71,538.31,4.70,5.62,3.73,2.76
150,8.92,8.31,0.62,8.92,9.21,8.93,0.28,9.21,1.39,1.32,1.39,0.95,9.70,15.63,7.39,593.22,4.64,4.22,3.67,3.98
151,8.33,9.39,1.06,9.39,8.74,9.25,0.50,9.25,2.97,0.88,2.97,0.79,8.26,13.44,6.41,517.46,4.39,6.24,3.73,2.14
152,9.23,8.93,0.30,9.23,9.42,9.15,0.27,9.42,0.96,0.78,0.96,0.66,9.28,13.88,5.99,459.50,6.40,4.59,2.28,3.89
153,9.07,8.55,0.51,9.07,9.32,8.94,0.38,9.32,1.14,1.91,1.91,0.79,8.52,12.53,5.29,401.19,6.14,4.84,2.27,3.27
154,8.96,8.93,0.03,8.96,9.45,9.08,0.37,9.45,1.82,1.14,1.82,0.81,8.00,12.78,5.98,478.35,4.66,5.82,3.71,2.94
155,8.76,9.15,0.39,9.15,9.15,9.43,0.28,9.43,1.21,1.25,1.25,0.87,9.78,14.98,6.67,519.95,4.09,6.18,4.11,2.36
156,8.93,8.94,0.01,8.94,9.09,9.03,0.06,9.09,1.10,0.82,1.10,0.60,9.59,15.37,7.22,578.08,5.22,4.37,3.23,3.96
157,9.17,9.27,0.10,9.27,9.33,9.33,0.00,9.33,1.43,0.95,1.43,0.85,8.36,12.91,5.81,455.60,6.39,4.55,2.35,3.94
158,8.62,8.36,0.26,8.62,9.10,8.78,0.32,9.10,1.18,2.72,2.72,0.77,10.35,16.00,7.20,564.87,4.76,5.11,3.60,3.13
159,9.07,9.02,0.04,9.07,9.10,9.22,0.11,9.22,0.98,0.78,0.98,0.81,6.35,12.46,7.06,610.89,4.78,4.38,3.64,3.90
160,8.73,9.12,0.39,9.12,9.05,9.35,0.29,9.35,1.00,0.81,1.00,0.94,10.48,15.69,6.78,521.22,4.83,4.52,3.57,3.94
161,8.85,8.78,0.07,8.85,9.12,9.01,0.12,9.12,1.08,1.08,1.08,0.88,7.69,13.73,7.20,604.41,4.28,4.64,3.90,3.65
162,9.06,9.34,0.28,9.34,8.99,9.18,0.19,9.18,1.04,0.59,1.04,0.81,8.85,12.20,4.68,334.85,6.31,6.34,2.32,2.23
163,9.08,9.20,0.11,9.20,9.32,9.18,0.14,9.32,0.60,1.35,1.35,0.78,9.18,12.50,4.69,331.35,5.96,6.27,2.47,2.16
164,9.03,9.24,0.21,9.24,9.10,9.10,0.00,9.10,0.85,1.47,1.47,0.75,9.76,14.13,5.83,436.84,4.55,6.38,3.62,2.24
165,8.73,8.68,0.05,8.73,8.81,8.99,0.19,8.99,1.23,1.11,1.23,0.71,8.65,13.79,6.44,514.02,4.59,5.60,3.39,2.60
166,8.72,9.63,0.91,9.63,9.12,9.20,0.08,9.20,0.71,1.03,1.03,0.89,9.28,13.18,5.30,390.81,4.46,6.54,3.81,2.08
