,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
18,5.04,5.49,0.44,5.49,5.29,5.23,0.06,5.29,4.28,4.34,0.06,0.00,2.69,9.19,6.64,0.88,0.93,-3.39,-3.78
19,6.91,6.76,0.14,6.91,6.91,6.54,0.37,6.91,6.04,5.66,0.38,0.00,3.73,6.95,3.41,0.86,0.79,-5.06,-4.41
20,6.12,6.57,0.45,6.57,5.99,6.19,0.20,6.19,5.10,5.26,0.16,0.03,2.85,7.27,4.56,0.90,0.83,-4.59,-4.08
21,6.91,7.23,0.32,7.23,6.93,7.00,0.07,7.00,5.84,6.12,0.28,0.07,2.09,5.44,3.45,0.86,0.79,-5.16,-4.37
22,5.23,5.28,0.05,5.28,5.08,5.47,0.39,5.47,4.22,4.35,0.13,0.00,2.97,9.44,6.62,0.88,0.88,-3.45,-3.38
23,6.79,7.20,0.41,7.20,6.78,6.77,0.01,6.78,5.80,5.73,0.07,0.03,2.27,5.71,3.55,0.82,0.83,-4.59,-4.63
24,5.44,5.41,0.03,5.44,5.33,5.60,0.27,5.60,4.34,4.73,0.39,0.00,3.43,9.34,6.08,0.88,0.94,-3.55,-4.21
25,6.95,6.84,0.11,6.95,6.82,6.70,0.12,6.82,5.68,5.69,0.01,0.05,3.58,7.11,3.70,0.79,0.80,-4.35,-4.38
26,6.59,6.72,0.13,6.72,6.40,6.33,0.07,6.40,5.43,5.31,0.12,0.06,3.09,7.42,4.48,0.89,0.78,-4.82,-3.74
27,6.08,6.16,0.09,6.16,5.97,6.14,0.17,6.14,5.05,5.05,0.00,0.00,3.35,7.98,4.79,0.92,0.93,-4.63,-4.67
28,6.75,6.83,0.08,6.83,6.32,6.71,0.39,6.71,5.34,5.74,0.40,0.00,2.29,6.34,4.17,0.80,0.88,-4.01,-4.73
29,5.54,5.75,0.21,5.75,5.50,5.88,0.37,5.88,4.58,4.84,0.26,0.00,3.58,9.05,5.65,0.85,0.93,-3.64,-4.30
30,5.00,4.99,0.00,5.00,5.18,5.26,0.08,5.26,4.28,4.40,0.12,0.00,2.36,8.50,6.26,0.92,0.91,-3.87,-3.80
31,5.25,5.74,0.49,5.74,5.24,5.59,0.35,5.59,4.34,4.71,0.38,0.00,2.71,8.31,5.73,0.89,0.90,-3.78,-4.01
32,6.29,6.51,0.21,6.51,6.26,6.36,0.09,6.36,5.32,5.31,0.02,0.01,2.99,7.43,4.59,0.87,0.87,-4.34,-4.49
33,5.24,5.42,0.18,5.42,4.98,5.32,0.34,5.32,4.32,4.64,0.32,0.00,3.25,9.47,6.38,0.89,0.94,-3.59,-4.11
34,5.80,5.57,0.22,5.80,5.35,5.50,0.15,5.50,4.38,4.53,0.14,0.02,2.85,8.39,5.69,0.87,0.87,-3.86,-3.67
35,6.04,6.65,0.61,6.65,5.95,6.36,0.41,6.36,5.17,5.38,0.21,0.02,2.93,7.48,4.69,0.86,0.88,-4.19,-4.43
36,5.53,5.32,0.21,5.53,5.53,5.26,0.27,5.53,4.54,4.44,0.10,0.00,3.20,9.22,6.18,0.93,0.84,-4.18,-3.22
37,5.59,5.45,0.14,5.59,5.61,5.43,0.17,5.61,4.61,4.58,0.03,0.00,3.13,9.02,6.04,0.85,0.88,-3.45,-3.68
38,6.01,6.01,0.00,6.01,5.91,6.00,0.08,6.00,5.02,5.03,0.01,0.00,2.91,8.00,5.24,0.84,0.87,-3.98,-4.17
39,5.17,5.46,0.29,5.46,5.14,5.49,0.34,5.49,4.20,4.59,0.39,0.00,2.75,8.85,6.24,0.93,0.93,-3.95,-4.04
40,5.01,5.21,0.20,5.21,5.51,5.26,0.25,5.51,4.67,4.47,0.20,0.00,3.16,9.01,6.01,0.92,0.81,-4.15,-3.17
41,6.48,6.57,0.08,6.57,6.65,6.43,0.22,6.65,5.49,5.43,0.06,0.01,2.18,6.39,4.32,0.86,0.81,-4.46,-4.09
42,5.62,5.65,0.03,5.65,5.67,5.74,0.07,5.74,4.90,4.81,0.09,0.00,2.98,8.31,5.48,0.96,0.93,-4.61,-4.43
43,5.31,5.55,0.23,5.55,5.28,5.54,0.26,5.54,4.45,4.69,0.24,0.00,2.76,8.79,6.17,0.82,0.93,-3.10,-4.16
44,6.17,5.81,0.36,6.17,6.01,5.96,0.05,6.01,4.89,5.01,0.12,0.00,3.03,8.00,5.12,0.82,0.97,-3.74,-4.91
45,6.40,6.26,0.14,6.40,6.29,6.10,0.19,6.29,5.23,5.14,0.09,0.00,3.14,7.39,4.41,0.91,0.85,-4.67,-4.10
46,5.53,5.78,0.25,5.78,5.45,5.68,0.23,5.68,4.56,4.99,0.43,0.00,2.53,7.91,5.50,0.85,0.94,-3.62,-4.41
47,5.97,5.78,0.19,5.97,5.88,5.74,0.14,5.88,4.97,4.81,0.16,0.01,3.72,9.12,5.58,0.88,0.87,-4.00,-3.83
48,5.23,5.40,0.16,5.40,5.36,5.45,0.09,5.45,4.51,4.63,0.13,0.00,2.10,8.00,6.01,0.90,0.99,-3.80,-4.50
49,6.36,6.29,0.07,6.36,6.17,6.22,0.05,6.22,5.14,5.37,0.23,0.00,2.28,6.86,4.69,0.83,0.85,-3.98,-4.18
50,6.08,6.20,0.12,6.20,6.08,6.20,0.13,6.20,5.16,5.26,0.10,0.00,2.78,7.40,4.76,0.86,0.88,-4.29,-4.50
51,5.95,6.08,0.13,6.08,5.91,5.88,0.03,5.91,4.92,4.83,0.10,0.00,3.51,8.54,5.20,0.91,0.85,-4.38,-3.88
52,5.09,4.79,0.30,5.09,5.18,4.82,0.36,5.18,4.35,4.05,0.30,0.00,3.13,9.53,6.56,0.92,0.92,-3.78,-3.67
53,6.37,6.19,0.19,6.37,6.21,6.08,0.13,6.21,5.29,5.13,0.16,0.01,3.67,7.90,4.42,0.83,0.86,-4.17,-4.32
54,4.92,5.74,0.83,5.74,5.31,5.44,0.14,5.44,4.56,4.53,0.03,0.00,2.94,9.03,6.24,0.94,0.87,-3.99,-3.45
55,6.28,6.29,0.01,6.29,6.12,6.17,0.05,6.17,5.27,5.29,0.02,0.04,2.96,7.49,4.67,0.92,0.85,-4.84,-4.24
56,5.79,5.36,0.42,5.79,5.60,5.28,0.31,5.60,4.74,4.46,0.28,0.00,2.23,8.47,6.35,0.83,0.93,-3.31,-4.00
57,5.13,5.44,0.31,5.44,5.18,5.48,0.30,5.48,4.21,4.54,0.33,0.00,3.60,9.22,5.80,0.89,0.95,-3.59,-4.28
58,6.26,5.98,0.28,6.26,6.08,5.94,0.14,6.08,5.06,4.93,0.12,0.00,3.70,8.45,4.94,0.82,0.86,-3.85,-4.06
59,5.07,5.19,0.12,5.19,5.42,5.26,0.16,5.42,4.35,4.26,0.09,0.00,2.52,9.03,6.64,0.94,0.89,-3.87,-3.55
60,6.13,5.85,0.28,6.13,5.95,5.69,0.26,5.95,5.17,4.82,0.35,0.00,2.80,7.78,5.12,0.87,0.88,-4.17,-4.19
61,5.64,5.13,0.50,5.64,5.21,5.16,0.05,5.21,4.38,4.37,0.01,0.00,2.14,8.25,6.22,0.90,0.88,-3.83,-3.55
62,6.43,6.07,0.35,6.43,6.22,5.81,0.41,6.22,5.02,4.90,0.12,0.00,2.48,7.73,5.36,0.84,0.81,-3.82,-3.71
63,5.95,5.64,0.30,5.95,5.48,5.45,0.03,5.48,4.38,4.54,0.16,0.00,3.77,9.68,6.10,0.85,0.93,-3.25,-4.00
64,6.92,7.16,0.24,7.16,6.83,6.83,0.01,6.83,5.84,5.76,0.08,0.04,2.78,5.98,3.34,0.81,0.80,-4.64,-4.54
65,4.91,5.15,0.24,5.15,5.15,5.10,0.05,5.15,4.33,4.23,0.10,0.00,2.78,8.98,6.34,0.95,0.89,-4.05,-3.52
66,6.16,6.61,0.44,6.61,6.15,6.30,0.16,6.30,5.13,5.26,0.14,0.02,2.47,7.22,4.87,0.94,0.80,-4.95,-3.74
67,6.05,6.01,0.04,6.05,5.84,6.03,0.18,6.03,5.01,4.97,0.03,0.00,2.48,7.56,5.20,0.88,0.83,-4.08,-3.71
68,6.21,5.90,0.31,6.21,6.19,6.12,0.07,6.19,5.44,5.29,0.14,0.01,3.12,7.37,4.41,0.90,0.88,-4.70,-4.45
69,5.86,6.48,0.62,6.48,5.91,6.11,0.20,6.11,4.94,5.04,0.10,0.02,2.63,7.51,5.01,0.85,0.86,-4.02,-4.04
70,5.36,5.65,0.30,5.65,5.68,5.22,0.46,5.68,4.79,4.49,0.30,0.00,3.11,8.95,5.99,0.84,0.85,-3.41,-3.44
71,5.61,5.06,0.55,5.61,5.57,5.49,0.08,5.57,4.60,4.57,0.04,0.00,3.71,9.50,5.97,0.93,0.91,-4.00,-3.92
72,6.03,5.44,0.60,6.03,5.80,5.39,0.41,5.80,4.86,4.59,0.27,0.00,3.86,9.38,5.71,0.85,0.86,-3.56,-3.62
73,5.98,6.01,0.03,6.01,5.80,5.95,0.15,5.95,4.86,5.09,0.23,0.00,2.35,7.39,5.16,0.88,0.90,-4.11,-4.32
74,5.70,5.98,0.29,5.98,5.87,5.93,0.06,5.93,5.06,5.19,0.13,0.00,2.75,7.66,5.05,0.87,0.97,-4.27,-5.10
75,6.14,6.25,0.11,6.25,6.13,5.98,0.15,6.13,5.14,5.04,0.10,0.00,3.03,7.97,5.10,0.88,0.86,-4.26,-4.13
76,6.15,6.15,0.00,6.15,6.16,6.32,0.15,6.32,5.09,5.33,0.24,0.00,2.32,7.04,4.84,0.87,0.88,-4.40,-4.52
77,6.14,6.79,0.65,6.79,6.24,6.40,0.16,6.40,5.35,5.24,0.12,0.01,2.73,7.27,4.67,0.89,0.85,-4.55,-4.30
78,7.40,6.81,0.59,7.40,6.85,6.86,0.01,6.86,5.74,5.85,0.11,0.07,4.41,8.00,3.81,0.78,0.85,-4.35,-4.82
79,7.10,6.98,0.12,7.10,6.87,6.56,0.32,6.87,5.86,5.65,0.21,0.03,2.93,6.36,3.57,0.84,0.87,-4.70,-4.90
80,5.37,5.28,0.08,5.37,5.43,5.34,0.08,5.43,4.66,4.55,0.11,0.00,2.66,8.65,6.12,0.92,0.91,-3.97,-3.85
81,6.07,6.21,0.14,6.21,6.00,6.12,0.12,6.12,5.01,5.20,0.19,0.01,3.10,7.75,4.80,0.87,0.89,-4.24,-4.39
82,6.23,5.94,0.29,6.23,6.09,5.87,0.23,6.09,5.06,4.92,0.14,0.00,2.87,7.84,5.11,0.85,0.88,-3.95,-4.22
83,6.27,6.22,0.05,6.27,5.94,6.12,0.18,6.12,5.18,5.15,0.03,0.01,3.20,8.00,4.96,0.88,0.83,-4.42,-3.87
84,6.02,5.90,0.12,6.02,5.84,5.34,0.50,5.84,4.80,4.59,0.21,0.00,2.52,7.62,5.23,0.89,0.85,-4.19,-3.83
85,6.18,6.33,0.15,6.33,6.17,6.01,0.16,6.17,5.22,5.12,0.10,0.00,2.44,6.92,4.60,0.88,0.82,-4.53,-3.92
86,5.86,6.39,0.54,6.39,5.82,6.17,0.35,6.17,5.02,5.40,0.39,0.02,2.99,7.75,4.90,0.93,0.87,-4.69,-4.25
87,5.66,6.17,0.51,6.17,5.81,5.98,0.17,5.98,4.86,5.16,0.30,0.02,2.78,7.61,4.98,0.92,0.84,-4.55,-3.96
88,6.07,5.93,0.14,6.07,6.02,6.12,0.09,6.12,5.01,5.08,0.07,0.00,2.91,7.93,5.17,0.88,0.88,-4.28,-4.27
89,5.61,5.51,0.09,5.61,5.61,5.41,0.20,5.61,4.80,4.60,0.21,0.00,4.44,10.33,6.11,0.90,0.91,-4.01,-4.04
90,5.36,5.86,0.50,5.86,5.57,5.50,0.07,5.57,4.69,4.61,0.08,0.00,2.82,8.72,6.04,0.95,0.91,-4.21,-3.93
91,6.25,6.20,0.05,6.25,6.05,5.92,0.13,6.05,4.94,5.06,0.12,0.02,3.03,8.00,5.13,0.84,0.88,-3.99,-4.29
92,5.72,5.93,0.20,5.93,5.36,5.43,0.07,5.43,4.53,4.52,0.01,0.00,3.89,9.95,6.25,0.93,0.86,-4.10,-3.51
93,5.37,6.09,0.72,6.09,5.60,5.91,0.31,5.91,4.78,4.93,0.15,0.02,3.29,8.46,5.34,0.94,0.84,-4.39,-3.75
94,5.79,4.96,0.82,5.79,5.52,4.94,0.58,5.52,4.63,4.24,0.39,0.00,2.51,8.72,6.34,0.95,0.88,-4.15,-3.38
95,6.96,7.46,0.50,7.46,7.00,7.20,0.20,7.20,5.86,6.01,0.15,0.09,3.72,7.02,3.49,0.84,0.81,-4.83,-4.71
96,5.18,5.22,0.03,5.22,5.31,5.00,0.31,5.31,4.39,4.26,0.13,0.00,2.67,8.87,6.33,0.93,0.94,-3.91,-4.05
97,6.52,6.24,0.28,6.52,6.27,6.31,0.04,6.31,5.29,5.38,0.09,0.03,2.59,6.97,4.51,0.81,0.86,-3.90,-4.43
98,5.46,5.42,0.04,5.46,5.44,5.42,0.02,5.44,4.32,4.50,0.18,0.00,2.39,8.74,6.47,0.91,0.88,-3.70,-3.55
99,7.14,7.33,0.19,7.33,6.95,6.86,0.09,6.95,5.79,5.92,0.14,0.09,2.62,6.05,3.56,0.82,0.74,-4.74,-4.07
100,6.16,5.54,0.62,6.16,6.03,5.76,0.27,6.03,4.82,4.96,0.14,0.00,3.07,8.36,5.44,0.89,0.95,-4.07,-4.59
101,5.63,5.25,0.38,5.63,5.38,5.30,0.09,5.38,4.57,4.57,0.00,0.00,2.38,8.67,6.41,0.91,0.90,-3.91,-3.85
102,6.23,5.47,0.76,6.23,5.80,5.64,0.16,5.80,4.80,4.53,0.27,0.01,2.65,8.07,5.55,0.89,0.88,-4.01,-3.68
103,6.39,6.38,0.01,6.39,6.21,6.33,0.12,6.33,5.18,5.42,0.24,0.02,3.02,7.26,4.39,0.85,0.89,-4.21,-4.65
104,6.46,6.97,0.51,6.97,6.44,6.25,0.19,6.44,5.44,5.38,0.06,0.01,2.84,7.01,4.30,0.84,0.82,-4.38,-4.22
105,6.51,6.51,0.01,6.51,6.47,6.22,0.25,6.47,5.43,5.08,0.34,0.01,3.27,8.00,4.90,0.89,0.89,-4.44,-4.35
106,5.32,5.71,0.40,5.71,5.75,5.73,0.02,5.75,4.75,4.91,0.16,0.00,2.82,8.36,5.68,0.94,0.90,-4.44,-4.13
107,5.95,6.45,0.50,6.45,5.84,6.26,0.42,6.26,4.99,5.29,0.30,0.00,2.89,7.68,4.93,0.83,0.89,-3.84,-4.44
108,6.71,6.66,0.05,6.71,6.59,6.43,0.15,6.59,5.33,5.51,0.18,0.03,3.02,7.16,4.30,0.86,0.79,-4.62,-3.92
109,7.07,6.72,0.36,7.07,6.72,6.80,0.08,6.80,5.62,5.85,0.23,0.04,3.96,7.20,3.43,0.76,0.83,-4.15,-4.77
110,6.09,6.06,0.03,6.09,5.76,5.99,0.23,5.99,4.88,5.06,0.18,0.00,2.75,7.99,5.38,0.87,0.88,-3.90,-4.13
111,7.13,7.05,0.08,7.13,6.89,7.10,0.21,7.10,5.95,5.76,0.19,0.08,2.40,5.54,3.26,0.83,0.88,-4.66,-5.18
112,5.74,5.25,0.49,5.74,5.68,5.41,0.27,5.68,4.74,4.51,0.23,0.00,2.45,7.80,5.47,0.88,0.87,-3.94,-3.87
113,6.31,6.39,0.08,6.39,6.16,5.92,0.24,6.16,5.09,5.07,0.02,0.00,3.21,8.00,4.95,0.88,0.85,-4.23,-4.04
114,5.84,6.31,0.47,6.31,5.76,6.25,0.49,6.25,4.97,5.34,0.37,0.02,2.85,7.60,4.90,0.90,0.91,-4.45,-4.72
115,7.08,7.10,0.02,7.10,6.91,6.97,0.05,6.97,5.87,5.83,0.04,0.01,2.73,6.04,3.45,0.81,0.80,-4.60,-4.42
116,6.17,6.02,0.15,6.17,6.23,6.09,0.14,6.23,5.25,5.09,0.16,0.00,3.24,8.00,4.92,0.92,0.94,-4.74,-4.88
117,5.85,5.28,0.57,5.85,5.48,5.41,0.07,5.48,4.61,4.54,0.07,0.01,2.89,8.95,6.20,0.89,0.88,-3.75,-3.51
118,6.23,6.63,0.40,6.63,6.34,6.42,0.07,6.42,5.49,5.37,0.12,0.00,2.49,6.97,4.60,0.85,0.88,-4.36,-4.80
119,6.23,6.53,0.30,6.53,6.21,6.17,0.04,6.21,5.21,5.38,0.16,0.02,2.37,7.14,4.88,0.83,0.90,-3.96,-4.60
120,5.08,5.78,0.71,5.78,5.40,5.61,0.21,5.61,4.64,4.77,0.14,0.00,2.25,8.11,5.96,0.90,0.87,-3.91,-3.80
121,5.24,5.55,0.31,5.55,5.56,5.69,0.14,5.69,4.53,4.59,0.06,0.00,2.46,8.39,6.05,0.96,0.89,-4.37,-3.91
122,7.26,7.46,0.21,7.46,6.74,7.19,0.45,7.19,5.90,6.11,0.20,0.16,2.32,5.49,3.30,0.74,0.80,-4.04,-4.60
123,4.86,5.21,0.36,5.21,5.06,5.12,0.07,5.12,4.28,4.31,0.03,0.00,4.31,10.78,6.68,0.92,0.92,-3.62,-3.72
124,5.85,5.88,0.02,5.88,5.85,5.91,0.06,5.91,5.08,4.95,0.13,0.00,2.54,7.27,4.86,0.90,0.86,-4.45,-4.01
125,5.52,5.20,0.32,5.52,5.19,5.34,0.14,5.34,4.35,4.38,0.02,0.00,2.33,8.46,6.24,0.87,0.93,-3.58,-3.93
126,5.49,6.31,0.82,6.31,5.80,6.10,0.31,6.10,4.95,5.17,0.22,0.01,2.30,7.07,4.88,0.87,0.87,-4.02,-4.20
127,5.72,6.41,0.69,6.41,6.32,6.42,0.10,6.42,5.35,5.33,0.02,0.00,3.37,7.98,4.78,0.92,0.86,-4.77,-4.36
128,5.74,5.90,0.16,5.90,5.82,5.93,0.11,5.93,4.90,5.01,0.11,0.01,2.99,8.00,5.16,0.90,0.90,-4.36,-4.34
129,6.29,5.86,0.42,6.29,6.19,5.89,0.30,6.19,5.26,5.13,0.13,0.00,2.86,7.57,4.85,0.90,0.90,-4.43,-4.41
130,6.79,6.58,0.21,6.79,6.37,6.31,0.06,6.37,5.50,5.37,0.13,0.05,2.75,7.14,4.53,0.89,0.83,-4.68,-3.97
131,5.55,5.19,0.36,5.55,5.26,5.32,0.07,5.32,4.48,4.36,0.13,0.00,2.92,8.89,6.12,0.85,0.91,-3.38,-3.89
132,6.08,5.80,0.28,6.08,5.89,6.11,0.22,6.11,5.01,5.30,0.30,0.08,2.64,7.43,4.92,0.82,0.95,-3.88,-4.98
133,6.95,7.76,0.81,7.76,6.70,7.09,0.40,7.09,5.64,6.03,0.39,0.08,3.73,7.03,3.48,0.82,0.80,-4.59,-4.68
134,6.83,6.61,0.22,6.83,6.51,6.65,0.15,6.65,5.41,5.42,0.01,0.03,3.51,7.88,4.55,0.83,0.91,-4.15,-4.79
135,5.68,5.61,0.08,5.68,5.69,5.69,0.01,5.69,4.82,4.86,0.04,0.00,2.60,7.98,5.50,0.93,0.91,-4.30,-4.08
136,5.61,5.63,0.03,5.63,5.44,5.66,0.22,5.66,4.56,4.78,0.23,0.01,2.61,7.93,5.45,0.90,0.92,-4.03,-4.14
137,4.38,4.85,0.47,4.85,4.72,4.80,0.08,4.80,3.81,3.99,0.18,0.00,2.37,9.24,6.98,0.94,0.90,-3.64,-3.51
138,6.05,6.18,0.14,6.18,5.87,6.01,0.14,6.01,5.08,4.99,0.09,0.01,3.35,8.00,4.82,0.87,0.79,-4.19,-3.59
139,5.68,6.39,0.71,6.39,5.87,6.14,0.26,6.14,5.08,5.15,0.06,0.01,3.44,8.33,5.06,0.92,0.87,-4.52,-4.10
140,7.45,7.34,0.12,7.45,7.23,6.87,0.36,7.23,6.23,5.91,0.32,0.07,3.04,6.14,3.25,0.82,0.76,-4.96,-4.19
141,5.47,5.98,0.50,5.98,5.46,5.83,0.37,5.83,4.74,4.88,0.15,0.00,3.04,8.00,5.11,0.90,0.92,-4.29,-4.50
142,5.94,6.21,0.28,6.21,5.79,6.12,0.33,6.12,4.83,5.17,0.34,0.01,3.55,8.47,5.09,0.89,0.87,-4.24,-4.14
143,5.96,6.46,0.50,6.46,5.97,6.52,0.54,6.52,5.27,5.53,0.26,0.01,3.88,8.45,4.76,0.89,0.88,-4.57,-4.51
144,5.81,5.91,0.10,5.91,5.90,6.07,0.17,6.07,5.12,5.19,0.07,0.00,3.25,8.00,4.91,0.88,0.83,-4.48,-3.98
145,5.70,5.21,0.49,5.70,5.58,5.50,0.08,5.58,4.69,4.62,0.07,0.00,2.61,8.00,5.52,0.88,0.92,-3.87,-4.24
146,6.59,6.30,0.29,6.59,5.89,6.07,0.18,6.07,5.24,5.16,0.09,0.06,2.78,7.10,4.46,0.82,0.89,-3.95,-4.55
147,5.55,5.51,0.03,5.55,5.76,5.66,0.10,5.76,4.71,4.76,0.05,0.00,2.88,8.61,5.88,0.98,0.91,-4.60,-3.88
148,5.97,6.17,0.20,6.17,5.99,6.00,0.01,6.00,5.11,5.05,0.06,0.01,3.06,8.00,5.09,0.89,0.89,-4.36,-4.16
149,5.47,5.50,0.03,5.50,5.31,5.36,0.05,5.36,4.50,4.60,0.10,0.00,2.59,8.51,6.05,0.89,0.92,-3.63,-3.90
150,5.96,6.21,0.24,6.21,6.01,6.20,0.19,6.20,4.95,5.28,0.33,0.00,3.48,8.38,5.08,0.90,0.91,-4.40,-4.62
151,6.40,6.06,0.34,6.40,6.01,6.12,0.11,6.12,5.22,5.21,0.01,0.01,3.08,7.80,4.88,0.79,0.93,-3.61,-4.70
152,4.98,5.54,0.56,5.54,5.23,5.32,0.09,5.32,4.37,4.44,0.08,0.00,2.72,9.01,6.43,0.92,0.91,-3.87,-3.72
153,6.07,6.73,0.65,6.73,6.14,6.66,0.51,6.66,5.30,5.48,0.19,0.01,3.16,7.22,4.22,0.92,0.85,-4.81,-4.33
154,5.47,4.99,0.48,5.47,5.61,5.11,0.50,5.61,4.51,4.40,0.11,0.00,4.15,10.22,6.27,0.90,0.94,-3.83,-4.13
155,5.19,5.50,0.31,5.50,5.18,5.43,0.25,5.43,4.13,4.57,0.43,0.01,2.45,8.74,6.40,0.90,0.95,-3.61,-4.14
156,6.21,5.85,0.36,6.21,6.23,5.73,0.51,6.23,5.32,5.04,0.28,0.00,3.58,8.30,4.90,0.92,0.83,-4.60,-3.86
157,5.90,5.37,0.52,5.90,5.75,5.36,0.39,5.75,4.72,4.56,0.16,0.00,2.43,8.44,6.14,0.90,0.93,-3.85,-4.04
158,7.51,7.27,0.24,7.51,6.82,7.11,0.29,7.11,6.11,5.90,0.22,0.06,2.79,5.78,3.12,0.73,0.82,-4.09,-4.96
159,5.95,6.15,0.19,6.15,5.94,5.98,0.04,5.98,4.94,4.91,0.04,0.02,2.76,7.64,5.01,0.88,0.88,-4.23,-4.18
160,6.57,5.94,0.63,6.57,6.28,6.01,0.26,6.28,5.25,5.02,0.24,0.01,2.57,7.13,4.69,0.83,0.85,-4.12,-4.19
161,5.46,5.34,0.11,5.46,5.35,5.20,0.15,5.35,4.51,4.55,0.04,0.00,2.62,8.17,5.68,0.91,0.83,-4.17,-3.38
162,5.97,6.41,0.44,6.41,5.64,6.24,0.60,6.24,4.80,5.26,0.45,0.04,2.74,7.40,4.80,0.83,0.92,-3.76,-4.72
163,6.80,6.78,0.02,6.80,6.53,6.41,0.11,6.53,5.39,5.45,0.06,0.04,2.87,6.98,4.26,0.80,0.83,-4.01,-4.31
164,6.24,6.22,0.02,6.24,6.19,6.23,0.04,6.23,5.44,5.27,0.17,0.00,2.25,6.77,4.63,0.86,0.87,-4.44,-4.44
165,4.96,5.17,0.21,5.17,5.13,4.98,0.15,5.13,4.29,4.32,0.04,0.00,2.43,8.68,6.37,0.95,0.91,-4.04,-3.72
166,5.15,5.36,0.21,5.36,5.36,5.19,0.16,5.36,4.41,4.47,0.06,0.00,2.53,8.62,6.22,0.93,0.86,-3.96,-3.41
167,5.59,5.85,0.25,5.85,5.35,5.76,0.42,5.76,4.52,4.75,0.23,0.01,2.23,8.02,5.90,0.94,0.87,-4.24,-3.60
168,5.48,5.38,0.10,5.48,5.54,5.35,0.20,5.54,4.67,4.49,0.18,0.00,3.25,9.28,6.20,0.89,0.89,-3.75,-3.74
169,6.43,6.30,0.13,6.43,6.23,6.30,0.07,6.30,5.30,5.31,0.01,0.00,2.58,7.03,4.58,0.93,0.79,-4.96,-3.75
170,5.94,5.54,0.39,5.94,6.16,5.74,0.43,6.16,5.09,4.77,0.31,0.00,2.71,8.00,5.43,0.92,0.85,-4.64,-3.77
