,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,SemiVar0,SemiVar1,Max SemiVar,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,s_1,s_2,p1,p2
11,53.29,54.89,1.61,54.89,47.72,48.23,0.51,48.23,71.88,183.73,183.73,0.98,57.54,90.00,41.09,3245.51,27.92,26.74,20.90,19.32
12,53.55,51.40,2.15,53.55,46.57,48.42,1.85,48.42,121.96,129.66,129.66,0.96,56.84,88.37,40.06,3153.64,27.50,28.72,18.81,19.29
13,54.90,52.79,2.11,54.90,47.24,47.35,0.11,47.35,290.94,79.07,290.94,0.98,60.44,90.00,38.62,2955.82,27.24,27.15,20.82,21.18
14,50.05,52.31,2.26,52.31,45.39,48.19,2.79,48.19,142.16,59.57,142.16,0.99,48.68,77.93,36.55,2924.83,25.97,29.34,20.57,19.85
15,57.14,53.56,3.58,57.14,47.27,47.80,0.53,47.80,83.02,89.56,89.56,0.97,52.35,82.39,37.89,3004.07,26.76,28.53,20.38,19.97
16,53.57,55.44,1.87,55.44,44.95,45.92,0.97,45.92,203.83,260.48,260.48,0.54,48.26,90.00,48.98,4173.62,25.48,23.91,19.30,20.91
17,55.02,56.26,1.24,56.26,48.21,47.29,0.92,48.21,193.78,140.98,193.78,0.96,55.75,90.00,42.61,3424.61,27.77,27.43,19.98,20.35
18,49.62,51.43,1.81,51.43,45.38,45.31,0.07,45.38,43.69,83.51,83.51,0.91,56.69,90.00,41.82,3331.24,26.04,24.01,19.91,21.70
19,50.16,50.67,0.50,50.67,44.86,46.00,1.15,46.00,183.45,109.29,183.45,0.56,54.44,89.67,43.40,3522.99,26.16,26.12,20.23,21.18
20,59.26,49.90,9.36,59.26,50.30,43.99,6.31,50.30,170.14,74.10,170.14,0.80,44.89,78.20,40.04,3330.89,30.20,25.13,19.74,19.94
21,51.84,59.96,8.12,59.96,49.25,48.14,1.11,49.25,59.88,273.27,273.27,0.84,56.40,90.00,42.06,3359.71,29.18,29.02,20.28,19.08
22,49.47,51.27,1.80,51.27,44.97,47.03,2.06,47.03,118.22,121.82,121.82,0.81,59.19,90.00,39.69,3081.42,26.00,28.32,19.98,19.17
23,51.68,56.62,4.94,56.62,46.01,47.66,1.65,47.66,79.19,165.48,165.48,0.96,54.50,82.47,36.14,2796.63,25.85,29.55,21.47,19.11
24,57.15,51.92,5.23,57.15,48.33,46.76,1.56,48.33,269.65,155.03,269.65,0.90,56.41,89.48,41.54,3307.40,26.60,28.66,21.31,18.39
25,52.54,61.23,8.70,61.23,45.07,46.78,1.71,46.78,179.56,340.70,340.70,0.93,54.39,90.00,43.77,3560.98,25.31,24.93,20.89,21.95
26,54.72,53.64,1.09,54.72,48.97,48.12,0.85,48.97,85.43,91.01,91.01,0.95,58.27,90.00,40.47,3172.88,30.35,27.04,18.84,21.88
27,54.14,53.88,0.25,54.14,47.01,46.84,0.16,47.01,168.67,111.36,168.67,0.99,53.25,90.00,44.73,3674.63,25.28,21.05,21.54,25.88
28,55.73,53.13,2.60,55.73,47.68,46.06,1.62,47.68,253.54,162.31,253.54,0.80,55.05,90.00,43.21,3494.88,25.32,27.11,20.93,19.45
29,55.62,52.91,2.70,55.62,44.60,46.46,1.86,46.46,182.14,84.28,182.14,0.84,50.40,83.50,40.66,3310.08,25.30,27.50,20.04,19.97
30,58.52,53.60,4.92,58.52,47.36,45.31,2.05,47.36,317.45,98.25,317.45,0.97,57.67,90.00,40.98,3232.93,27.11,23.29,21.27,22.51
31,53.58,53.87,0.29,53.87,46.67,47.73,1.05,47.73,121.95,159.70,159.70,0.72,53.70,90.00,44.36,3630.25,26.39,27.46,20.24,19.22
32,55.24,57.02,1.79,57.02,44.79,47.53,2.74,47.53,328.34,242.80,328.34,0.96,48.39,79.48,38.35,3108.70,23.89,28.27,21.27,20.04
33,54.51,51.45,3.06,54.51,42.70,47.53,4.83,47.53,184.59,81.68,184.59,0.77,54.76,90.00,43.45,3524.07,18.21,29.61,23.66,18.78
34,53.20,48.84,4.35,53.20,45.62,45.95,0.34,45.95,117.48,49.34,117.48,0.84,51.76,86.60,42.60,3484.11,26.32,22.53,19.88,25.10
35,53.14,52.02,1.12,53.14,45.94,46.70,0.76,46.70,139.64,69.63,139.64,0.81,51.43,85.33,41.61,3389.41,26.13,28.16,20.03,19.86
36,53.78,53.23,0.55,53.78,47.75,46.96,0.80,47.75,104.13,152.06,152.06,0.97,58.79,89.99,40.01,3119.19,28.65,26.55,20.17,21.40
37,48.20,52.52,4.32,52.52,45.79,47.69,1.91,47.69,19.60,74.64,74.64,0.97,58.04,86.97,37.63,2892.89,26.42,28.62,20.46,19.56
38,57.41,60.64,3.23,60.64,46.85,49.25,2.40,49.25,240.52,269.07,269.07,0.98,55.31,86.46,39.44,3114.82,27.36,29.31,19.95,20.50
39,56.84,54.41,2.44,56.84,48.30,48.01,0.29,48.30,143.17,218.55,218.55,0.57,55.28,87.52,40.53,3223.72,28.45,27.33,19.65,21.77
40,54.67,51.71,2.96,54.67,47.73,47.25,0.49,47.73,114.22,87.43,114.22,0.99,57.61,90.00,41.03,3238.71,29.21,27.00,19.58,21.48
41,53.60,51.59,2.01,53.60,48.07,46.25,1.82,48.07,98.46,66.83,98.46,0.83,48.78,80.77,39.31,3199.38,27.94,26.43,19.54,20.36
42,58.52,55.27,3.26,58.52,46.16,47.02,0.86,47.02,231.44,209.90,231.44,0.98,48.93,85.70,44.12,3677.70,22.30,27.82,23.77,20.03
43,52.33,52.40,0.07,52.40,45.02,45.79,0.76,45.79,104.32,94.06,104.32,0.96,56.20,90.00,42.23,3379.69,23.72,26.20,21.21,19.35
44,58.58,60.84,2.26,60.84,46.32,51.82,5.50,51.82,311.14,99.86,311.14,0.93,52.36,87.36,42.85,3500.00,25.87,32.87,20.08,18.70
45,52.36,53.52,1.17,53.52,46.38,46.21,0.17,46.38,143.88,177.02,177.02,0.49,57.34,88.83,40.09,3149.37,28.24,27.92,18.53,19.08
46,47.93,54.86,6.93,54.86,45.28,46.00,0.72,46.00,57.49,218.72,218.72,0.90,58.27,90.00,40.47,3173.18,27.45,26.45,18.65,19.45
47,54.47,53.02,1.45,54.47,47.16,48.68,1.52,48.68,93.81,27.49,93.81,0.97,55.71,85.89,38.53,3017.73,26.44,28.49,21.06,20.89
48,56.10,59.29,3.19,59.29,46.41,47.22,0.81,47.22,153.04,174.96,174.96,0.76,55.65,90.00,42.70,3435.07,27.03,27.29,19.57,19.24
49,51.96,53.91,1.96,53.91,47.70,46.66,1.03,47.70,82.08,203.45,203.45,0.97,54.07,84.41,38.44,3033.28,27.79,26.04,20.57,20.65
50,60.98,56.95,4.03,60.98,47.99,48.22,0.23,48.22,172.61,129.42,172.61,0.97,55.64,85.13,37.84,2949.16,27.49,28.76,20.45,19.87
51,51.13,57.80,6.67,57.80,47.91,48.55,0.63,48.55,141.22,286.03,286.03,0.68,54.81,88.74,42.16,3393.41,27.90,27.76,18.51,20.67
52,57.19,60.20,3.00,60.20,45.63,46.68,1.05,46.68,353.66,529.37,529.37,0.96,61.05,90.00,38.10,2894.56,26.48,28.36,19.90,19.99
53,52.52,54.29,1.76,54.29,46.23,48.77,2.54,48.77,86.92,120.50,120.50,0.92,53.50,82.79,37.32,2929.55,28.34,29.30,18.32,20.61
54,50.10,56.30,6.20,56.30,44.44,49.87,5.43,49.87,61.63,112.85,112.85,0.98,55.96,90.00,42.43,3403.83,24.74,28.72,20.21,21.48
55,53.36,65.45,12.09,65.45,46.91,46.58,0.33,46.91,143.77,314.42,314.42,0.28,50.67,90.00,46.93,3932.77,25.93,25.24,20.62,20.30
56,57.93,63.67,5.74,63.67,45.92,45.66,0.25,45.92,225.39,271.72,271.72,0.98,55.93,90.00,42.46,3407.45,26.69,24.88,20.53,20.79
57,52.01,51.66,0.34,52.01,46.04,46.81,0.77,46.81,48.41,153.30,153.30,0.98,42.22,73.90,38.01,3167.69,26.37,26.75,21.17,19.86
58,57.14,57.46,0.32,57.46,49.62,46.83,2.79,49.62,90.96,306.76,306.76,0.85,54.45,90.00,43.72,3555.38,29.88,26.51,20.25,19.20
59,56.49,52.53,3.96,56.49,48.06,46.80,1.26,48.06,239.83,121.44,239.83,0.94,45.32,77.55,39.03,3222.64,28.67,26.61,19.19,20.58
60,53.25,51.13,2.12,53.25,46.86,47.96,1.10,47.96,122.28,29.41,122.28,0.45,43.93,79.05,41.71,3512.47,25.60,25.96,20.62,22.86
61,56.46,67.08,10.62,67.08,49.28,50.24,0.95,50.24,238.82,269.61,269.61,0.98,55.44,90.00,42.88,3455.93,29.03,26.22,20.47,21.29
62,50.22,59.88,9.65,59.88,43.12,46.54,3.43,46.54,222.47,207.77,222.47,0.93,50.81,90.00,46.81,3919.27,19.57,27.26,23.89,19.53
63,51.47,55.43,3.96,55.43,46.35,48.53,2.19,48.53,175.26,174.67,175.26,0.98,50.90,77.08,33.81,2617.41,28.32,28.84,19.49,19.16
64,54.67,55.49,0.81,55.49,46.08,48.13,2.05,48.13,143.73,223.83,223.83,0.63,51.36,90.00,46.34,3863.77,24.75,27.62,22.07,20.41
65,51.75,50.72,1.02,51.75,46.84,47.22,0.38,47.22,141.59,48.71,141.59,0.92,44.60,73.36,35.44,2875.17,28.79,28.61,18.75,19.79
66,50.43,53.95,3.52,53.95,44.32,46.25,1.93,46.25,107.17,90.73,107.17,0.94,53.55,90.00,44.48,3644.54,22.96,26.43,21.90,19.85
67,54.48,58.86,4.38,58.86,47.32,50.78,3.46,50.78,162.88,165.67,165.67,0.60,50.71,85.76,42.66,3504.94,26.88,30.34,19.41,20.92
68,50.53,51.84,1.32,51.84,45.09,43.60,1.49,45.09,106.66,175.85,175.85,0.73,60.64,90.00,38.46,2936.01,25.45,26.08,20.38,18.84
69,53.29,55.04,1.75,55.04,47.77,44.27,3.50,47.77,122.97,189.68,189.68,0.70,51.34,90.00,46.36,3866.03,27.85,19.78,21.11,23.57
70,50.97,56.16,5.19,56.16,44.38,48.06,3.68,48.06,188.81,278.20,278.20,0.66,50.66,86.29,43.23,3563.41,25.13,27.95,19.67,20.62
71,51.94,60.98,9.04,60.98,46.01,47.21,1.21,47.21,102.09,244.33,244.33,0.32,53.26,90.00,44.73,3674.02,23.75,28.24,22.20,19.67
72,54.11,54.52,0.41,54.52,46.92,48.05,1.13,48.05,174.97,100.93,174.97,0.82,50.51,84.03,41.10,3352.35,27.27,27.80,20.54,20.05
73,54.18,47.45,6.73,54.18,45.95,44.51,1.45,45.95,138.34,24.88,138.34,0.98,45.64,75.77,36.98,3013.35,25.02,26.33,20.16,19.82
74,55.07,63.55,8.47,63.55,45.55,50.50,4.95,50.50,280.34,322.50,322.50,0.94,47.08,84.08,44.07,3700.33,22.63,30.60,23.39,19.57
75,56.70,51.24,5.46,56.70,44.72,44.69,0.03,44.72,198.42,142.40,198.42,0.35,50.31,90.00,47.24,3969.39,18.37,27.07,25.33,17.81
76,53.12,52.88,0.24,53.12,46.86,46.43,0.43,46.86,111.38,113.30,113.30,0.95,50.69,82.01,38.93,3132.43,27.77,27.15,19.16,19.20
77,57.03,57.28,0.24,57.28,46.18,45.48,0.70,46.18,306.60,210.58,306.60,0.20,47.66,89.31,48.80,4165.30,25.86,19.37,20.88,25.47
78,50.33,50.50,0.17,50.50,46.29,48.69,2.39,48.69,93.72,9.71,93.72,0.98,60.28,83.93,32.69,2364.63,29.18,29.83,18.55,20.27
79,55.94,50.66,5.28,55.94,45.59,45.88,0.28,45.88,270.83,124.70,270.83,0.31,43.43,82.17,45.25,3873.91,22.43,26.17,23.00,18.97
80,56.23,53.48,2.75,56.23,46.03,46.36,0.33,46.36,287.08,146.57,287.08,0.86,58.86,89.17,39.14,3031.50,25.74,28.07,19.67,18.94
81,55.10,53.67,1.44,55.10,47.67,48.29,0.62,48.29,267.64,114.77,267.64,0.96,39.89,68.76,34.85,2886.64,25.97,29.14,23.20,20.46
82,49.24,54.59,5.36,54.59,47.11,48.08,0.97,48.08,15.28,85.61,85.61,0.95,54.64,84.46,38.01,2981.27,27.75,28.27,20.62,20.44
83,57.51,57.61,0.10,57.61,47.88,47.79,0.09,47.88,209.39,172.27,209.39,0.84,55.91,90.00,42.48,3409.04,28.16,27.34,19.38,20.62
84,56.81,54.41,2.39,56.81,47.13,50.10,2.96,50.10,212.45,88.94,212.45,0.72,56.90,90.00,41.63,3309.67,26.46,31.48,21.94,18.75
85,52.39,53.23,0.84,53.23,46.44,47.93,1.49,47.93,88.54,86.12,88.54,0.99,53.34,86.65,41.31,3330.89,24.86,28.31,22.45,20.24
86,52.09,55.17,3.08,55.17,45.83,46.81,0.98,46.81,178.19,243.40,243.40,0.25,48.53,85.30,44.05,3676.54,23.46,27.33,20.94,19.72
87,52.85,49.46,3.39,52.85,46.12,45.73,0.39,46.12,108.57,77.88,108.57,0.99,61.23,90.00,37.95,2876.70,27.16,23.97,19.82,22.80
88,47.45,53.71,6.26,53.71,46.14,44.93,1.22,46.14,29.19,109.46,109.46,0.98,50.57,84.99,42.01,3442.49,26.93,23.48,21.29,21.31
89,56.16,55.88,0.28,56.16,48.94,48.38,0.56,48.94,179.64,520.34,520.34,0.24,54.36,89.07,42.87,3471.28,29.41,27.54,19.67,21.83
90,63.91,51.41,12.50,63.91,49.14,45.99,3.15,49.14,505.86,54.83,505.86,0.50,57.57,90.00,41.06,3242.84,28.07,25.65,21.80,21.27
91,57.46,51.76,5.70,57.46,45.51,47.70,2.19,47.70,273.01,190.42,273.01,0.99,49.36,81.34,39.38,3198.03,25.98,28.50,20.38,19.66
92,52.11,52.85,0.74,52.85,46.90,47.15,0.26,47.15,54.18,71.99,71.99,0.94,48.03,80.03,39.21,3200.15,26.45,28.54,21.02,18.73
93,57.35,58.90,1.55,58.90,45.42,46.70,1.27,46.70,378.45,182.81,378.45,0.87,49.48,86.73,44.67,3724.60,23.60,25.78,22.06,21.05
94,55.11,52.05,3.06,55.11,44.77,46.20,1.43,46.20,262.08,139.81,262.08,0.73,49.86,85.75,43.37,3588.66,22.12,27.77,22.39,19.49
95,61.33,50.60,10.73,61.33,47.74,46.82,0.92,47.74,229.76,82.01,229.76,0.79,51.30,84.35,40.74,3304.39,26.71,27.39,19.16,20.28
96,53.83,56.83,3.01,56.83,43.49,48.73,5.24,48.73,307.39,123.39,307.39,0.82,55.34,90.00,42.96,3465.53,23.98,28.74,19.63,19.57
97,50.67,55.59,4.92,55.59,45.23,47.90,2.67,47.90,121.78,131.16,131.16,0.95,54.35,88.66,42.46,3430.97,26.68,25.83,19.02,20.76
98,51.00,52.11,1.11,52.11,45.07,44.72,0.35,45.07,106.97,123.90,123.90,0.99,52.71,89.11,44.31,3640.24,25.02,20.34,20.94,24.25
99,59.08,55.88,3.20,59.08,48.93,46.99,1.93,48.93,126.76,64.99,126.76,0.59,56.04,90.00,42.36,3395.55,28.54,26.21,20.85,20.85
100,51.75,48.70,3.04,51.75,45.95,47.15,1.19,47.15,86.82,17.30,86.82,0.88,51.74,85.04,41.06,3329.44,26.36,27.47,20.62,20.85
101,52.36,52.59,0.23,52.59,45.59,45.79,0.20,45.79,70.34,123.53,123.53,0.69,55.39,90.00,42.92,3460.92,26.64,26.07,19.87,20.19
102,49.02,48.50,0.51,49.02,45.53,46.07,0.54,46.07,130.32,63.72,130.32,0.92,55.56,85.69,38.46,3013.01,26.71,28.22,20.17,18.18
103,57.91,52.82,5.09,57.91,47.62,46.94,0.68,47.62,324.46,203.53,324.46,0.76,51.90,85.75,41.64,3385.37,27.53,26.89,20.49,21.33
104,49.12,52.92,3.79,52.92,45.11,46.24,1.13,46.24,124.92,68.49,124.92,0.96,56.57,90.00,41.91,3342.80,25.95,24.74,20.46,21.30
105,52.70,53.59,0.90,53.59,46.50,46.98,0.49,46.98,66.27,99.24,99.24,0.95,47.40,80.77,40.48,3336.79,27.28,25.40,19.89,22.78
106,50.77,51.93,1.16,51.93,45.46,46.19,0.73,46.19,128.59,102.86,128.59,0.97,48.91,79.49,37.91,3057.69,26.14,26.27,20.09,21.12
107,50.25,50.98,0.72,50.98,44.12,47.88,3.76,47.88,123.20,66.12,123.20,0.78,42.90,78.94,42.47,3603.78,21.81,28.81,22.87,20.38
108,54.90,51.82,3.08,54.90,47.90,45.24,2.66,47.90,150.49,132.21,150.49,0.30,55.01,89.76,43.00,3474.87,28.55,25.44,18.95,19.19
109,54.93,55.18,0.25,55.18,47.78,48.37,0.59,48.37,149.82,81.85,149.82,0.66,51.95,81.36,37.20,2940.36,28.24,29.21,19.50,19.66
110,55.99,49.40,6.59,55.99,47.37,45.88,1.49,47.37,117.88,67.81,117.88,0.51,55.86,90.00,42.52,3413.83,24.19,25.84,22.30,21.18
111,49.13,52.79,3.65,52.79,46.60,46.05,0.55,46.60,32.43,111.83,111.83,0.95,50.23,82.31,39.61,3208.00,27.10,27.36,20.50,18.23
112,53.37,56.48,3.11,56.48,48.16,47.61,0.55,48.16,136.37,254.13,254.13,0.64,54.33,86.81,40.63,3248.34,27.64,27.70,18.72,19.62
113,54.52,54.09,0.43,54.52,45.73,48.70,2.97,48.70,194.01,229.71,229.71,0.98,57.55,86.86,37.95,2931.66,27.24,29.01,19.73,19.17
114,51.82,52.21,0.39,52.21,46.37,44.88,1.49,46.37,210.18,95.33,210.18,0.23,56.47,90.00,42.00,3353.12,27.08,24.76,19.17,20.83
115,53.41,60.15,6.74,60.15,47.68,48.98,1.30,48.98,174.73,302.50,302.50,0.98,57.49,89.40,40.53,3190.91,28.87,29.33,19.63,19.02
116,56.31,49.94,6.37,56.31,48.41,45.67,2.75,48.41,180.18,45.56,180.18,0.91,60.41,90.00,38.65,2958.72,29.79,24.96,20.20,21.67
117,49.86,57.51,7.65,57.51,45.04,46.69,1.65,46.69,72.32,163.85,163.85,0.48,55.20,90.00,43.08,3479.69,26.35,26.41,19.15,20.28
118,56.65,55.35,1.30,56.65,46.37,45.14,1.23,46.37,289.22,139.37,289.22,0.93,49.64,83.09,40.89,3344.74,26.95,25.38,20.89,20.59
119,53.42,53.25,0.17,53.42,48.48,45.82,2.66,48.48,181.20,172.17,181.20,0.89,52.11,89.80,45.51,3769.03,27.24,23.43,20.09,22.27
120,54.29,56.29,1.99,56.29,47.72,47.61,0.12,47.72,108.67,247.36,247.36,0.95,56.89,88.92,40.56,3202.78,28.29,28.28,20.59,19.73
121,55.90,57.63,1.72,57.63,45.66,48.75,3.09,48.75,98.42,150.57,150.57,0.96,57.51,90.00,41.12,3249.20,26.68,27.46,20.03,20.11
122,57.10,54.45,2.65,57.10,46.30,46.17,0.12,46.30,200.33,240.65,240.65,0.97,56.14,88.78,41.06,3264.24,25.49,26.44,20.68,20.50
123,52.26,49.64,2.62,52.26,45.66,45.78,0.12,45.78,153.31,80.23,153.31,0.98,52.58,79.13,34.43,2654.55,26.50,27.78,20.66,19.30
124,53.79,54.81,1.02,54.81,47.41,47.17,0.24,47.41,193.58,108.54,193.58,0.39,49.13,83.71,41.95,3458.28,26.89,27.55,21.10,19.64
125,50.04,49.07,0.97,50.04,47.47,46.09,1.38,47.47,59.97,26.56,59.97,0.89,52.80,82.47,37.59,2966.80,28.56,26.03,19.74,20.37
126,48.13,56.14,8.00,56.14,45.75,49.81,4.06,49.81,9.86,114.72,114.72,0.98,51.66,79.97,36.06,2831.21,27.30,29.21,19.94,19.86
127,53.97,56.01,2.04,56.01,47.08,46.83,0.25,47.08,89.76,102.88,102.88,0.97,59.58,90.00,39.36,3042.47,28.09,27.41,19.65,20.44
128,61.07,51.16,9.92,61.07,48.70,43.97,4.73,48.70,266.79,132.39,266.79,0.92,47.87,81.52,40.83,3365.35,26.78,23.73,21.32,20.29
129,51.83,54.77,2.94,54.77,47.51,46.08,1.42,47.51,83.06,234.64,234.64,0.86,49.66,81.99,39.79,3233.76,28.37,26.12,19.23,19.99
130,53.28,51.22,2.06,53.28,47.15,46.16,0.99,47.15,124.08,152.85,152.85,0.97,56.68,90.00,41.82,3331.87,27.48,27.08,19.95,19.76
131,51.68,55.84,4.16,55.84,46.14,45.58,0.56,46.14,79.59,285.68,285.68,0.98,47.69,79.03,38.50,3134.88,25.67,26.26,21.65,19.92
132,54.93,59.45,4.52,59.45,45.86,48.83,2.97,48.83,148.95,196.32,196.32,0.93,55.80,87.91,40.48,3211.06,25.58,28.29,20.70,19.99
133,57.24,50.17,7.07,57.24,47.62,45.49,2.12,47.62,126.33,72.61,126.33,0.95,43.37,74.38,37.52,3101.13,27.88,26.58,20.42,19.55
134,67.79,54.25,13.54,67.79,45.08,47.20,2.12,47.20,538.85,134.58,538.85,0.48,52.38,90.00,45.48,3762.45,24.24,25.38,19.89,23.01
135,55.81,55.76,0.05,55.81,44.78,47.37,2.59,47.37,277.98,125.83,277.98,0.98,54.76,89.87,43.33,3511.57,25.43,27.58,20.05,20.38
136,48.32,52.38,4.06,52.38,46.26,46.12,0.14,46.26,63.92,72.82,72.82,0.90,53.33,82.32,37.00,2899.57,27.56,28.02,20.04,18.63
137,59.12,55.63,3.49,59.12,47.51,48.07,0.55,48.07,220.61,76.60,220.61,0.92,43.91,75.52,38.20,3161.30,27.66,29.46,20.86,19.23
138,51.86,49.51,2.34,51.86,45.81,46.89,1.08,46.89,235.65,58.00,235.65,0.99,43.49,73.64,36.67,3014.87,27.35,27.81,19.54,19.83
139,52.52,55.33,2.81,55.33,47.97,46.80,1.17,47.97,78.81,155.15,155.15,0.67,55.17,89.42,42.53,3425.37,28.92,25.48,19.69,20.95
140,48.71,56.06,7.35,56.06,46.38,48.27,1.89,48.27,56.22,170.89,170.89,0.97,46.65,80.45,40.79,3379.76,26.18,27.78,21.24,19.94
141,51.20,56.45,5.25,56.45,46.40,45.90,0.49,46.40,76.39,255.88,255.88,0.96,55.45,85.72,38.59,3026.99,26.88,25.81,20.56,20.36
142,55.59,58.79,3.20,58.79,46.51,47.57,1.06,47.57,67.21,215.95,215.95,0.98,57.84,90.00,40.84,3216.42,27.18,27.96,20.27,19.44
143,56.61,55.46,1.16,56.61,46.55,47.53,0.99,47.53,199.33,163.86,199.33,0.80,57.30,89.80,41.09,3249.88,27.71,28.53,20.12,19.48
144,49.59,51.93,2.34,51.93,46.28,46.59,0.31,46.59,99.82,71.55,99.82,0.95,59.54,90.00,39.39,3045.97,27.14,27.52,20.29,20.22
145,56.40,52.95,3.45,56.40,45.64,48.61,2.97,48.61,259.94,91.54,259.94,0.90,46.56,77.83,38.26,3127.57,25.48,28.96,20.64,20.92
146,51.91,56.54,4.63,56.54,46.84,48.22,1.38,48.22,155.54,133.24,155.54,0.61,52.70,88.78,43.99,3608.25,25.91,26.75,21.67,20.49
147,57.26,50.99,6.27,57.26,48.88,46.79,2.10,48.88,189.15,85.34,189.15,0.70,44.81,78.30,40.22,3349.45,28.27,26.93,20.99,20.13
148,52.20,51.26,0.95,52.20,47.26,46.68,0.57,47.26,89.49,119.74,119.74,0.96,57.73,90.00,40.93,3227.23,27.40,26.76,21.45,19.47
149,57.55,52.54,5.01,57.55,48.03,46.31,1.73,48.03,94.33,143.06,143.06,0.97,51.17,84.61,41.12,3344.32,24.38,27.66,22.98,20.46
150,57.77,50.78,6.99,57.77,47.84,45.75,2.09,47.84,271.76,93.97,271.76,0.58,55.52,87.48,40.28,3195.42,29.53,25.60,18.03,20.24
151,53.16,54.00,0.84,54.00,46.11,46.11,0.00,46.11,122.57,133.96,133.96,0.98,59.82,90.00,39.16,3018.46,25.92,26.22,21.12,20.37
152,55.17,59.13,3.96,59.13,47.19,48.94,1.75,48.94,141.08,194.98,194.98,0.82,58.18,90.00,40.55,3182.10,28.08,29.72,18.23,19.95
153,55.73,58.27,2.54,58.27,47.56,46.72,0.84,47.56,156.77,425.11,425.11,0.87,56.47,90.00,42.00,3353.07,27.06,26.89,20.81,20.75
154,51.60,56.62,5.02,56.62,46.78,48.60,1.82,48.60,77.37,128.53,128.53,0.96,59.04,90.00,39.82,3096.11,28.35,27.47,19.71,20.53
155,50.63,60.16,9.53,60.16,47.68,46.46,1.22,47.68,39.00,401.91,401.91,0.97,60.67,90.00,38.43,2932.64,29.43,27.14,19.68,19.13
156,55.98,50.54,5.44,55.98,47.78,46.59,1.18,47.78,156.97,146.36,156.97,0.59,46.95,81.81,41.90,3485.76,25.17,26.29,21.46,20.87
157,52.84,50.41,2.43,52.84,46.85,47.36,0.51,47.36,192.91,22.91,192.91,0.95,54.46,81.90,35.61,2744.57,28.13,28.96,20.12,19.44
158,49.56,55.66,6.11,55.66,45.99,46.77,0.77,46.77,45.08,153.08,153.08,0.93,56.76,90.00,41.76,3324.24,27.79,25.95,19.71,20.26
159,49.12,56.77,7.65,56.77,45.94,47.19,1.24,47.19,61.94,103.04,103.04,0.85,47.15,78.68,38.60,3152.78,27.19,27.93,19.71,19.07
160,51.80,56.11,4.31,56.11,49.03,47.63,1.40,49.03,27.27,214.87,214.87,0.81,59.82,90.00,39.16,3018.33,29.56,28.27,20.53,20.45
161,57.28,53.63,3.64,57.28,48.00,46.38,1.63,48.00,294.66,115.33,294.66,0.95,54.47,86.63,40.33,3215.52,27.69,26.65,20.62,20.24
162,52.53,58.46,5.93,58.46,48.50,46.15,2.35,48.50,95.46,269.43,269.43,0.83,55.23,87.55,40.60,3231.27,28.88,26.98,20.22,19.66
163,51.66,52.86,1.20,52.86,44.55,47.10,2.55,47.10,274.28,81.19,274.28,0.97,56.29,90.00,42.15,3370.64,25.21,26.51,20.19,20.72
164,52.90,58.19,5.28,58.19,45.17,45.19,0.03,45.19,110.51,159.91,159.91,0.39,53.06,90.00,44.90,3693.90,25.13,22.49,20.24,21.85
