,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
165,4.43,4.99,0.56,0.01,3.32,9.11,5.96,0.94,0.90,-4.04,-3.95
166,4.20,4.41,0.21,0.00,2.20,8.67,6.58,0.98,0.92,-4.08,-3.71
167,5.11,5.18,0.08,0.00,2.42,6.85,4.55,0.94,0.89,-4.94,-4.51
168,5.43,4.91,0.52,0.00,2.91,7.56,4.80,0.96,0.91,-5.00,-4.51
169,4.62,4.54,0.09,0.00,3.28,8.94,5.83,0.94,0.92,-4.29,-4.08
170,4.85,5.06,0.21,0.00,2.95,8.00,5.20,0.91,0.93,-4.19,-4.49
171,5.34,5.20,0.15,0.00,3.29,7.77,4.64,0.93,0.87,-4.89,-4.32
172,5.80,5.58,0.22,0.01,3.20,6.52,3.48,0.86,0.88,-4.81,-4.96
173,4.20,4.11,0.10,0.00,3.32,10.21,7.06,0.90,0.94,-3.48,-3.72
174,4.76,4.87,0.11,0.00,2.74,8.38,5.77,0.87,0.92,-3.67,-4.15
175,4.29,4.51,0.22,0.00,3.02,8.95,6.08,0.95,0.89,-4.07,-3.82
176,4.67,4.65,0.02,0.00,3.37,9.22,6.02,0.92,0.94,-3.99,-4.31
177,5.78,5.35,0.43,0.02,2.20,5.78,3.69,0.88,0.91,-4.90,-5.26
178,4.93,4.97,0.04,0.00,3.23,8.60,5.53,0.90,0.86,-4.15,-3.85
179,4.67,4.76,0.10,0.01,2.97,8.47,5.64,0.90,0.98,-4.04,-4.68
180,5.18,5.21,0.04,0.00,3.23,7.87,4.80,0.93,0.91,-4.63,-4.60
181,4.85,4.94,0.09,0.01,2.98,7.85,5.02,0.95,0.92,-4.73,-4.58
182,5.25,4.95,0.30,0.00,3.51,8.00,4.66,0.90,0.90,-4.67,-4.59
183,4.69,4.73,0.04,0.00,3.51,9.34,6.01,0.94,0.85,-4.35,-3.58
184,4.89,5.12,0.23,0.00,2.51,7.25,4.87,0.83,0.88,-3.87,-4.32
185,5.26,4.99,0.27,0.00,3.36,8.00,4.81,0.90,0.84,-4.59,-4.09
186,5.61,5.81,0.19,0.05,3.69,7.34,3.84,0.85,0.83,-4.67,-4.60
187,4.67,4.63,0.04,0.00,2.95,8.96,6.16,0.89,0.97,-3.84,-4.56
188,5.44,5.27,0.17,0.00,3.90,8.00,4.29,0.88,0.89,-4.60,-4.58
189,4.76,4.48,0.28,0.00,2.64,8.29,5.79,0.92,0.92,-4.17,-4.25
190,4.87,5.18,0.31,0.00,3.62,8.57,5.13,0.95,0.93,-4.56,-4.51
191,5.67,5.92,0.24,0.15,2.53,5.59,3.20,0.83,0.83,-4.90,-4.95
192,4.39,4.52,0.13,0.00,3.12,9.45,6.49,0.89,0.90,-3.54,-3.72
193,4.37,4.73,0.36,0.00,2.60,8.43,5.96,0.91,0.92,-3.97,-4.15
194,5.42,5.21,0.21,0.02,3.14,7.81,4.83,0.86,0.95,-4.23,-5.07
195,4.50,4.73,0.23,0.00,2.41,8.26,5.97,0.93,0.91,-3.99,-4.01
196,5.83,5.82,0.00,0.03,2.55,6.11,3.69,0.88,0.90,-4.97,-5.31
197,4.99,5.22,0.23,0.00,2.64,7.50,5.00,0.94,0.91,-4.67,-4.61
198,4.88,4.98,0.09,0.00,2.89,8.04,5.29,0.93,0.91,-4.67,-4.60
199,5.12,5.03,0.09,0.00,2.69,7.38,4.83,0.89,0.89,-4.38,-4.50
200,5.31,5.20,0.11,0.01,2.93,7.51,4.73,0.90,0.89,-4.57,-4.58
201,4.57,4.41,0.16,0.00,2.46,8.51,6.18,0.93,0.92,-4.09,-3.96
202,5.24,5.14,0.10,0.01,2.80,7.45,4.80,0.90,0.91,-4.55,-4.63
203,4.98,5.12,0.14,0.01,2.33,7.31,5.09,0.86,0.86,-4.00,-4.13
204,4.61,4.67,0.06,0.00,3.22,9.16,6.11,0.94,0.97,-4.08,-4.46
205,5.41,5.10,0.30,0.00,2.68,7.05,4.51,0.89,0.93,-4.55,-4.81
206,4.56,4.42,0.15,0.00,3.05,9.04,6.14,0.92,0.98,-3.92,-4.19
207,4.41,4.31,0.10,0.00,2.97,9.34,6.52,0.96,0.92,-4.13,-3.82
208,5.44,5.21,0.23,0.02,3.08,7.13,4.21,0.90,0.88,-4.87,-4.62
209,5.12,5.21,0.09,0.02,2.56,7.14,4.71,0.93,0.84,-4.71,-4.07
210,5.85,6.01,0.17,0.08,3.02,6.13,3.26,0.83,0.82,-4.90,-4.84
211,5.06,5.32,0.26,0.01,2.12,6.62,4.61,0.89,0.91,-4.44,-4.58
212,5.10,5.25,0.15,0.02,2.61,7.37,4.89,0.93,0.92,-4.75,-4.67
213,4.67,4.57,0.11,0.00,2.69,8.57,6.01,0.98,0.95,-4.52,-4.46
214,5.18,5.27,0.09,0.01,3.12,7.78,4.82,0.89,0.90,-4.49,-4.53
215,4.96,5.05,0.10,0.00,2.94,8.02,5.23,0.89,0.93,-4.42,-4.60
216,4.51,4.46,0.06,0.00,2.55,8.61,6.19,0.92,0.93,-4.06,-4.01
217,4.79,4.38,0.42,0.00,2.88,8.40,5.67,0.90,0.92,-3.97,-4.07
218,4.83,4.72,0.11,0.00,3.97,9.29,5.51,0.91,0.93,-4.36,-4.36
219,4.69,5.01,0.31,0.01,2.67,8.35,5.81,0.95,0.91,-4.29,-4.14
220,4.62,4.61,0.02,0.00,2.85,8.64,5.94,0.95,0.93,-4.35,-4.17
221,4.40,4.55,0.15,0.00,3.19,9.33,6.30,0.90,0.85,-3.65,-3.32
222,5.09,5.08,0.01,0.00,3.14,7.63,4.65,0.91,0.91,-4.62,-4.68
223,4.69,4.79,0.10,0.00,3.15,9.22,6.23,0.94,0.96,-4.15,-4.39
224,5.25,5.09,0.16,0.01,2.69,7.40,4.85,0.88,0.86,-4.45,-4.18
225,5.10,4.84,0.26,0.00,2.84,7.83,5.13,0.91,0.90,-4.46,-4.40
226,5.95,6.19,0.24,0.14,2.84,5.82,3.13,0.88,0.84,-5.23,-4.94
227,5.17,5.02,0.14,0.00,2.72,7.49,4.91,0.90,0.89,-4.60,-4.29
228,4.26,4.41,0.15,0.00,3.79,10.16,6.56,0.90,0.94,-3.59,-3.95
229,4.89,4.79,0.10,0.01,2.94,8.14,5.34,0.95,0.89,-4.60,-4.10
230,4.29,4.57,0.28,0.00,4.10,10.40,6.50,0.93,0.95,-3.76,-4.06
231,5.20,5.37,0.17,0.01,3.13,8.00,5.03,0.94,0.88,-4.75,-4.34
232,4.55,4.70,0.15,0.00,2.48,8.21,5.85,0.90,0.94,-4.00,-4.30
233,4.87,4.76,0.11,0.00,2.86,7.74,5.02,0.92,0.99,-4.49,-4.99
234,4.76,4.99,0.23,0.00,2.70,8.03,5.47,0.89,0.93,-4.09,-4.42
235,5.25,5.44,0.19,0.01,2.19,6.58,4.50,0.90,0.88,-4.70,-4.37
236,5.25,5.20,0.04,0.00,3.31,7.90,4.76,0.93,0.88,-4.72,-4.22
237,4.35,4.35,0.00,0.00,2.64,8.49,5.98,0.95,0.88,-4.13,-3.58
238,4.16,4.73,0.57,0.01,2.97,9.07,6.24,0.94,0.89,-3.95,-3.75
239,5.44,5.52,0.08,0.01,3.27,7.60,4.50,0.93,0.95,-4.98,-5.23
240,4.18,4.25,0.07,0.01,2.53,9.15,6.74,0.93,0.89,-3.77,-3.41
241,5.13,5.32,0.19,0.00,2.80,7.50,4.84,0.90,0.89,-4.48,-4.44
242,4.55,4.35,0.20,0.01,2.27,8.41,6.25,0.93,0.82,-3.88,-3.06
243,5.20,5.02,0.18,0.02,3.42,7.99,4.74,0.88,0.95,-4.35,-4.85
244,4.84,4.97,0.12,0.00,2.55,7.13,4.71,0.91,0.94,-4.50,-4.80
245,5.34,5.04,0.30,0.00,2.60,7.42,4.95,0.90,0.91,-4.44,-4.62
246,4.79,4.92,0.13,0.00,3.18,8.39,5.36,0.90,0.92,-4.14,-4.34
247,5.57,5.59,0.02,0.00,3.30,7.00,3.86,0.83,0.83,-4.35,-4.50
248,5.17,5.40,0.22,0.04,2.89,7.15,4.40,0.89,0.86,-4.59,-4.34
249,5.17,4.99,0.18,0.00,2.11,7.10,5.09,0.88,0.86,-4.34,-4.12
250,5.36,5.20,0.16,0.01,3.44,8.00,4.73,0.89,0.92,-4.40,-4.62
251,5.53,5.45,0.08,0.01,3.14,7.60,4.62,0.87,0.92,-4.58,-4.80
252,4.95,5.26,0.31,0.02,3.72,8.50,4.97,0.89,0.91,-4.35,-4.55
253,5.01,4.91,0.10,0.00,3.16,8.07,5.07,0.91,0.91,-4.50,-4.51
254,5.00,4.98,0.02,0.00,3.15,7.89,4.90,0.91,0.89,-4.48,-4.37
255,5.28,5.11,0.17,0.00,3.56,8.03,4.64,0.89,0.86,-4.54,-4.29
256,5.93,5.64,0.29,0.02,3.68,7.14,3.64,0.87,0.84,-5.16,-4.85
257,5.31,5.26,0.05,0.03,2.27,6.80,4.65,0.87,0.90,-4.34,-4.58
258,4.87,5.15,0.27,0.00,3.35,8.00,4.82,0.93,0.94,-4.80,-4.82
259,5.14,5.28,0.14,0.01,2.28,6.48,4.32,0.88,0.86,-4.63,-4.44
260,5.32,5.60,0.27,0.01,2.71,6.70,4.13,0.92,0.88,-4.92,-4.79
261,5.06,5.16,0.10,0.02,1.77,6.39,4.70,0.88,0.88,-4.38,-4.38
262,5.36,5.46,0.09,0.01,3.89,8.00,4.31,0.91,0.92,-4.83,-4.86
263,5.28,5.52,0.25,0.04,2.68,6.61,4.06,0.87,0.89,-4.56,-4.78
264,5.43,5.30,0.12,0.02,2.69,6.98,4.43,0.88,0.87,-4.78,-4.59
265,4.53,4.59,0.05,0.00,2.01,7.67,5.76,0.92,0.97,-4.06,-4.47
266,5.14,5.01,0.13,0.02,2.59,7.11,4.65,0.86,0.93,-4.33,-4.69
267,5.87,5.99,0.12,0.11,2.97,6.03,3.20,0.85,0.80,-5.02,-4.62
268,4.84,5.31,0.48,0.04,3.00,8.00,5.15,0.93,0.89,-4.72,-4.44
269,4.17,4.57,0.40,0.00,3.20,9.37,6.33,0.96,0.98,-4.16,-4.52
270,5.00,4.69,0.31,0.00,2.96,7.87,5.05,0.95,0.90,-4.83,-4.30
271,4.41,4.27,0.13,0.00,3.09,9.19,6.25,0.95,0.92,-4.05,-3.75
272,5.02,4.83,0.19,0.01,2.40,7.25,4.97,0.89,0.87,-4.26,-4.12
273,4.22,4.43,0.21,0.00,2.32,8.53,6.33,0.91,0.91,-3.65,-3.66
274,4.79,5.10,0.31,0.00,2.66,7.64,5.12,0.86,0.93,-3.93,-4.52
275,4.28,4.23,0.05,0.01,3.83,10.11,6.47,0.97,0.97,-4.14,-4.11
276,4.31,4.38,0.07,0.00,2.25,8.56,6.43,0.91,0.94,-3.88,-4.01
277,5.05,5.38,0.33,0.02,3.27,8.00,4.89,0.92,0.90,-4.70,-4.63
278,4.59,4.59,0.00,0.00,3.50,9.44,6.12,0.94,0.96,-4.19,-4.23
279,4.79,4.97,0.18,0.01,2.77,8.34,5.71,0.92,0.92,-4.37,-4.22
280,5.57,5.72,0.15,0.07,3.22,6.90,3.84,0.88,0.88,-4.75,-4.83
281,5.23,5.34,0.11,0.00,3.60,8.04,4.62,0.86,0.89,-4.29,-4.64
282,4.74,4.52,0.22,0.00,3.64,9.44,5.99,0.90,0.94,-3.86,-4.15
283,4.90,5.01,0.11,0.00,3.24,7.98,4.90,0.91,0.91,-4.36,-4.46
284,4.88,5.24,0.36,0.00,2.59,7.65,5.19,0.87,0.91,-4.18,-4.41
285,5.10,4.81,0.29,0.00,2.64,7.88,5.37,0.91,0.88,-4.30,-4.10
286,4.74,5.21,0.47,0.01,3.19,8.00,4.97,0.90,0.90,-4.39,-4.59
287,5.64,6.13,0.48,0.04,4.05,7.13,3.28,0.85,0.82,-4.86,-4.86
