Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
17031,-87.8168,41.8401,616,1927-11,5.16,35.6,52.2,33.9,1.1,6.38
17031,-87.8168,41.8401,616,1927-12,3.2,19.6,35.9,18.6,0.65,3.28
17031,-87.8168,41.8401,616,1928-01,1.03,18.6,33.1,17.3,0.73,2.72
17031,-87.8168,41.8401,616,1928-02,1.62,23.2,38.1,21.6,0.86,3.46
17031,-87.8168,41.8401,616,1928-03,1.48,28.2,45.8,25.2,1.13,5.35
17031,-87.8168,41.8401,616,1928-04,2.26,34.9,55,29.8,1.57,8.42
17031,-87.8168,41.8401,616,1928-05,1.89,47.4,71.5,42.5,2.36,16.54
17031,-87.8168,41.8401,616,1928-06,5.64,53.7,74.3,51.1,1.8,15.27
17031,-87.8168,41.8401,616,1928-07,4.07,64.6,84.8,60.4,3.43,22.53
17031,-87.8168,41.8401,616,1928-08,5.11,64.1,84.3,60.7,3.19,21.98
17031,-87.8168,41.8401,616,1928-09,2.4,51.1,73.5,47.8,2.08,16.5
17031,-87.8168,41.8401,616,1928-10,3.37,47.3,65.6,44.5,1.75,11.23
17031,-87.8168,41.8401,616,1928-11,4.09,35,48.3,32.6,1.1,4.86
17031,-87.8168,41.8401,616,1928-12,2.59,24.7,38.2,23.3,0.74,3.13
,,,,,,,,,,
29189,-90.4434,38.6407,605,1925-01,0.79,22.7,41.2,20.8,0.82,4.48
29189,-90.4434,38.6407,605,1925-02,1.79,31.7,51.2,29,1.12,6.95
29189,-90.4434,38.6407,605,1925-03,2.42,36.8,61.3,33.1,1.45,11.36
29189,-90.4434,38.6407,605,1925-04,2.55,51.5,74.5,46.3,2.65,17.88
29189,-90.4434,38.6407,605,1925-05,1.72,50.7,75,46.8,2.12,17.92
29189,-90.4434,38.6407,605,1925-06,6.13,68,88.9,63.9,3.62,26.33
29189,-90.4434,38.6407,605,1925-07,2.94,68.7,89,64.9,3.41,25.58
29189,-90.4434,38.6407,605,1925-08,2.88,66,89.5,62.8,2.77,27.68
29189,-90.4434,38.6407,605,1925-09,3.78,67.2,87.1,63.1,3.45,24.12
29189,-90.4434,38.6407,605,1925-10,4.83,43.3,57.5,43.3,0.79,6.44
29189,-90.4434,38.6407,605,1925-11,3.85,33.8,53.1,31.7,1.04,7.21
29189,-90.4434,38.6407,605,1925-12,1.44,24.1,41.9,22.4,0.81,4.54
29189,-90.4434,38.6407,605,1926-01,1.54,26,43.1,23.9,0.87,4.65
29189,-90.4434,38.6407,605,1926-02,2.74,31.6,49.3,29.5,1.04,5.97
29189,-90.4434,38.6407,605,1926-03,3.18,30.9,48.8,28.7,1.06,6.01
29189,-90.4434,38.6407,605,1926-04,2.97,40,61.5,36,1.62,10.68
29189,-90.4434,38.6407,605,1926-05,2.18,56.3,80.2,52.5,2.5,21.19
29189,-90.4434,38.6407,605,1926-06,2.65,60.9,83.1,57.5,2.56,22.26
29189,-90.4434,38.6407,605,1926-07,1.64,69.5,92,64.6,4.17,30.58
29189,-90.4434,38.6407,605,1926-08,4.33,69.5,90,66.2,3.06,25.89
29189,-90.4434,38.6407,605,1926-09,8.45,63.7,79.8,62.7,1.44,15.18
29189,-90.4434,38.6407,605,1926-10,5.38,49.8,67.8,48.6,1.21,11.26
29189,-90.4434,38.6407,605,1926-11,3.39,31.6,49.5,29.9,0.96,5.99
29189,-90.4434,38.6407,605,1926-12,1.48,25.5,41.5,24.1,0.8,4.18
29189,-90.4434,38.6407,605,1927-01,3.01,23.3,39.3,22.5,0.72,3.66
29189,-90.4434,38.6407,605,1927-02,0.63,33.5,52.8,30.4,1.25,7.42
29189,-90.4434,38.6407,605,1927-03,5.68,38.8,57,36.8,1.18,7.9
29189,-90.4434,38.6407,605,1927-04,8.26,49.2,66.5,46.3,1.75,10.98
29189,-90.4434,38.6407,605,1927-05,8.44,55.8,74.1,53.7,1.7,14.16
29189,-90.4434,38.6407,605,1927-06,3.43,62.1,80.4,59.9,2.04,17.36
29189,-90.4434,38.6407,605,1927-07,3.27,67,87.6,63.9,2.86,24.24
29189,-90.4434,38.6407,605,1927-08,3.47,62,82,61.1,1.28,18.58
29189,-90.4434,38.6407,605,1927-09,3.62,64,85.5,60.1,3.04,23.84
29189,-90.4434,38.6407,605,1927-10,3.87,50.9,74.4,47.7,1.88,17.24
29189,-90.4434,38.6407,605,1927-11,5.59,39.2,58.7,37.5,1.12,8.8
29189,-90.4434,38.6407,605,1927-12,2.88,22.6,42.5,22.1,0.7,4.83
29189,-90.4434,38.6407,605,1928-01,1.58,25,43.4,23.3,0.83,4.85
29189,-90.4434,38.6407,605,1928-02,2.06,28.9,46.5,27,0.96,5.34
29189,-90.4434,38.6407,605,1928-03,1.8,35.6,57.2,31.6,1.49,9.36
29189,-90.4434,38.6407,605,1928-04,4.01,42.4,63.3,38.3,1.72,11.35
29189,-90.4434,38.6407,605,1928-05,2.92,55.4,78,51.9,2.32,18.94
29189,-90.4434,38.6407,605,1928-06,9.25,60.5,77.6,60.5,0.99,14.14
29189,-90.4434,38.6407,605,1928-07,2.98,69.7,89,66,3.41,24.8
29189,-90.4434,38.6407,605,1928-08,4.02,68.6,87.5,65.8,2.69,22.52
29189,-90.4434,38.6407,605,1928-09,1.46,55.5,78.2,53.2,1.75,18.75
29189,-90.4434,38.6407,605,1928-10,2.86,52.5,72.1,50,1.73,14.26
29189,-90.4434,38.6407,605,1928-11,2.13,38.4,53.8,35.9,1.21,6.57
29189,-90.4434,38.6407,605,1928-12,2.13,29.6,47.3,28.2,0.86,5.46
,,,,,,,,,,
18097,-86.1385,39.7817,734,1925-01,0.59,19.3,37.6,19.2,0.73,3.51
18097,-86.1385,39.7817,734,1925-02,1.45,28.9,48.9,27.7,0.95,6.02
18097,-86.1385,39.7817,734,1925-03,3.69,32.2,56.8,30.1,1.14,9.26
18097,-86.1385,39.7817,734,1925-04,2.5,45.1,72,41.9,1.75,16.86
18097,-86.1385,39.7817,734,1925-05,1.34,45,73.3,42.1,1.68,17.76
18097,-86.1385,39.7817,734,1925-06,5.16,63.6,87.6,60.9,2.6,25.91
18097,-86.1385,39.7817,734,1925-07,5.28,63.7,87,62.2,1.86,24.24
18097,-86.1385,39.7817,734,1925-08,2.43,62.1,87.1,60.3,1.92,25.31
18097,-86.1385,39.7817,734,1925-09,5.75,62.9,85.3,61.5,1.83,22.33
18097,-86.1385,39.7817,734,1925-10,3.82,40,54.9,39.9,0.89,5.87
18097,-86.1385,39.7817,734,1925-11,4.55,31.5,50.6,31,0.89,6.06
18097,-86.1385,39.7817,734,1925-12,1.22,20.6,37.1,21,0.69,3.15
18097,-86.1385,39.7817,734,1926-01,2.08,20.1,36.9,20.6,0.69,3.15
18097,-86.1385,39.7817,734,1926-02,2.72,27.5,43,26.4,0.91,4.02
18097,-86.1385,39.7817,734,1926-03,3.14,25.4,44.4,24.1,0.92,4.95
18097,-86.1385,39.7817,734,1926-04,4.18,36.1,57.6,33.5,1.3,8.84
18097,-86.1385,39.7817,734,1926-05,3.5,51.2,77.8,48.1,2.03,20.27
18097,-86.1385,39.7817,734,1926-06,2.39,56.3,81.1,53.8,2,21.19
18097,-86.1385,39.7817,734,1926-07,3.28,64.3,89.7,61.9,2.35,28.14
18097,-86.1385,39.7817,734,1926-08,8.17,67,86.4,66.7,1.3,20.11
18097,-86.1385,39.7817,734,1926-09,11.15,59.9,78,60.4,0.84,14.3
18097,-86.1385,39.7817,734,1926-10,4.14,46.4,64.7,46.2,0.99,9.62
18097,-86.1385,39.7817,734,1926-11,1.57,31.1,48.2,30.1,0.94,5.25
18097,-86.1385,39.7817,734,1926-12,1.75,22.8,36.5,22.7,0.76,2.69
18097,-86.1385,39.7817,734,1927-01,2.89,20,35.8,20.6,0.68,2.86
18097,-86.1385,39.7817,734,1927-02,1.8,30.2,48.8,29,0.98,5.76
18097,-86.1385,39.7817,734,1927-03,5.02,35.9,53.9,34.4,1.11,6.79
18097,-86.1385,39.7817,734,1927-04,5.73,43.4,63.5,41.7,1.29,10.29
18097,-86.1385,39.7817,734,1927-05,6.91,52.6,71.9,51.3,1.41,13.04
18097,-86.1385,39.7817,734,1927-06,3.57,57,78.7,55.9,1.46,17.51
18097,-86.1385,39.7817,734,1927-07,3.39,63.3,86.7,61.6,1.99,24.17
18097,-86.1385,39.7817,734,1927-08,3.16,57.2,79.8,58,0.71,17.68
18097,-86.1385,39.7817,734,1927-09,4.42,60.5,83.4,58.8,1.84,21.43
18097,-86.1385,39.7817,734,1927-10,2.68,46.6,71.9,46,1.08,15.27
18097,-86.1385,39.7817,734,1927-11,5.03,38.2,56.7,38,0.93,7.36
18097,-86.1385,39.7817,734,1927-12,3.31,23.3,40.9,23.5,0.71,3.89
18097,-86.1385,39.7817,734,1928-01,1.73,20.3,37.8,20.7,0.7,3.38
18097,-86.1385,39.7817,734,1928-02,2.95,24.7,39.8,24.2,0.81,3.41
18097,-86.1385,39.7817,734,1928-03,2.13,30,49.9,28,1.09,6.36
18097,-86.1385,39.7817,734,1928-04,2.46,38.2,60,35.5,1.36,9.79
18097,-86.1385,39.7817,734,1928-05,2.75,49.4,73.9,47.6,1.56,16.56
18097,-86.1385,39.7817,734,1928-06,7.4,57.4,76.1,58.1,0.74,13.65
18097,-86.1385,39.7817,734,1928-07,3.9,64.2,86.8,63.2,1.64,23.18
18097,-86.1385,39.7817,734,1928-08,3.19,64.3,87.3,63.4,1.58,23.64
18097,-86.1385,39.7817,734,1928-09,1.36,51.6,75.7,51.2,1.14,16.79
18097,-86.1385,39.7817,734,1928-10,3.64,48.9,69.1,48.4,1.08,12.07
18097,-86.1385,39.7817,734,1928-11,2.95,35.7,51.5,35.2,0.93,5.5
18097,-86.1385,39.7817,734,1928-12,2.09,26.8,43.3,26.6,0.78,4.11
,,,,,,,,,,
17043,-88.0856,41.852,756,1925-01,0.77,12.6,30.9,13.9,0.56,2.53
17043,-88.0856,41.852,756,1925-02,1.83,21.3,39.5,22.2,0.6,3.76
17043,-88.0856,41.852,756,1925-03,1.55,27.6,50.9,26.8,0.84,7.26
17043,-88.0856,41.852,756,1925-04,3.49,40.5,67.2,38,1.39,14.75
17043,-88.0856,41.852,756,1925-05,1.38,41.4,69.7,38.4,1.57,16.13
17043,-88.0856,41.852,756,1925-06,5.16,58.4,83.7,56.9,1.73,22.81
17043,-88.0856,41.852,756,1925-07,3.37,60.9,85.1,60.4,1.17,22.89
17043,-88.0856,41.852,756,1925-08,1.63,59.8,85.8,59.4,1.09,24.58
17043,-88.0856,41.852,756,1925-09,4.65,59.4,80.3,59.1,1.22,18.02
17043,-88.0856,41.852,756,1925-10,3.09,34.7,51.3,35.7,0.67,5.46
17043,-88.0856,41.852,756,1925-11,2.43,27.4,45.8,27.5,0.77,4.98
17043,-88.0856,41.852,756,1925-12,1.14,14.2,30.3,15.8,0.56,2.23
17043,-88.0856,41.852,756,1926-01,1.47,16.2,33.9,17,0.6,2.9
17043,-88.0856,41.852,756,1926-02,2.41,23.7,36.5,23.8,0.72,2.61
17043,-88.0856,41.852,756,1926-03,2.05,21,39.2,21.5,0.65,3.76
17043,-88.0856,41.852,756,1926-04,2.53,31.3,53.7,29,1.19,8.09
17043,-88.0856,41.852,756,1926-05,2.75,46.2,73.9,44,1.55,18.29
17043,-88.0856,41.852,756,1926-06,4.63,51.9,76.5,51.3,1.07,17.76
17043,-88.0856,41.852,756,1926-07,4.6,60.8,83.8,60.5,1.01,21.1
17043,-88.0856,41.852,756,1926-08,2.84,62.4,83.2,62.4,1.02,19.45
17043,-88.0856,41.852,756,1926-09,7.71,55.2,72.3,56.8,0.51,11.02
17043,-88.0856,41.852,756,1926-10,2.25,41.4,60.1,41.9,0.81,8.37
17043,-88.0856,41.852,756,1926-11,4.57,26.9,43.1,27.3,0.72,3.99
17043,-88.0856,41.852,756,1926-12,0.93,17.3,32,17.8,0.64,2.35
17043,-88.0856,41.852,756,1927-01,1.54,14.4,30.3,15.5,0.63,2.25
17043,-88.0856,41.852,756,1927-02,1.65,25.5,41.4,25.2,0.78,3.9
17043,-88.0856,41.852,756,1927-03,2.34,31.4,50.2,30.3,0.98,6.19
17043,-88.0856,41.852,756,1927-04,6.7,38.4,58.1,37.6,1.1,8.33
17043,-88.0856,41.852,756,1927-05,5.14,46.3,67.3,45.1,1.3,11.95
17043,-88.0856,41.852,756,1927-06,3.2,52.9,76.7,51.9,1.3,17.63
17043,-88.0856,41.852,756,1927-07,2.11,59.8,84.9,59.4,1.19,23.56
17043,-88.0856,41.852,756,1927-08,2.11,54.6,79.6,56,0.41,18.92
17043,-88.0856,41.852,756,1927-09,6,56.6,79.9,56.8,0.96,18.78
17043,-88.0856,41.852,756,1927-10,3.46,44.8,67.9,44.5,0.95,12.91
17043,-88.0856,41.852,756,1927-11,5.1,33.4,51.5,33.8,0.83,6.04
17043,-88.0856,41.852,756,1927-12,2.83,16.8,34.8,18,0.59,3.06
17043,-88.0856,41.852,756,1928-01,0.72,16.7,32.8,17.4,0.64,2.61
17043,-88.0856,41.852,756,1928-02,1.77,21.4,38,21.5,0.69,3.41
17043,-88.0856,41.852,756,1928-03,1.53,26.4,46.7,25.4,0.86,5.63
17043,-88.0856,41.852,756,1928-04,2.68,33,56.3,30.3,1.23,9.01
17043,-88.0856,41.852,756,1928-05,1.85,45.6,73.3,43,1.63,17.83
17043,-88.0856,41.852,756,1928-06,5.19,52,75.7,51.8,1.03,16.11
17043,-88.0856,41.852,756,1928-07,4.48,62,85.2,61.7,1.15,22.13
17043,-88.0856,41.852,756,1928-08,4.81,61.2,84.7,61.6,0.86,21.7
17043,-88.0856,41.852,756,1928-09,2.17,47.5,73.6,48.4,0.66,16.24
17043,-88.0856,41.852,756,1928-10,3.52,43.9,65.4,44.5,0.71,11.04
17043,-88.0856,41.852,756,1928-11,4.43,33,48.1,32.9,0.87,4.68
17043,-88.0856,41.852,756,1928-12,2.45,22.4,38,23.1,0.69,3.1
,,,,,,,,,,
17097,-88.0037,42.3233,790,1925-01,0.7,11.9,29.9,12.9,0.59,2.46
17097,-88.0037,42.3233,790,1925-02,1.79,19.6,37.3,20.9,0.56,3.33
17097,-88.0037,42.3233,790,1925-03,1.99,26.4,48.3,25.4,0.87,6.54
17097,-88.0037,42.3233,790,1925-04,3.35,39.4,64.4,36.8,1.35,13.17
17097,-88.0037,42.3233,790,1925-05,1.35,41,66.9,37.1,1.77,14.42
17097,-88.0037,42.3233,790,1925-06,3.41,57.6,80.9,55.9,1.79,20.31
17097,-88.0037,42.3233,790,1925-07,4.38,60.2,82.8,59.5,1.27,20.61
17097,-88.0037,42.3233,790,1925-08,2.02,59.9,83.2,59.1,1.26,20.9
17097,-88.0037,42.3233,790,1925-09,5.19,58.8,77.8,59,0.98,15.29
17097,-88.0037,42.3233,790,1925-10,3.77,34.4,49.1,35.5,0.67,4.57
17097,-88.0037,42.3233,790,1925-11,1.48,26.7,44.7,26.9,0.78,4.7
17097,-88.0037,42.3233,790,1925-12,1.39,13.1,29.3,14.9,0.55,2.11
17097,-88.0037,42.3233,790,1926-01,1.08,14.6,32.5,15.7,0.58,2.74
17097,-88.0037,42.3233,790,1926-02,2.79,22.1,34.8,22.5,0.7,2.38
17097,-88.0037,42.3233,790,1926-03,2.63,19.6,36.7,19.9,0.68,3.29
17097,-88.0037,42.3233,790,1926-04,1.83,30.6,51.9,27.6,1.24,7.59
17097,-88.0037,42.3233,790,1926-05,3.31,45.3,70.9,42.7,1.64,16.11
17097,-88.0037,42.3233,790,1926-06,4.24,51.2,73.8,50.4,1.12,15.66
17097,-88.0037,42.3233,790,1926-07,3.7,60,81.9,59.6,1.06,19.34
17097,-88.0037,42.3233,790,1926-08,2.4,61.5,81.2,61.9,0.79,17.18
17097,-88.0037,42.3233,790,1926-09,7.34,54.5,70.4,56.3,0.41,9.67
17097,-88.0037,42.3233,790,1926-10,2.37,40.9,58.4,41.6,0.76,7.44
17097,-88.0037,42.3233,790,1926-11,4.09,25.9,41.5,26.7,0.68,3.58
17097,-88.0037,42.3233,790,1926-12,1.02,15.8,30.8,16.8,0.62,2.2
17097,-88.0037,42.3233,790,1927-01,1.2,13.6,28.8,14.3,0.63,2.07
17097,-88.0037,42.3233,790,1927-02,1.05,24.2,39.2,23.9,0.77,3.42
17097,-88.0037,42.3233,790,1927-03,2.28,30.7,48.1,29.1,1.04,5.63
17097,-88.0037,42.3233,790,1927-04,5.25,37.3,55.3,36.2,1.16,7.27
17097,-88.0037,42.3233,790,1927-05,4.36,45.5,64.2,43.7,1.42,10.43
17097,-88.0037,42.3233,790,1927-06,2.48,52.7,74.6,51,1.53,15.92
17097,-88.0037,42.3233,790,1927-07,3.09,59.5,83.2,58.4,1.46,21.82
17097,-88.0037,42.3233,790,1927-08,1.4,54.9,78.4,55.5,0.76,17.82
17097,-88.0037,42.3233,790,1927-09,5.41,56.8,77.6,56.6,1.15,16.42
17097,-88.0037,42.3233,790,1927-10,3.67,45.5,65.4,44.5,1.14,11.2
17097,-88.0037,42.3233,790,1927-11,3.59,32.8,49.5,33,0.86,5.37
17097,-88.0037,42.3233,790,1927-12,2.28,16.1,33.5,17,0.59,2.85
17097,-88.0037,42.3233,790,1928-01,0.71,16.4,31.8,16.1,0.68,2.51
17097,-88.0037,42.3233,790,1928-02,1.33,20.4,36,20.4,0.7,3.02
17097,-88.0037,42.3233,790,1928-03,1.82,25.7,44.4,24.1,0.93,5.08
17097,-88.0037,42.3233,790,1928-04,2.84,32.6,53.5,29.1,1.34,7.93
17097,-88.0037,42.3233,790,1928-05,2.08,45.9,70.9,42,2.03,16.16
17097,-88.0037,42.3233,790,1928-06,5.71,51.9,72.8,51.1,1.21,14.14
17097,-88.0037,42.3233,790,1928-07,3.27,62,83.2,60.8,1.7,20.22
17097,-88.0037,42.3233,790,1928-08,4.4,61.5,82.2,61.1,1.33,18.84
17097,-88.0037,42.3233,790,1928-09,2.14,48.2,71.6,48.2,0.96,14.56
17097,-88.0037,42.3233,790,1928-10,3.6,44.5,63.2,44.5,0.87,9.56
17097,-88.0037,42.3233,790,1928-11,4.71,33.2,46.7,32.5,0.92,4.25
17097,-88.0037,42.3233,790,1928-12,2.7,22.5,37.2,22.5,0.71,2.99
,,,,,,,,,,
29095,-94.3461,39.0085,853,1925-01,0.5,18.9,37.5,17.1,0.81,4.06
29095,-94.3461,39.0085,853,1925-02,1.55,27.4,48.6,25.1,1.05,6.83
29095,-94.3461,39.0085,853,1925-03,2,34.6,60.2,29.6,1.66,11.37
29095,-94.3461,39.0085,853,1925-04,5.37,51.2,70.4,46,2.82,14.41
29095,-94.3461,39.0085,853,1925-05,3.13,51.3,72.8,46.7,2.42,15.45
29095,-94.3461,39.0085,853,1925-06,7.08,66.2,87,62.7,3.3,23.88
29095,-94.3461,39.0085,853,1925-07,2.87,68.5,88.9,64.1,4.19,25.67
29095,-94.3461,39.0085,853,1925-08,2.59,65.7,90.2,61.5,3.45,29.08
29095,-94.3461,39.0085,853,1925-09,5.14,64.6,85.1,60.2,3.5,22.96
29095,-94.3461,39.0085,853,1925-10,3.93,40.3,56.6,39.2,1.19,7.55
29095,-94.3461,39.0085,853,1925-11,1.74,32.7,54.6,29.5,1.29,8.56
29095,-94.3461,39.0085,853,1925-12,1.55,23.4,41.4,21.5,0.94,4.8
29095,-94.3461,39.0085,853,1926-01,1.64,24.5,41.6,22,0.95,4.78
29095,-94.3461,39.0085,853,1926-02,2.06,30.3,48.6,28.1,1.07,6.11
29095,-94.3461,39.0085,853,1926-03,2.33,30.8,51,27.3,1.34,7.59
29095,-94.3461,39.0085,853,1926-04,2.59,39,60.2,34.4,1.74,10.19
29095,-94.3461,39.0085,853,1926-05,2.54,57,79.9,52.1,3.16,20.99
29095,-94.3461,39.0085,853,1926-06,3.57,61.3,83.7,58,2.67,22.17
29095,-94.3461,39.0085,853,1926-07,3.48,68.1,90.4,63.4,4.33,28.5
29095,-94.3461,39.0085,853,1926-08,4.16,67.9,90,63.7,3.77,27.69
29095,-94.3461,39.0085,853,1926-09,8.81,60.6,77.8,59.9,1.35,14.65
29095,-94.3461,39.0085,853,1926-10,5.14,49,66.9,47.7,1.47,11.09
29095,-94.3461,39.0085,853,1926-11,1.4,31,49.8,28.2,1.2,6.61
29095,-94.3461,39.0085,853,1926-12,1.24,24,40.6,22.5,0.87,4.47
29095,-94.3461,39.0085,853,1927-01,1.37,21.6,39.5,20.4,0.8,4.3
29095,-94.3461,39.0085,853,1927-02,0.93,30.6,50.3,27.7,1.24,7.14
29095,-94.3461,39.0085,853,1927-03,5.34,35.7,55.3,32.2,1.4,8.18
29095,-94.3461,39.0085,853,1927-04,7.74,48.9,66.8,44.7,2.36,11.99
29095,-94.3461,39.0085,853,1927-05,5.99,55.1,74.7,51.6,2.32,15.49
29095,-94.3461,39.0085,853,1927-06,6.45,61.8,80.1,60.8,1.46,16.24
29095,-94.3461,39.0085,853,1927-07,4.21,66.5,87.3,63.5,3.08,23.82
29095,-94.3461,39.0085,853,1927-08,4.69,62.6,81.7,62.3,1.16,17.49
29095,-94.3461,39.0085,853,1927-09,3.18,61.2,82.1,58.6,2.44,20.48
29095,-94.3461,39.0085,853,1927-10,6.88,49.1,74.2,46.5,1.8,17.32
29095,-94.3461,39.0085,853,1927-11,1.5,36.3,55.6,33.5,1.43,8.48
29095,-94.3461,39.0085,853,1927-12,2.09,18,38.6,17.5,0.75,4.61
29095,-94.3461,39.0085,853,1928-01,0.32,24.3,42.6,21.6,0.96,4.95
29095,-94.3461,39.0085,853,1928-02,2.68,28,46.8,26.1,0.96,5.87
29095,-94.3461,39.0085,853,1928-03,0.54,35.2,60.4,30.2,1.74,11.5
29095,-94.3461,39.0085,853,1928-04,2.77,41,62.8,36.2,1.94,11.81
29095,-94.3461,39.0085,853,1928-05,2.19,54.8,80.1,50.5,2.68,21.86
29095,-94.3461,39.0085,853,1928-06,7.08,59.2,78.3,59.1,1.13,15.63
29095,-94.3461,39.0085,853,1928-07,3.03,68.9,88.2,65.6,3.27,23.45
29095,-94.3461,39.0085,853,1928-08,5.7,67.7,87.8,64.8,3.09,23.71
29095,-94.3461,39.0085,853,1928-09,4.05,54.8,78.7,52.4,1.96,19.44
29095,-94.3461,39.0085,853,1928-10,3,50.7,72.2,47.3,2.22,15.59
29095,-94.3461,39.0085,853,1928-11,8.94,36.3,54,34.7,1.09,7.21
29095,-94.3461,39.0085,853,1928-12,1.85,28.7,45,27.1,0.99,5.06
,,,,,,,,,,
17197,-87.9786,41.445,688,1925-01,0.6,12.9,31.7,15,0.5,2.58
17197,-87.9786,41.445,688,1925-02,1.46,23.2,41,23.6,0.66,4.01
17197,-87.9786,41.445,688,1925-03,1.82,29,51.7,28,0.88,7.36
17197,-87.9786,41.445,688,1925-04,2.65,41.7,67.9,38.9,1.48,14.91
17197,-87.9786,41.445,688,1925-05,1.19,42.4,70.5,39.2,1.64,16.44
17197,-87.9786,41.445,688,1925-06,4.1,59.7,84.9,57.8,2,23.94
17197,-87.9786,41.445,688,1925-07,2.63,62.3,85.9,60.4,1.99,23.9
17197,-87.9786,41.445,688,1925-08,1.79,60.4,86.7,59.4,1.42,25.67
17197,-87.9786,41.445,688,1925-09,4.16,60.6,81.5,59.3,1.75,19.29
17197,-87.9786,41.445,688,1925-10,2.77,36,51.9,36.4,0.79,5.57
17197,-87.9786,41.445,688,1925-11,2.76,28.5,46.5,28.2,0.81,5.1
17197,-87.9786,41.445,688,1925-12,1.01,16,31.5,17.2,0.57,2.31
17197,-87.9786,41.445,688,1926-01,1.47,17.4,34.6,18,0.62,2.96
17197,-87.9786,41.445,688,1926-02,2.22,24.7,37.2,24.6,0.74,2.69
17197,-87.9786,41.445,688,1926-03,2.02,22.3,40,22.6,0.65,3.86
17197,-87.9786,41.445,688,1926-04,3.13,32.4,53.2,29.9,1.22,7.65
17197,-87.9786,41.445,688,1926-05,3.16,47.6,74.5,44.9,1.77,18.54
17197,-87.9786,41.445,688,1926-06,4.52,53.2,76.9,52.1,1.32,17.8
17197,-87.9786,41.445,688,1926-07,4.6,62.1,84.7,60.5,1.79,22.32
17197,-87.9786,41.445,688,1926-08,2.97,63.6,83.7,62.9,1.51,19.76
17197,-87.9786,41.445,688,1926-09,8.52,56.7,73,57.1,0.95,11.49
17197,-87.9786,41.445,688,1926-10,2.74,42.8,60.8,42.5,0.98,8.54
17197,-87.9786,41.445,688,1926-11,4.01,28.5,44.3,27.9,0.82,4.29
17197,-87.9786,41.445,688,1926-12,1.04,19,33.2,19,0.67,2.46
